# Pi=0.2004  tau_fitted_h=30.7967  n0_fitted_mol=3.6270e-12
t_seconds,n_T2_salt_mol
0.000000e+00,3.627000e-12
2.774719e+02,3.617930e-12
5.549438e+02,3.608887e-12
8.324158e+02,3.599866e-12
1.109888e+03,3.590868e-12
1.387360e+03,3.581892e-12
1.664832e+03,3.572939e-12
1.942303e+03,3.564008e-12
2.219775e+03,3.555100e-12
2.497247e+03,3.546213e-12
2.774719e+03,3.537349e-12
3.052191e+03,3.528507e-12
3.329663e+03,3.519688e-12
3.607135e+03,3.510890e-12
3.884607e+03,3.502114e-12
4.162079e+03,3.493360e-12
4.439551e+03,3.484628e-12
4.717023e+03,3.475918e-12
4.994495e+03,3.467230e-12
5.271967e+03,3.458563e-12
5.549438e+03,3.449918e-12
5.826910e+03,3.441295e-12
6.104382e+03,3.432693e-12
6.381854e+03,3.424113e-12
6.659326e+03,3.415554e-12
6.936798e+03,3.407016e-12
7.214270e+03,3.398500e-12
7.491742e+03,3.390005e-12
7.769214e+03,3.381532e-12
8.046686e+03,3.373079e-12
8.324158e+03,3.364648e-12
8.601630e+03,3.356238e-12
8.879102e+03,3.347848e-12
9.156573e+03,3.339480e-12
9.434045e+03,3.331133e-12
9.711517e+03,3.322806e-12
9.988989e+03,3.314501e-12
1.026646e+04,3.306216e-12
1.054393e+04,3.297952e-12
1.082140e+04,3.289708e-12
1.109888e+04,3.281485e-12
1.137635e+04,3.273283e-12
1.165382e+04,3.265101e-12
1.193129e+04,3.256939e-12
1.220876e+04,3.248798e-12
1.248624e+04,3.240678e-12
1.276371e+04,3.232577e-12
1.304118e+04,3.224497e-12
1.331865e+04,3.216437e-12
1.359612e+04,3.208398e-12
1.387360e+04,3.200378e-12
1.415107e+04,3.192378e-12
1.442854e+04,3.184399e-12
1.470601e+04,3.176439e-12
1.498348e+04,3.168499e-12
1.526096e+04,3.160579e-12
1.553843e+04,3.152679e-12
1.581590e+04,3.144799e-12
1.609337e+04,3.136938e-12
1.637084e+04,3.129097e-12
1.664832e+04,3.121275e-12
1.692579e+04,3.113474e-12
1.720326e+04,3.105691e-12
1.748073e+04,3.097928e-12
1.775820e+04,3.090185e-12
1.803567e+04,3.082460e-12
1.831315e+04,3.074756e-12
1.859062e+04,3.067070e-12
1.886809e+04,3.059404e-12
1.914556e+04,3.051756e-12
1.942303e+04,3.044128e-12
1.970051e+04,3.036519e-12
1.997798e+04,3.028929e-12
2.025545e+04,3.021358e-12
2.053292e+04,3.013806e-12
2.081039e+04,3.006272e-12
2.108787e+04,2.998758e-12
2.136534e+04,2.991262e-12
2.164281e+04,2.983785e-12
2.192028e+04,2.976327e-12
2.219775e+04,2.968888e-12
2.247523e+04,2.961467e-12
2.275270e+04,2.954064e-12
2.303017e+04,2.946680e-12
2.330764e+04,2.939315e-12
2.358511e+04,2.931968e-12
2.386259e+04,2.924639e-12
2.414006e+04,2.917329e-12
2.441753e+04,2.910036e-12
2.469500e+04,2.902762e-12
2.497247e+04,2.895507e-12
2.524994e+04,2.888269e-12
2.552742e+04,2.881050e-12
2.580489e+04,2.873848e-12
2.608236e+04,2.866665e-12
2.635983e+04,2.859499e-12
2.663730e+04,2.852352e-12
2.691478e+04,2.845222e-12
2.719225e+04,2.838110e-12
2.746972e+04,2.831016e-12
2.774719e+04,2.823940e-12
2.802466e+04,2.816881e-12
2.830214e+04,2.809840e-12
2.857961e+04,2.802816e-12
2.885708e+04,2.795811e-12
2.913455e+04,2.788822e-12
2.941202e+04,2.781851e-12
2.968950e+04,2.774898e-12
2.996697e+04,2.767962e-12
3.024444e+04,2.761043e-12
3.052191e+04,2.754141e-12
3.079938e+04,2.747257e-12
3.107686e+04,2.740390e-12
3.135433e+04,2.733540e-12
3.163180e+04,2.726708e-12
3.190927e+04,2.719892e-12
3.218674e+04,2.713093e-12
3.246421e+04,2.706312e-12
3.274169e+04,2.699547e-12
3.301916e+04,2.692799e-12
3.329663e+04,2.686068e-12
3.357410e+04,2.679354e-12
3.385157e+04,2.672657e-12
3.412905e+04,2.665977e-12
3.440652e+04,2.659313e-12
3.468399e+04,2.652666e-12
3.496146e+04,2.646035e-12
3.523893e+04,2.639421e-12
3.551641e+04,2.632823e-12
3.579388e+04,2.626242e-12
3.607135e+04,2.619678e-12
3.634882e+04,2.613130e-12
3.662629e+04,2.606598e-12
3.690377e+04,2.600083e-12
3.718124e+04,2.593584e-12
3.745871e+04,2.587101e-12
3.773618e+04,2.580634e-12
3.801365e+04,2.574183e-12
3.829113e+04,2.567749e-12
3.856860e+04,2.561331e-12
3.884607e+04,2.554928e-12
3.912354e+04,2.548542e-12
3.940101e+04,2.542172e-12
3.967848e+04,2.535817e-12
3.995596e+04,2.529479e-12
4.023343e+04,2.523156e-12
4.051090e+04,2.516849e-12
4.078837e+04,2.510558e-12
4.106584e+04,2.504283e-12
4.134332e+04,2.498023e-12
4.162079e+04,2.491779e-12
4.189826e+04,2.485551e-12
4.217573e+04,2.479338e-12
4.245320e+04,2.473141e-12
4.273068e+04,2.466959e-12
4.300815e+04,2.460792e-12
4.328562e+04,2.454641e-12
4.356309e+04,2.448506e-12
4.384056e+04,2.442386e-12
4.411804e+04,2.436281e-12
4.439551e+04,2.430191e-12
4.467298e+04,2.424116e-12
4.495045e+04,2.418057e-12
4.522792e+04,2.412013e-12
4.550540e+04,2.405984e-12
4.578287e+04,2.399970e-12
4.606034e+04,2.393971e-12
4.633781e+04,2.387987e-12
4.661528e+04,2.382018e-12
4.689275e+04,2.376064e-12
4.717023e+04,2.370125e-12
4.744770e+04,2.364201e-12
4.772517e+04,2.358291e-12
4.800264e+04,2.352396e-12
4.828011e+04,2.346516e-12
4.855759e+04,2.340651e-12
4.883506e+04,2.334800e-12
4.911253e+04,2.328964e-12
4.939000e+04,2.323143e-12
4.966747e+04,2.317336e-12
4.994495e+04,2.311543e-12
5.022242e+04,2.305765e-12
5.049989e+04,2.300002e-12
5.077736e+04,2.294253e-12
5.105483e+04,2.288518e-12
5.133231e+04,2.282798e-12
5.160978e+04,2.277092e-12
5.188725e+04,2.271400e-12
5.216472e+04,2.265722e-12
5.244219e+04,2.260059e-12
5.271967e+04,2.254410e-12
5.299714e+04,2.248775e-12
5.327461e+04,2.243154e-12
5.355208e+04,2.237547e-12
5.382955e+04,2.231954e-12
5.410702e+04,2.226375e-12
5.438450e+04,2.220810e-12
5.466197e+04,2.215259e-12
5.493944e+04,2.209722e-12
5.521691e+04,2.204198e-12
5.549438e+04,2.198689e-12
5.577186e+04,2.193193e-12
5.604933e+04,2.187711e-12
5.632680e+04,2.182242e-12
5.660427e+04,2.176788e-12
5.688174e+04,2.171346e-12
5.715922e+04,2.165919e-12
5.743669e+04,2.160505e-12
5.771416e+04,2.155105e-12
5.799163e+04,2.149718e-12
5.826910e+04,2.144344e-12
5.854658e+04,2.138984e-12
5.882405e+04,2.133638e-12
5.910152e+04,2.128305e-12
5.937899e+04,2.122985e-12
5.965646e+04,2.117678e-12
5.993394e+04,2.112385e-12
6.021141e+04,2.107105e-12
6.048888e+04,2.101838e-12
6.076635e+04,2.096584e-12
6.104382e+04,2.091344e-12
6.132129e+04,2.086116e-12
6.159877e+04,2.080902e-12
6.187624e+04,2.075700e-12
6.215371e+04,2.070512e-12
6.243118e+04,2.065336e-12
6.270865e+04,2.060174e-12
6.298613e+04,2.055024e-12
6.326360e+04,2.049888e-12
6.354107e+04,2.044764e-12
6.381854e+04,2.039653e-12
6.409601e+04,2.034554e-12
6.437349e+04,2.029469e-12
6.465096e+04,2.024396e-12
6.492843e+04,2.019336e-12
6.520590e+04,2.014288e-12
6.548337e+04,2.009253e-12
6.576085e+04,2.004231e-12
