# units: Pa
x_metres,value
0.000000e+00,2.208470e+05
1.660714e-02,2.205261e+05
3.321429e-02,2.202053e+05
4.982143e-02,2.198844e+05
6.642857e-02,2.195636e+05
8.303571e-02,2.192427e+05
9.964286e-02,2.189219e+05
1.162500e-01,2.186010e+05
1.328571e-01,2.182802e+05
1.494643e-01,2.179593e+05
1.660714e-01,2.176385e+05
1.826786e-01,2.173176e+05
1.992857e-01,2.169968e+05
2.158929e-01,2.166759e+05
2.325000e-01,2.163551e+05
2.491071e-01,2.160342e+05
2.657143e-01,2.157134e+05
2.823214e-01,2.153925e+05
2.989286e-01,2.150716e+05
3.155357e-01,2.147508e+05
3.321429e-01,2.144299e+05
3.487500e-01,2.141091e+05
3.653571e-01,2.137882e+05
3.819643e-01,2.134674e+05
3.985714e-01,2.131465e+05
4.151786e-01,2.128257e+05
4.317857e-01,2.125048e+05
4.483929e-01,2.121840e+05
4.650000e-01,2.118631e+05
4.816071e-01,2.115422e+05
4.982143e-01,2.112214e+05
5.148214e-01,2.109005e+05
5.314286e-01,2.105797e+05
5.480357e-01,2.102588e+05
5.646429e-01,2.099380e+05
5.812500e-01,2.096171e+05
5.978571e-01,2.092963e+05
6.144643e-01,2.089754e+05
6.310714e-01,2.086545e+05
6.476786e-01,2.083337e+05
6.642857e-01,2.080128e+05
6.808929e-01,2.076920e+05
6.975000e-01,2.073711e+05
7.141071e-01,2.070503e+05
7.307143e-01,2.067294e+05
7.473214e-01,2.064086e+05
7.639286e-01,2.060877e+05
7.805357e-01,2.057668e+05
7.971429e-01,2.054460e+05
8.137500e-01,2.051251e+05
8.303571e-01,2.048043e+05
8.469643e-01,2.044834e+05
8.635714e-01,2.041626e+05
8.801786e-01,2.038417e+05
8.967857e-01,2.035208e+05
9.133929e-01,2.032000e+05
9.300000e-01,2.028791e+05
