# units: m/s
x_metres,value
0.000000e+00,8.113284e-05
1.660714e-02,8.112065e-05
3.321429e-02,8.110843e-05
4.982143e-02,8.109620e-05
6.642857e-02,8.108396e-05
8.303571e-02,8.107170e-05
9.964286e-02,8.105942e-05
1.162500e-01,8.104713e-05
1.328571e-01,8.103482e-05
1.494643e-01,8.102249e-05
1.660714e-01,8.101015e-05
1.826786e-01,8.099780e-05
1.992857e-01,8.098542e-05
2.158929e-01,8.097303e-05
2.325000e-01,8.096062e-05
2.491071e-01,8.094820e-05
2.657143e-01,8.093576e-05
2.823214e-01,8.092330e-05
2.989286e-01,8.091083e-05
3.155357e-01,8.089834e-05
3.321429e-01,8.088583e-05
3.487500e-01,8.087331e-05
3.653571e-01,8.086077e-05
3.819643e-01,8.084821e-05
3.985714e-01,8.083563e-05
4.151786e-01,8.082304e-05
4.317857e-01,8.081043e-05
4.483929e-01,8.079781e-05
4.650000e-01,8.078516e-05
4.816071e-01,8.077250e-05
4.982143e-01,8.075983e-05
5.148214e-01,8.074713e-05
5.314286e-01,8.073442e-05
5.480357e-01,8.072169e-05
5.646429e-01,8.070894e-05
5.812500e-01,8.069618e-05
5.978571e-01,8.068340e-05
6.144643e-01,8.067060e-05
6.310714e-01,8.065778e-05
6.476786e-01,8.064495e-05
6.642857e-01,8.063209e-05
6.808929e-01,8.061922e-05
6.975000e-01,8.060633e-05
7.141071e-01,8.059343e-05
7.307143e-01,8.058050e-05
7.473214e-01,8.056756e-05
7.639286e-01,8.055460e-05
7.805357e-01,8.054162e-05
7.971429e-01,8.052863e-05
8.137500e-01,8.051561e-05
8.303571e-01,8.050258e-05
8.469643e-01,8.048953e-05
8.635714e-01,8.047646e-05
8.801786e-01,8.046337e-05
8.967857e-01,8.045026e-05
9.133929e-01,8.043714e-05
9.300000e-01,8.042399e-05
