# units: molT2
t_seconds,value
0.000000e+00,3.627000e-12
5.890077e+02,3.591088e-12
1.178015e+03,3.555532e-12
1.767023e+03,3.520329e-12
2.356031e+03,3.485473e-12
2.945038e+03,3.450963e-12
3.534046e+03,3.416794e-12
4.123054e+03,3.382964e-12
4.712061e+03,3.349469e-12
5.301069e+03,3.316305e-12
5.890077e+03,3.283470e-12
6.479084e+03,3.250960e-12
7.068092e+03,3.218772e-12
7.657100e+03,3.186902e-12
8.246107e+03,3.155348e-12
8.835115e+03,3.124106e-12
9.424123e+03,3.093174e-12
1.001313e+04,3.062548e-12
1.060214e+04,3.032225e-12
1.119115e+04,3.002203e-12
1.178015e+04,2.972477e-12
1.236916e+04,2.943047e-12
1.295817e+04,2.913907e-12
1.354718e+04,2.885056e-12
1.413618e+04,2.856490e-12
1.472519e+04,2.828208e-12
1.531420e+04,2.800205e-12
1.590321e+04,2.772480e-12
1.649221e+04,2.745029e-12
1.708122e+04,2.717850e-12
1.767023e+04,2.690940e-12
1.825924e+04,2.664297e-12
1.884825e+04,2.637917e-12
1.943725e+04,2.611799e-12
2.002626e+04,2.585939e-12
2.061527e+04,2.560335e-12
2.120428e+04,2.534985e-12
2.179328e+04,2.509886e-12
2.238229e+04,2.485035e-12
2.297130e+04,2.460430e-12
2.356031e+04,2.436069e-12
2.414931e+04,2.411949e-12
2.473832e+04,2.388068e-12
2.532733e+04,2.364423e-12
2.591634e+04,2.341013e-12
2.650535e+04,2.317834e-12
2.709435e+04,2.294885e-12
2.768336e+04,2.272163e-12
2.827237e+04,2.249666e-12
2.886138e+04,2.227392e-12
2.945038e+04,2.205338e-12
3.003939e+04,2.183502e-12
3.062840e+04,2.161883e-12
3.121741e+04,2.140478e-12
3.180641e+04,2.119285e-12
3.239542e+04,2.098301e-12
3.298443e+04,2.077526e-12
3.357344e+04,2.056956e-12
3.416244e+04,2.036590e-12
3.475145e+04,2.016425e-12
3.534046e+04,1.996460e-12
3.592947e+04,1.976693e-12
3.651848e+04,1.957121e-12
3.710748e+04,1.937744e-12
3.769649e+04,1.918558e-12
3.828550e+04,1.899562e-12
3.887451e+04,1.880754e-12
3.946351e+04,1.862132e-12
4.005252e+04,1.843695e-12
4.064153e+04,1.825440e-12
4.123054e+04,1.807366e-12
4.181954e+04,1.789471e-12
4.240855e+04,1.771753e-12
4.299756e+04,1.754211e-12
4.358657e+04,1.736842e-12
4.417558e+04,1.719645e-12
4.476458e+04,1.702619e-12
4.535359e+04,1.685761e-12
4.594260e+04,1.669070e-12
4.653161e+04,1.652544e-12
