# units: m/s
x_metres,value
0.000000e+00,1.991170e-05
1.660714e-02,1.994067e-05
3.321429e-02,1.996972e-05
4.982143e-02,1.999886e-05
6.642857e-02,2.002809e-05
8.303571e-02,2.005740e-05
9.964286e-02,2.008679e-05
1.162500e-01,2.011628e-05
1.328571e-01,2.014585e-05
1.494643e-01,2.017550e-05
1.660714e-01,2.020525e-05
1.826786e-01,2.023508e-05
1.992857e-01,2.026500e-05
2.158929e-01,2.029500e-05
2.325000e-01,2.032510e-05
2.491071e-01,2.035529e-05
2.657143e-01,2.038557e-05
2.823214e-01,2.041593e-05
2.989286e-01,2.044639e-05
3.155357e-01,2.047694e-05
3.321429e-01,2.050758e-05
3.487500e-01,2.053831e-05
3.653571e-01,2.056913e-05
3.819643e-01,2.060005e-05
3.985714e-01,2.063106e-05
4.151786e-01,2.066216e-05
4.317857e-01,2.069336e-05
4.483929e-01,2.072465e-05
4.650000e-01,2.075604e-05
4.816071e-01,2.078752e-05
4.982143e-01,2.081910e-05
5.148214e-01,2.085077e-05
5.314286e-01,2.088254e-05
5.480357e-01,2.091441e-05
5.646429e-01,2.094637e-05
5.812500e-01,2.097843e-05
5.978571e-01,2.101059e-05
6.144643e-01,2.104285e-05
6.310714e-01,2.107521e-05
6.476786e-01,2.110767e-05
6.642857e-01,2.114023e-05
6.808929e-01,2.117289e-05
6.975000e-01,2.120565e-05
7.141071e-01,2.123851e-05
7.307143e-01,2.127147e-05
7.473214e-01,2.130454e-05
7.639286e-01,2.133771e-05
7.805357e-01,2.137098e-05
7.971429e-01,2.140435e-05
8.137500e-01,2.143784e-05
8.303571e-01,2.147142e-05
8.469643e-01,2.150511e-05
8.635714e-01,2.153891e-05
8.801786e-01,2.157281e-05
8.967857e-01,2.160682e-05
9.133929e-01,2.164094e-05
9.300000e-01,2.167517e-05
