# units: m/s
x_metres,value
0.000000e+00,1.577620e-05
1.660714e-02,1.577165e-05
3.321429e-02,1.576709e-05
4.982143e-02,1.576252e-05
6.642857e-02,1.575794e-05
8.303571e-02,1.575335e-05
9.964286e-02,1.574874e-05
1.162500e-01,1.574412e-05
1.328571e-01,1.573949e-05
1.494643e-01,1.573485e-05
1.660714e-01,1.573020e-05
1.826786e-01,1.572553e-05
1.992857e-01,1.572086e-05
2.158929e-01,1.571617e-05
2.325000e-01,1.571146e-05
2.491071e-01,1.570675e-05
2.657143e-01,1.570202e-05
2.823214e-01,1.569729e-05
2.989286e-01,1.569254e-05
3.155357e-01,1.568777e-05
3.321429e-01,1.568300e-05
3.487500e-01,1.567821e-05
3.653571e-01,1.567341e-05
3.819643e-01,1.566859e-05
3.985714e-01,1.566376e-05
4.151786e-01,1.565892e-05
4.317857e-01,1.565407e-05
4.483929e-01,1.564921e-05
4.650000e-01,1.564433e-05
4.816071e-01,1.563943e-05
4.982143e-01,1.563453e-05
5.148214e-01,1.562961e-05
5.314286e-01,1.562468e-05
5.480357e-01,1.561973e-05
5.646429e-01,1.561477e-05
5.812500e-01,1.560980e-05
5.978571e-01,1.560481e-05
6.144643e-01,1.559981e-05
6.310714e-01,1.559479e-05
6.476786e-01,1.558976e-05
6.642857e-01,1.558472e-05
6.808929e-01,1.557966e-05
6.975000e-01,1.557459e-05
7.141071e-01,1.556951e-05
7.307143e-01,1.556440e-05
7.473214e-01,1.555929e-05
7.639286e-01,1.555416e-05
7.805357e-01,1.554902e-05
7.971429e-01,1.554386e-05
8.137500e-01,1.553868e-05
8.303571e-01,1.553349e-05
8.469643e-01,1.552829e-05
8.635714e-01,1.552307e-05
8.801786e-01,1.551783e-05
8.967857e-01,1.551258e-05
9.133929e-01,1.550732e-05
9.300000e-01,1.550204e-05
