# units: molT2/s
t_seconds,value
0.000000e+00,0.000000e+00
7.901235e+02,4.530317e-17
1.580247e+03,4.494973e-17
2.370370e+03,4.450481e-17
3.160494e+03,4.406417e-17
3.950617e+03,4.362789e-17
4.740741e+03,4.319593e-17
5.530864e+03,4.276825e-17
6.320988e+03,4.234480e-17
7.111111e+03,4.192555e-17
7.901235e+03,4.151044e-17
8.691358e+03,4.109945e-17
9.481482e+03,4.069252e-17
1.027161e+04,4.028962e-17
1.106173e+04,3.989072e-17
1.185185e+04,3.949576e-17
1.264198e+04,3.910471e-17
1.343210e+04,3.871753e-17
1.422222e+04,3.833419e-17
1.501235e+04,3.795464e-17
1.580247e+04,3.757886e-17
1.659259e+04,3.720679e-17
1.738272e+04,3.683840e-17
1.817284e+04,3.647367e-17
1.896296e+04,3.611254e-17
1.975309e+04,3.575499e-17
2.054321e+04,3.540098e-17
2.133333e+04,3.505047e-17
2.212346e+04,3.470344e-17
2.291358e+04,3.435984e-17
2.370370e+04,3.401964e-17
2.449383e+04,3.368282e-17
2.528395e+04,3.334932e-17
2.607408e+04,3.301913e-17
2.686420e+04,3.269221e-17
2.765432e+04,3.236852e-17
2.844445e+04,3.204804e-17
2.923457e+04,3.173073e-17
3.002469e+04,3.141657e-17
3.081482e+04,3.110551e-17
3.160494e+04,3.079754e-17
3.239506e+04,3.049261e-17
3.318519e+04,3.019070e-17
3.397531e+04,2.989178e-17
3.476543e+04,2.959583e-17
3.555556e+04,2.930280e-17
3.634568e+04,2.901267e-17
3.713580e+04,2.872542e-17
3.792593e+04,2.844101e-17
3.871605e+04,2.815941e-17
3.950617e+04,2.788060e-17
4.029630e+04,2.760456e-17
4.108642e+04,2.733125e-17
4.187655e+04,2.706064e-17
4.266667e+04,2.679271e-17
4.345679e+04,2.652744e-17
4.424692e+04,2.626479e-17
4.503704e+04,2.600474e-17
4.582716e+04,2.574727e-17
4.661729e+04,2.549234e-17
4.740741e+04,2.523994e-17
4.819753e+04,2.499004e-17
4.898766e+04,2.474262e-17
4.977778e+04,2.449764e-17
5.056790e+04,2.425509e-17
5.135803e+04,2.401494e-17
