# units: 
x_metres,value
0.000000e+00,9.998947e-01
1.660714e-02,9.998945e-01
3.321429e-02,9.998944e-01
4.982143e-02,9.998942e-01
6.642857e-02,9.998941e-01
8.303571e-02,9.998939e-01
9.964286e-02,9.998938e-01
1.162500e-01,9.998936e-01
1.328571e-01,9.998934e-01
1.494643e-01,9.998933e-01
1.660714e-01,9.998931e-01
1.826786e-01,9.998930e-01
1.992857e-01,9.998928e-01
2.158929e-01,9.998927e-01
2.325000e-01,9.998925e-01
2.491071e-01,9.998923e-01
2.657143e-01,9.998922e-01
2.823214e-01,9.998920e-01
2.989286e-01,9.998919e-01
3.155357e-01,9.998917e-01
3.321429e-01,9.998915e-01
3.487500e-01,9.998914e-01
3.653571e-01,9.998912e-01
3.819643e-01,9.998910e-01
3.985714e-01,9.998909e-01
4.151786e-01,9.998907e-01
4.317857e-01,9.998905e-01
4.483929e-01,9.998904e-01
4.650000e-01,9.998902e-01
4.816071e-01,9.998900e-01
4.982143e-01,9.998899e-01
5.148214e-01,9.998897e-01
5.314286e-01,9.998895e-01
5.480357e-01,9.998894e-01
5.646429e-01,9.998892e-01
5.812500e-01,9.998890e-01
5.978571e-01,9.998889e-01
6.144643e-01,9.998887e-01
6.310714e-01,9.998885e-01
6.476786e-01,9.998884e-01
6.642857e-01,9.998882e-01
6.808929e-01,9.998880e-01
6.975000e-01,9.998878e-01
7.141071e-01,9.998877e-01
7.307143e-01,9.998875e-01
7.473214e-01,9.998873e-01
7.639286e-01,9.998871e-01
7.805357e-01,9.998870e-01
7.971429e-01,9.998868e-01
8.137500e-01,9.998866e-01
8.303571e-01,9.998864e-01
8.469643e-01,9.998863e-01
8.635714e-01,9.998861e-01
8.801786e-01,9.998859e-01
8.967857e-01,9.998857e-01
9.133929e-01,9.998855e-01
9.300000e-01,9.998854e-01
