# units: m/s
x_metres,value
0.000000e+00,3.646545e-05
1.660714e-02,3.645997e-05
3.321429e-02,3.645448e-05
4.982143e-02,3.644898e-05
6.642857e-02,3.644348e-05
8.303571e-02,3.643797e-05
9.964286e-02,3.643245e-05
1.162500e-01,3.642693e-05
1.328571e-01,3.642139e-05
1.494643e-01,3.641585e-05
1.660714e-01,3.641031e-05
1.826786e-01,3.640475e-05
1.992857e-01,3.639919e-05
2.158929e-01,3.639362e-05
2.325000e-01,3.638805e-05
2.491071e-01,3.638246e-05
2.657143e-01,3.637687e-05
2.823214e-01,3.637127e-05
2.989286e-01,3.636566e-05
3.155357e-01,3.636005e-05
3.321429e-01,3.635443e-05
3.487500e-01,3.634880e-05
3.653571e-01,3.634316e-05
3.819643e-01,3.633752e-05
3.985714e-01,3.633187e-05
4.151786e-01,3.632621e-05
4.317857e-01,3.632054e-05
4.483929e-01,3.631487e-05
4.650000e-01,3.630918e-05
4.816071e-01,3.630349e-05
4.982143e-01,3.629780e-05
5.148214e-01,3.629209e-05
5.314286e-01,3.628638e-05
5.480357e-01,3.628066e-05
5.646429e-01,3.627493e-05
5.812500e-01,3.626919e-05
5.978571e-01,3.626345e-05
6.144643e-01,3.625769e-05
6.310714e-01,3.625193e-05
6.476786e-01,3.624616e-05
6.642857e-01,3.624039e-05
6.808929e-01,3.623460e-05
6.975000e-01,3.622881e-05
7.141071e-01,3.622301e-05
7.307143e-01,3.621720e-05
7.473214e-01,3.621138e-05
7.639286e-01,3.620556e-05
7.805357e-01,3.619972e-05
7.971429e-01,3.619388e-05
8.137500e-01,3.618803e-05
8.303571e-01,3.618218e-05
8.469643e-01,3.617631e-05
8.635714e-01,3.617044e-05
8.801786e-01,3.616455e-05
8.967857e-01,3.615866e-05
9.133929e-01,3.615276e-05
9.300000e-01,3.614686e-05
