# units: molT2/s
t_seconds,value
0.000000e+00,0.000000e+00
3.207179e+03,1.134935e-17
6.414357e+03,1.124111e-17
9.621536e+03,1.112823e-17
1.282871e+04,1.101648e-17
1.603589e+04,1.090585e-17
1.924307e+04,1.079634e-17
2.245025e+04,1.068792e-17
2.565743e+04,1.058060e-17
2.886461e+04,1.047435e-17
3.207179e+04,1.036917e-17
3.527897e+04,1.026504e-17
3.848614e+04,1.016196e-17
4.169332e+04,1.005992e-17
4.490050e+04,9.958896e-18
4.810768e+04,9.858891e-18
5.131486e+04,9.759889e-18
5.452204e+04,9.661882e-18
5.772922e+04,9.564859e-18
6.093640e+04,9.468810e-18
6.414357e+04,9.373726e-18
6.735075e+04,9.279596e-18
7.055793e+04,9.186412e-18
7.376511e+04,9.094164e-18
7.697229e+04,9.002841e-18
8.017947e+04,8.912436e-18
8.338665e+04,8.822939e-18
8.659383e+04,8.734340e-18
8.980100e+04,8.646632e-18
9.300818e+04,8.559803e-18
9.621536e+04,8.473847e-18
9.942254e+04,8.388754e-18
1.026297e+05,8.304516e-18
1.058369e+05,8.221123e-18
1.090441e+05,8.138568e-18
1.122513e+05,8.056842e-18
1.154584e+05,7.975936e-18
1.186656e+05,7.895843e-18
1.218728e+05,7.816554e-18
1.250800e+05,7.738062e-18
1.282871e+05,7.660357e-18
1.314943e+05,7.583433e-18
1.347015e+05,7.507281e-18
1.379087e+05,7.431894e-18
1.411159e+05,7.357265e-18
1.443230e+05,7.283384e-18
1.475302e+05,7.210245e-18
1.507374e+05,7.137841e-18
1.539446e+05,7.066164e-18
1.571518e+05,6.995207e-18
1.603589e+05,6.924962e-18
1.635661e+05,6.855423e-18
1.667733e+05,6.786582e-18
1.699805e+05,6.718432e-18
1.731877e+05,6.650966e-18
1.763948e+05,6.584179e-18
1.796020e+05,6.518061e-18
1.828092e+05,6.452608e-18
1.860164e+05,6.387812e-18
1.892235e+05,6.323666e-18
1.924307e+05,6.260165e-18
1.956379e+05,6.197302e-18
1.988451e+05,6.135069e-18
2.020523e+05,6.073462e-18
2.052594e+05,6.012473e-18
2.084666e+05,5.952097e-18
2.116738e+05,5.892327e-18
2.148810e+05,5.833157e-18
2.180882e+05,5.774581e-18
2.212953e+05,5.716594e-18
2.245025e+05,5.659189e-18
