# units: Pa
x_metres,value
0.000000e+00,5.915852e+05
2.870370e-03,5.915286e+05
5.740741e-03,5.914720e+05
8.611111e-03,5.914153e+05
1.148148e-02,5.913587e+05
1.435185e-02,5.913020e+05
1.722222e-02,5.912454e+05
2.009259e-02,5.911888e+05
2.296296e-02,5.911321e+05
2.583333e-02,5.910755e+05
2.870370e-02,5.910189e+05
3.157407e-02,5.909622e+05
3.444444e-02,5.909056e+05
3.731481e-02,5.908490e+05
4.018519e-02,5.907923e+05
4.305556e-02,5.907357e+05
4.592593e-02,5.906791e+05
4.879630e-02,5.906224e+05
5.166667e-02,5.905658e+05
5.453704e-02,5.905091e+05
5.740741e-02,5.904525e+05
6.027778e-02,5.903959e+05
6.314815e-02,5.903392e+05
6.601852e-02,5.902826e+05
6.888889e-02,5.902260e+05
7.175926e-02,5.901693e+05
7.462963e-02,5.901127e+05
7.750000e-02,5.900561e+05
8.037037e-02,5.899994e+05
8.324074e-02,5.899428e+05
8.611111e-02,5.898861e+05
8.898148e-02,5.898295e+05
9.185185e-02,5.897729e+05
9.472222e-02,5.897162e+05
9.759259e-02,5.896596e+05
1.004630e-01,5.896030e+05
1.033333e-01,5.895463e+05
1.062037e-01,5.894897e+05
1.090741e-01,5.894331e+05
1.119444e-01,5.893764e+05
1.148148e-01,5.893198e+05
1.176852e-01,5.892632e+05
1.205556e-01,5.892065e+05
1.234259e-01,5.891499e+05
1.262963e-01,5.890932e+05
1.291667e-01,5.890366e+05
1.320370e-01,5.889800e+05
1.349074e-01,5.889233e+05
1.377778e-01,5.888667e+05
1.406481e-01,5.888101e+05
1.435185e-01,5.887534e+05
1.463889e-01,5.886968e+05
1.492593e-01,5.886402e+05
1.521296e-01,5.885835e+05
1.550000e-01,5.885269e+05
1.578704e-01,5.884703e+05
1.607407e-01,5.884136e+05
1.636111e-01,5.883570e+05
1.664815e-01,5.883003e+05
1.693519e-01,5.882437e+05
1.722222e-01,5.881871e+05
1.750926e-01,5.881304e+05
1.779630e-01,5.880738e+05
1.808333e-01,5.880172e+05
1.837037e-01,5.879605e+05
1.865741e-01,5.879039e+05
1.894444e-01,5.878473e+05
1.923148e-01,5.877906e+05
1.951852e-01,5.877340e+05
1.980556e-01,5.876774e+05
2.009259e-01,5.876207e+05
2.037963e-01,5.875641e+05
2.066667e-01,5.875074e+05
2.095370e-01,5.874508e+05
2.124074e-01,5.873942e+05
2.152778e-01,5.873375e+05
2.181481e-01,5.872809e+05
2.210185e-01,5.872243e+05
2.238889e-01,5.871676e+05
2.267593e-01,5.871110e+05
2.296296e-01,5.870544e+05
2.325000e-01,5.869977e+05
2.353704e-01,5.869411e+05
2.382407e-01,5.868844e+05
2.411111e-01,5.868278e+05
2.439815e-01,5.867712e+05
2.468519e-01,5.867145e+05
2.497222e-01,5.866579e+05
2.525926e-01,5.866013e+05
2.554630e-01,5.865446e+05
2.583333e-01,5.864880e+05
2.612037e-01,5.864314e+05
2.640741e-01,5.863747e+05
2.669444e-01,5.863181e+05
2.698148e-01,5.862615e+05
2.726852e-01,5.862048e+05
2.755556e-01,5.861482e+05
2.784259e-01,5.860915e+05
2.812963e-01,5.860349e+05
2.841667e-01,5.859783e+05
2.870370e-01,5.859216e+05
2.899074e-01,5.858650e+05
2.927778e-01,5.858084e+05
2.956481e-01,5.857517e+05
2.985185e-01,5.856951e+05
3.013889e-01,5.856385e+05
3.042593e-01,5.855818e+05
3.071296e-01,5.855252e+05
3.100000e-01,5.854686e+05
3.128704e-01,5.854119e+05
3.157407e-01,5.853553e+05
3.186111e-01,5.852986e+05
3.214815e-01,5.852420e+05
3.243519e-01,5.851854e+05
3.272222e-01,5.851287e+05
3.300926e-01,5.850721e+05
3.329630e-01,5.850155e+05
3.358333e-01,5.849588e+05
3.387037e-01,5.849022e+05
3.415741e-01,5.848456e+05
3.444444e-01,5.847889e+05
3.473148e-01,5.847323e+05
3.501852e-01,5.846756e+05
3.530556e-01,5.846190e+05
3.559259e-01,5.845624e+05
3.587963e-01,5.845057e+05
3.616667e-01,5.844491e+05
3.645370e-01,5.843925e+05
3.674074e-01,5.843358e+05
3.702778e-01,5.842792e+05
3.731481e-01,5.842226e+05
3.760185e-01,5.841659e+05
3.788889e-01,5.841093e+05
3.817593e-01,5.840527e+05
3.846296e-01,5.839960e+05
3.875000e-01,5.839394e+05
3.903704e-01,5.838827e+05
3.932407e-01,5.838261e+05
3.961111e-01,5.837695e+05
3.989815e-01,5.837128e+05
4.018519e-01,5.836562e+05
4.047222e-01,5.835996e+05
4.075926e-01,5.835429e+05
4.104630e-01,5.834863e+05
4.133333e-01,5.834297e+05
4.162037e-01,5.833730e+05
4.190741e-01,5.833164e+05
4.219444e-01,5.832598e+05
4.248148e-01,5.832031e+05
4.276852e-01,5.831465e+05
4.305556e-01,5.830898e+05
4.334259e-01,5.830332e+05
4.362963e-01,5.829766e+05
4.391667e-01,5.829199e+05
4.420370e-01,5.828633e+05
4.449074e-01,5.828067e+05
4.477778e-01,5.827500e+05
4.506481e-01,5.826934e+05
4.535185e-01,5.826368e+05
4.563889e-01,5.825801e+05
4.592593e-01,5.825235e+05
4.621296e-01,5.824668e+05
4.650000e-01,5.824102e+05
4.678704e-01,5.823536e+05
4.707407e-01,5.822969e+05
4.736111e-01,5.822403e+05
4.764815e-01,5.821837e+05
4.793519e-01,5.821270e+05
4.822222e-01,5.820704e+05
4.850926e-01,5.820138e+05
4.879630e-01,5.819571e+05
4.908333e-01,5.819005e+05
4.937037e-01,5.818439e+05
4.965741e-01,5.817872e+05
4.994444e-01,5.817306e+05
5.023148e-01,5.816739e+05
5.051852e-01,5.816173e+05
5.080556e-01,5.815607e+05
5.109259e-01,5.815040e+05
5.137963e-01,5.814474e+05
5.166667e-01,5.813908e+05
5.195370e-01,5.813341e+05
5.224074e-01,5.812775e+05
5.252778e-01,5.812209e+05
5.281481e-01,5.811642e+05
5.310185e-01,5.811076e+05
5.338889e-01,5.810509e+05
5.367593e-01,5.809943e+05
5.396296e-01,5.809377e+05
5.425000e-01,5.808810e+05
5.453704e-01,5.808244e+05
5.482407e-01,5.807678e+05
5.511111e-01,5.807111e+05
5.539815e-01,5.806545e+05
5.568519e-01,5.805979e+05
5.597222e-01,5.805412e+05
5.625926e-01,5.804846e+05
5.654630e-01,5.804280e+05
5.683333e-01,5.803713e+05
5.712037e-01,5.803147e+05
5.740741e-01,5.802580e+05
5.769444e-01,5.802014e+05
5.798148e-01,5.801448e+05
5.826852e-01,5.800881e+05
5.855556e-01,5.800315e+05
5.884259e-01,5.799749e+05
5.912963e-01,5.799182e+05
5.941667e-01,5.798616e+05
5.970370e-01,5.798050e+05
5.999074e-01,5.797483e+05
6.027778e-01,5.796917e+05
6.056481e-01,5.796351e+05
6.085185e-01,5.795784e+05
6.113889e-01,5.795218e+05
6.142593e-01,5.794651e+05
6.171296e-01,5.794085e+05
6.200000e-01,5.793519e+05
6.228704e-01,5.792952e+05
6.257407e-01,5.792386e+05
6.286111e-01,5.791820e+05
6.314815e-01,5.791253e+05
6.343519e-01,5.790687e+05
6.372222e-01,5.790121e+05
6.400926e-01,5.789554e+05
6.429630e-01,5.788988e+05
6.458333e-01,5.788421e+05
6.487037e-01,5.787855e+05
6.515741e-01,5.787289e+05
6.544444e-01,5.786722e+05
6.573148e-01,5.786156e+05
6.601852e-01,5.785590e+05
6.630556e-01,5.785023e+05
6.659259e-01,5.784457e+05
6.687963e-01,5.783891e+05
6.716667e-01,5.783324e+05
6.745370e-01,5.782758e+05
6.774074e-01,5.782192e+05
6.802778e-01,5.781625e+05
6.831481e-01,5.781059e+05
6.860185e-01,5.780492e+05
6.888889e-01,5.779926e+05
6.917593e-01,5.779360e+05
6.946296e-01,5.778793e+05
6.975000e-01,5.778227e+05
7.003704e-01,5.777661e+05
7.032407e-01,5.777094e+05
7.061111e-01,5.776528e+05
7.089815e-01,5.775962e+05
7.118519e-01,5.775395e+05
7.147222e-01,5.774829e+05
7.175926e-01,5.774262e+05
7.204630e-01,5.773696e+05
7.233333e-01,5.773130e+05
7.262037e-01,5.772563e+05
7.290741e-01,5.771997e+05
7.319444e-01,5.771431e+05
7.348148e-01,5.770864e+05
7.376852e-01,5.770298e+05
7.405556e-01,5.769732e+05
7.434259e-01,5.769165e+05
7.462963e-01,5.768599e+05
7.491667e-01,5.768033e+05
7.520370e-01,5.767466e+05
7.549074e-01,5.766900e+05
7.577778e-01,5.766333e+05
7.606481e-01,5.765767e+05
7.635185e-01,5.765201e+05
7.663889e-01,5.764634e+05
7.692593e-01,5.764068e+05
7.721296e-01,5.763502e+05
7.750000e-01,5.762935e+05
7.778704e-01,5.762369e+05
7.807407e-01,5.761803e+05
7.836111e-01,5.761236e+05
7.864815e-01,5.760670e+05
7.893519e-01,5.760103e+05
7.922222e-01,5.759537e+05
7.950926e-01,5.758971e+05
7.979630e-01,5.758404e+05
8.008333e-01,5.757838e+05
8.037037e-01,5.757272e+05
8.065741e-01,5.756705e+05
8.094444e-01,5.756139e+05
8.123148e-01,5.755573e+05
8.151852e-01,5.755006e+05
8.180556e-01,5.754440e+05
8.209259e-01,5.753874e+05
8.237963e-01,5.753307e+05
8.266667e-01,5.752741e+05
8.295370e-01,5.752174e+05
8.324074e-01,5.751608e+05
8.352778e-01,5.751042e+05
8.381481e-01,5.750475e+05
8.410185e-01,5.749909e+05
8.438889e-01,5.749343e+05
8.467593e-01,5.748776e+05
8.496296e-01,5.748210e+05
8.525000e-01,5.747644e+05
8.553704e-01,5.747077e+05
8.582407e-01,5.746511e+05
8.611111e-01,5.745945e+05
8.639815e-01,5.745378e+05
8.668519e-01,5.744812e+05
8.697222e-01,5.744245e+05
8.725926e-01,5.743679e+05
8.754630e-01,5.743113e+05
8.783333e-01,5.742546e+05
8.812037e-01,5.741980e+05
8.840741e-01,5.741414e+05
8.869444e-01,5.740847e+05
8.898148e-01,5.740281e+05
8.926852e-01,5.739715e+05
8.955556e-01,5.739148e+05
8.984259e-01,5.738582e+05
9.012963e-01,5.738015e+05
9.041667e-01,5.737449e+05
9.070370e-01,5.736883e+05
9.099074e-01,5.736316e+05
9.127778e-01,5.735750e+05
9.156481e-01,5.735184e+05
9.185185e-01,5.734617e+05
9.213889e-01,5.734051e+05
9.242593e-01,5.733485e+05
9.271296e-01,5.732918e+05
9.300000e-01,5.732352e+05
