# units: 
x_metres,value
0.000000e+00,1.645811e-04
2.870370e-03,1.645969e-04
5.740741e-03,1.646127e-04
8.611111e-03,1.646284e-04
1.148148e-02,1.646442e-04
1.435185e-02,1.646600e-04
1.722222e-02,1.646757e-04
2.009259e-02,1.646915e-04
2.296296e-02,1.647073e-04
2.583333e-02,1.647231e-04
2.870370e-02,1.647389e-04
3.157407e-02,1.647546e-04
3.444444e-02,1.647704e-04
3.731481e-02,1.647862e-04
4.018519e-02,1.648020e-04
4.305556e-02,1.648178e-04
4.592593e-02,1.648336e-04
4.879630e-02,1.648494e-04
5.166667e-02,1.648652e-04
5.453704e-02,1.648811e-04
5.740741e-02,1.648969e-04
6.027778e-02,1.649127e-04
6.314815e-02,1.649285e-04
6.601852e-02,1.649443e-04
6.888889e-02,1.649602e-04
7.175926e-02,1.649760e-04
7.462963e-02,1.649918e-04
7.750000e-02,1.650077e-04
8.037037e-02,1.650235e-04
8.324074e-02,1.650393e-04
8.611111e-02,1.650552e-04
8.898148e-02,1.650710e-04
9.185185e-02,1.650869e-04
9.472222e-02,1.651027e-04
9.759259e-02,1.651186e-04
1.004630e-01,1.651345e-04
1.033333e-01,1.651503e-04
1.062037e-01,1.651662e-04
1.090741e-01,1.651821e-04
1.119444e-01,1.651979e-04
1.148148e-01,1.652138e-04
1.176852e-01,1.652297e-04
1.205556e-01,1.652456e-04
1.234259e-01,1.652615e-04
1.262963e-01,1.652774e-04
1.291667e-01,1.652932e-04
1.320370e-01,1.653091e-04
1.349074e-01,1.653250e-04
1.377778e-01,1.653409e-04
1.406481e-01,1.653568e-04
1.435185e-01,1.653727e-04
1.463889e-01,1.653887e-04
1.492593e-01,1.654046e-04
1.521296e-01,1.654205e-04
1.550000e-01,1.654364e-04
1.578704e-01,1.654523e-04
1.607407e-01,1.654682e-04
1.636111e-01,1.654842e-04
1.664815e-01,1.655001e-04
1.693519e-01,1.655160e-04
1.722222e-01,1.655320e-04
1.750926e-01,1.655479e-04
1.779630e-01,1.655639e-04
1.808333e-01,1.655798e-04
1.837037e-01,1.655958e-04
1.865741e-01,1.656117e-04
1.894444e-01,1.656277e-04
1.923148e-01,1.656436e-04
1.951852e-01,1.656596e-04
1.980556e-01,1.656756e-04
2.009259e-01,1.656915e-04
2.037963e-01,1.657075e-04
2.066667e-01,1.657235e-04
2.095370e-01,1.657394e-04
2.124074e-01,1.657554e-04
2.152778e-01,1.657714e-04
2.181481e-01,1.657874e-04
2.210185e-01,1.658034e-04
2.238889e-01,1.658194e-04
2.267593e-01,1.658354e-04
2.296296e-01,1.658514e-04
2.325000e-01,1.658674e-04
2.353704e-01,1.658834e-04
2.382407e-01,1.658994e-04
2.411111e-01,1.659154e-04
2.439815e-01,1.659314e-04
2.468519e-01,1.659474e-04
2.497222e-01,1.659635e-04
2.525926e-01,1.659795e-04
2.554630e-01,1.659955e-04
2.583333e-01,1.660115e-04
2.612037e-01,1.660276e-04
2.640741e-01,1.660436e-04
2.669444e-01,1.660596e-04
2.698148e-01,1.660757e-04
2.726852e-01,1.660917e-04
2.755556e-01,1.661078e-04
2.784259e-01,1.661238e-04
2.812963e-01,1.661399e-04
2.841667e-01,1.661559e-04
2.870370e-01,1.661720e-04
2.899074e-01,1.661881e-04
2.927778e-01,1.662041e-04
2.956481e-01,1.662202e-04
2.985185e-01,1.662363e-04
3.013889e-01,1.662524e-04
3.042593e-01,1.662684e-04
3.071296e-01,1.662845e-04
3.100000e-01,1.663006e-04
3.128704e-01,1.663167e-04
3.157407e-01,1.663328e-04
3.186111e-01,1.663489e-04
3.214815e-01,1.663650e-04
3.243519e-01,1.663811e-04
3.272222e-01,1.663972e-04
3.300926e-01,1.664133e-04
3.329630e-01,1.664294e-04
3.358333e-01,1.664455e-04
3.387037e-01,1.664616e-04
3.415741e-01,1.664777e-04
3.444444e-01,1.664939e-04
3.473148e-01,1.665100e-04
3.501852e-01,1.665261e-04
3.530556e-01,1.665423e-04
3.559259e-01,1.665584e-04
3.587963e-01,1.665745e-04
3.616667e-01,1.665907e-04
3.645370e-01,1.666068e-04
3.674074e-01,1.666230e-04
3.702778e-01,1.666391e-04
3.731481e-01,1.666553e-04
3.760185e-01,1.666714e-04
3.788889e-01,1.666876e-04
3.817593e-01,1.667038e-04
3.846296e-01,1.667199e-04
3.875000e-01,1.667361e-04
3.903704e-01,1.667523e-04
3.932407e-01,1.667684e-04
3.961111e-01,1.667846e-04
3.989815e-01,1.668008e-04
4.018519e-01,1.668170e-04
4.047222e-01,1.668332e-04
4.075926e-01,1.668494e-04
4.104630e-01,1.668656e-04
4.133333e-01,1.668818e-04
4.162037e-01,1.668980e-04
4.190741e-01,1.669142e-04
4.219444e-01,1.669304e-04
4.248148e-01,1.669466e-04
4.276852e-01,1.669628e-04
4.305556e-01,1.669790e-04
4.334259e-01,1.669952e-04
4.362963e-01,1.670115e-04
4.391667e-01,1.670277e-04
4.420370e-01,1.670439e-04
4.449074e-01,1.670602e-04
4.477778e-01,1.670764e-04
4.506481e-01,1.670926e-04
4.535185e-01,1.671089e-04
4.563889e-01,1.671251e-04
4.592593e-01,1.671414e-04
4.621296e-01,1.671576e-04
4.650000e-01,1.671739e-04
4.678704e-01,1.671901e-04
4.707407e-01,1.672064e-04
4.736111e-01,1.672227e-04
4.764815e-01,1.672389e-04
4.793519e-01,1.672552e-04
4.822222e-01,1.672715e-04
4.850926e-01,1.672877e-04
4.879630e-01,1.673040e-04
4.908333e-01,1.673203e-04
4.937037e-01,1.673366e-04
4.965741e-01,1.673529e-04
4.994444e-01,1.673692e-04
5.023148e-01,1.673855e-04
5.051852e-01,1.674018e-04
5.080556e-01,1.674181e-04
5.109259e-01,1.674344e-04
5.137963e-01,1.674507e-04
5.166667e-01,1.674670e-04
5.195370e-01,1.674833e-04
5.224074e-01,1.674996e-04
5.252778e-01,1.675160e-04
5.281481e-01,1.675323e-04
5.310185e-01,1.675486e-04
5.338889e-01,1.675649e-04
5.367593e-01,1.675813e-04
5.396296e-01,1.675976e-04
5.425000e-01,1.676140e-04
5.453704e-01,1.676303e-04
5.482407e-01,1.676467e-04
5.511111e-01,1.676630e-04
5.539815e-01,1.676794e-04
5.568519e-01,1.676957e-04
5.597222e-01,1.677121e-04
5.625926e-01,1.677284e-04
5.654630e-01,1.677448e-04
5.683333e-01,1.677612e-04
5.712037e-01,1.677775e-04
5.740741e-01,1.677939e-04
5.769444e-01,1.678103e-04
5.798148e-01,1.678267e-04
5.826852e-01,1.678431e-04
5.855556e-01,1.678595e-04
5.884259e-01,1.678758e-04
5.912963e-01,1.678922e-04
5.941667e-01,1.679086e-04
5.970370e-01,1.679250e-04
5.999074e-01,1.679414e-04
6.027778e-01,1.679579e-04
6.056481e-01,1.679743e-04
6.085185e-01,1.679907e-04
6.113889e-01,1.680071e-04
6.142593e-01,1.680235e-04
6.171296e-01,1.680399e-04
6.200000e-01,1.680564e-04
6.228704e-01,1.680728e-04
6.257407e-01,1.680892e-04
6.286111e-01,1.681057e-04
6.314815e-01,1.681221e-04
6.343519e-01,1.681386e-04
6.372222e-01,1.681550e-04
6.400926e-01,1.681714e-04
6.429630e-01,1.681879e-04
6.458333e-01,1.682044e-04
6.487037e-01,1.682208e-04
6.515741e-01,1.682373e-04
6.544444e-01,1.682537e-04
6.573148e-01,1.682702e-04
6.601852e-01,1.682867e-04
6.630556e-01,1.683032e-04
6.659259e-01,1.683196e-04
6.687963e-01,1.683361e-04
6.716667e-01,1.683526e-04
6.745370e-01,1.683691e-04
6.774074e-01,1.683856e-04
6.802778e-01,1.684021e-04
6.831481e-01,1.684186e-04
6.860185e-01,1.684351e-04
6.888889e-01,1.684516e-04
6.917593e-01,1.684681e-04
6.946296e-01,1.684846e-04
6.975000e-01,1.685011e-04
7.003704e-01,1.685176e-04
7.032407e-01,1.685342e-04
7.061111e-01,1.685507e-04
7.089815e-01,1.685672e-04
7.118519e-01,1.685837e-04
7.147222e-01,1.686003e-04
7.175926e-01,1.686168e-04
7.204630e-01,1.686333e-04
7.233333e-01,1.686499e-04
7.262037e-01,1.686664e-04
7.290741e-01,1.686830e-04
7.319444e-01,1.686995e-04
7.348148e-01,1.687161e-04
7.376852e-01,1.687327e-04
7.405556e-01,1.687492e-04
7.434259e-01,1.687658e-04
7.462963e-01,1.687824e-04
7.491667e-01,1.687989e-04
7.520370e-01,1.688155e-04
7.549074e-01,1.688321e-04
7.577778e-01,1.688487e-04
7.606481e-01,1.688653e-04
7.635185e-01,1.688818e-04
7.663889e-01,1.688984e-04
7.692593e-01,1.689150e-04
7.721296e-01,1.689316e-04
7.750000e-01,1.689482e-04
7.778704e-01,1.689648e-04
7.807407e-01,1.689814e-04
7.836111e-01,1.689981e-04
7.864815e-01,1.690147e-04
7.893519e-01,1.690313e-04
7.922222e-01,1.690479e-04
7.950926e-01,1.690645e-04
7.979630e-01,1.690812e-04
8.008333e-01,1.690978e-04
8.037037e-01,1.691144e-04
8.065741e-01,1.691311e-04
8.094444e-01,1.691477e-04
8.123148e-01,1.691644e-04
8.151852e-01,1.691810e-04
8.180556e-01,1.691977e-04
8.209259e-01,1.692143e-04
8.237963e-01,1.692310e-04
8.266667e-01,1.692476e-04
8.295370e-01,1.692643e-04
8.324074e-01,1.692810e-04
8.352778e-01,1.692976e-04
8.381481e-01,1.693143e-04
8.410185e-01,1.693310e-04
8.438889e-01,1.693477e-04
8.467593e-01,1.693643e-04
8.496296e-01,1.693810e-04
8.525000e-01,1.693977e-04
8.553704e-01,1.694144e-04
8.582407e-01,1.694311e-04
8.611111e-01,1.694478e-04
8.639815e-01,1.694645e-04
8.668519e-01,1.694812e-04
8.697222e-01,1.694979e-04
8.725926e-01,1.695146e-04
8.754630e-01,1.695314e-04
8.783333e-01,1.695481e-04
8.812037e-01,1.695648e-04
8.840741e-01,1.695815e-04
8.869444e-01,1.695983e-04
8.898148e-01,1.696150e-04
8.926852e-01,1.696317e-04
8.955556e-01,1.696485e-04
8.984259e-01,1.696652e-04
9.012963e-01,1.696820e-04
9.041667e-01,1.696987e-04
9.070370e-01,1.697155e-04
9.099074e-01,1.697322e-04
9.127778e-01,1.697490e-04
9.156481e-01,1.697657e-04
9.185185e-01,1.697825e-04
9.213889e-01,1.697993e-04
