# units: m/s
x_metres,value
0.000000e+00,1.905115e-05
2.870370e-03,1.905096e-05
5.740741e-03,1.905077e-05
8.611111e-03,1.905058e-05
1.148148e-02,1.905039e-05
1.435185e-02,1.905021e-05
1.722222e-02,1.905002e-05
2.009259e-02,1.904983e-05
2.296296e-02,1.904964e-05
2.583333e-02,1.904945e-05
2.870370e-02,1.904926e-05
3.157407e-02,1.904907e-05
3.444444e-02,1.904889e-05
3.731481e-02,1.904870e-05
4.018519e-02,1.904851e-05
4.305556e-02,1.904832e-05
4.592593e-02,1.904813e-05
4.879630e-02,1.904794e-05
5.166667e-02,1.904775e-05
5.453704e-02,1.904756e-05
5.740741e-02,1.904738e-05
6.027778e-02,1.904719e-05
6.314815e-02,1.904700e-05
6.601852e-02,1.904681e-05
6.888889e-02,1.904662e-05
7.175926e-02,1.904643e-05
7.462963e-02,1.904624e-05
7.750000e-02,1.904605e-05
8.037037e-02,1.904586e-05
8.324074e-02,1.904568e-05
8.611111e-02,1.904549e-05
8.898148e-02,1.904530e-05
9.185185e-02,1.904511e-05
9.472222e-02,1.904492e-05
9.759259e-02,1.904473e-05
1.004630e-01,1.904454e-05
1.033333e-01,1.904435e-05
1.062037e-01,1.904416e-05
1.090741e-01,1.904397e-05
1.119444e-01,1.904378e-05
1.148148e-01,1.904360e-05
1.176852e-01,1.904341e-05
1.205556e-01,1.904322e-05
1.234259e-01,1.904303e-05
1.262963e-01,1.904284e-05
1.291667e-01,1.904265e-05
1.320370e-01,1.904246e-05
1.349074e-01,1.904227e-05
1.377778e-01,1.904208e-05
1.406481e-01,1.904189e-05
1.435185e-01,1.904170e-05
1.463889e-01,1.904151e-05
1.492593e-01,1.904132e-05
1.521296e-01,1.904114e-05
1.550000e-01,1.904095e-05
1.578704e-01,1.904076e-05
1.607407e-01,1.904057e-05
1.636111e-01,1.904038e-05
1.664815e-01,1.904019e-05
1.693519e-01,1.904000e-05
1.722222e-01,1.903981e-05
1.750926e-01,1.903962e-05
1.779630e-01,1.903943e-05
1.808333e-01,1.903924e-05
1.837037e-01,1.903905e-05
1.865741e-01,1.903886e-05
1.894444e-01,1.903867e-05
1.923148e-01,1.903848e-05
1.951852e-01,1.903829e-05
1.980556e-01,1.903810e-05
2.009259e-01,1.903791e-05
2.037963e-01,1.903772e-05
2.066667e-01,1.903753e-05
2.095370e-01,1.903734e-05
2.124074e-01,1.903715e-05
2.152778e-01,1.903697e-05
2.181481e-01,1.903678e-05
2.210185e-01,1.903659e-05
2.238889e-01,1.903640e-05
2.267593e-01,1.903621e-05
2.296296e-01,1.903602e-05
2.325000e-01,1.903583e-05
2.353704e-01,1.903564e-05
2.382407e-01,1.903545e-05
2.411111e-01,1.903526e-05
2.439815e-01,1.903507e-05
2.468519e-01,1.903488e-05
2.497222e-01,1.903469e-05
2.525926e-01,1.903450e-05
2.554630e-01,1.903431e-05
2.583333e-01,1.903412e-05
2.612037e-01,1.903393e-05
2.640741e-01,1.903374e-05
2.669444e-01,1.903355e-05
2.698148e-01,1.903336e-05
2.726852e-01,1.903317e-05
2.755556e-01,1.903298e-05
2.784259e-01,1.903279e-05
2.812963e-01,1.903260e-05
2.841667e-01,1.903241e-05
2.870370e-01,1.903222e-05
2.899074e-01,1.903203e-05
2.927778e-01,1.903184e-05
2.956481e-01,1.903165e-05
2.985185e-01,1.903146e-05
3.013889e-01,1.903127e-05
3.042593e-01,1.903108e-05
3.071296e-01,1.903089e-05
3.100000e-01,1.903069e-05
3.128704e-01,1.903050e-05
3.157407e-01,1.903031e-05
3.186111e-01,1.903012e-05
3.214815e-01,1.902993e-05
3.243519e-01,1.902974e-05
3.272222e-01,1.902955e-05
3.300926e-01,1.902936e-05
3.329630e-01,1.902917e-05
3.358333e-01,1.902898e-05
3.387037e-01,1.902879e-05
3.415741e-01,1.902860e-05
3.444444e-01,1.902841e-05
3.473148e-01,1.902822e-05
3.501852e-01,1.902803e-05
3.530556e-01,1.902784e-05
3.559259e-01,1.902765e-05
3.587963e-01,1.902746e-05
3.616667e-01,1.902727e-05
3.645370e-01,1.902708e-05
3.674074e-01,1.902689e-05
3.702778e-01,1.902670e-05
3.731481e-01,1.902650e-05
3.760185e-01,1.902631e-05
3.788889e-01,1.902612e-05
3.817593e-01,1.902593e-05
3.846296e-01,1.902574e-05
3.875000e-01,1.902555e-05
3.903704e-01,1.902536e-05
3.932407e-01,1.902517e-05
3.961111e-01,1.902498e-05
3.989815e-01,1.902479e-05
4.018519e-01,1.902460e-05
4.047222e-01,1.902441e-05
4.075926e-01,1.902422e-05
4.104630e-01,1.902403e-05
4.133333e-01,1.902383e-05
4.162037e-01,1.902364e-05
4.190741e-01,1.902345e-05
4.219444e-01,1.902326e-05
4.248148e-01,1.902307e-05
4.276852e-01,1.902288e-05
4.305556e-01,1.902269e-05
4.334259e-01,1.902250e-05
4.362963e-01,1.902231e-05
4.391667e-01,1.902212e-05
4.420370e-01,1.902192e-05
4.449074e-01,1.902173e-05
4.477778e-01,1.902154e-05
4.506481e-01,1.902135e-05
4.535185e-01,1.902116e-05
4.563889e-01,1.902097e-05
4.592593e-01,1.902078e-05
4.621296e-01,1.902059e-05
4.650000e-01,1.902040e-05
4.678704e-01,1.902020e-05
4.707407e-01,1.902001e-05
4.736111e-01,1.901982e-05
4.764815e-01,1.901963e-05
4.793519e-01,1.901944e-05
4.822222e-01,1.901925e-05
4.850926e-01,1.901906e-05
4.879630e-01,1.901887e-05
4.908333e-01,1.901867e-05
4.937037e-01,1.901848e-05
4.965741e-01,1.901829e-05
4.994444e-01,1.901810e-05
5.023148e-01,1.901791e-05
5.051852e-01,1.901772e-05
5.080556e-01,1.901753e-05
5.109259e-01,1.901734e-05
5.137963e-01,1.901714e-05
5.166667e-01,1.901695e-05
5.195370e-01,1.901676e-05
5.224074e-01,1.901657e-05
5.252778e-01,1.901638e-05
5.281481e-01,1.901619e-05
5.310185e-01,1.901599e-05
5.338889e-01,1.901580e-05
5.367593e-01,1.901561e-05
5.396296e-01,1.901542e-05
5.425000e-01,1.901523e-05
5.453704e-01,1.901504e-05
5.482407e-01,1.901485e-05
5.511111e-01,1.901465e-05
5.539815e-01,1.901446e-05
5.568519e-01,1.901427e-05
5.597222e-01,1.901408e-05
5.625926e-01,1.901389e-05
5.654630e-01,1.901369e-05
5.683333e-01,1.901350e-05
5.712037e-01,1.901331e-05
5.740741e-01,1.901312e-05
5.769444e-01,1.901293e-05
5.798148e-01,1.901274e-05
5.826852e-01,1.901254e-05
5.855556e-01,1.901235e-05
5.884259e-01,1.901216e-05
5.912963e-01,1.901197e-05
5.941667e-01,1.901178e-05
5.970370e-01,1.901158e-05
5.999074e-01,1.901139e-05
6.027778e-01,1.901120e-05
6.056481e-01,1.901101e-05
6.085185e-01,1.901082e-05
6.113889e-01,1.901062e-05
6.142593e-01,1.901043e-05
6.171296e-01,1.901024e-05
6.200000e-01,1.901005e-05
6.228704e-01,1.900986e-05
6.257407e-01,1.900966e-05
6.286111e-01,1.900947e-05
6.314815e-01,1.900928e-05
6.343519e-01,1.900909e-05
6.372222e-01,1.900890e-05
6.400926e-01,1.900870e-05
6.429630e-01,1.900851e-05
6.458333e-01,1.900832e-05
6.487037e-01,1.900813e-05
6.515741e-01,1.900793e-05
6.544444e-01,1.900774e-05
6.573148e-01,1.900755e-05
6.601852e-01,1.900736e-05
6.630556e-01,1.900717e-05
6.659259e-01,1.900697e-05
6.687963e-01,1.900678e-05
6.716667e-01,1.900659e-05
6.745370e-01,1.900640e-05
6.774074e-01,1.900620e-05
6.802778e-01,1.900601e-05
6.831481e-01,1.900582e-05
6.860185e-01,1.900563e-05
6.888889e-01,1.900543e-05
6.917593e-01,1.900524e-05
6.946296e-01,1.900505e-05
6.975000e-01,1.900486e-05
7.003704e-01,1.900466e-05
7.032407e-01,1.900447e-05
7.061111e-01,1.900428e-05
7.089815e-01,1.900409e-05
7.118519e-01,1.900389e-05
7.147222e-01,1.900370e-05
7.175926e-01,1.900351e-05
7.204630e-01,1.900332e-05
7.233333e-01,1.900312e-05
7.262037e-01,1.900293e-05
7.290741e-01,1.900274e-05
7.319444e-01,1.900254e-05
7.348148e-01,1.900235e-05
7.376852e-01,1.900216e-05
7.405556e-01,1.900197e-05
7.434259e-01,1.900177e-05
7.462963e-01,1.900158e-05
7.491667e-01,1.900139e-05
7.520370e-01,1.900120e-05
7.549074e-01,1.900100e-05
7.577778e-01,1.900081e-05
7.606481e-01,1.900062e-05
7.635185e-01,1.900042e-05
7.663889e-01,1.900023e-05
7.692593e-01,1.900004e-05
7.721296e-01,1.899984e-05
7.750000e-01,1.899965e-05
7.778704e-01,1.899946e-05
7.807407e-01,1.899927e-05
7.836111e-01,1.899907e-05
7.864815e-01,1.899888e-05
7.893519e-01,1.899869e-05
7.922222e-01,1.899849e-05
7.950926e-01,1.899830e-05
7.979630e-01,1.899811e-05
8.008333e-01,1.899791e-05
8.037037e-01,1.899772e-05
8.065741e-01,1.899753e-05
8.094444e-01,1.899733e-05
8.123148e-01,1.899714e-05
8.151852e-01,1.899695e-05
8.180556e-01,1.899676e-05
8.209259e-01,1.899656e-05
8.237963e-01,1.899637e-05
8.266667e-01,1.899618e-05
8.295370e-01,1.899598e-05
8.324074e-01,1.899579e-05
8.352778e-01,1.899560e-05
8.381481e-01,1.899540e-05
8.410185e-01,1.899521e-05
8.438889e-01,1.899502e-05
8.467593e-01,1.899482e-05
8.496296e-01,1.899463e-05
8.525000e-01,1.899443e-05
8.553704e-01,1.899424e-05
8.582407e-01,1.899405e-05
8.611111e-01,1.899385e-05
8.639815e-01,1.899366e-05
8.668519e-01,1.899347e-05
8.697222e-01,1.899327e-05
8.725926e-01,1.899308e-05
8.754630e-01,1.899289e-05
8.783333e-01,1.899269e-05
8.812037e-01,1.899250e-05
8.840741e-01,1.899231e-05
8.869444e-01,1.899211e-05
8.898148e-01,1.899192e-05
8.926852e-01,1.899172e-05
8.955556e-01,1.899153e-05
8.984259e-01,1.899134e-05
9.012963e-01,1.899114e-05
9.041667e-01,1.899095e-05
9.070370e-01,1.899076e-05
9.099074e-01,1.899056e-05
9.127778e-01,1.899037e-05
9.156481e-01,1.899017e-05
