# units: molT2/s
t_seconds,value
0.000000e+00,0.000000e+00
3.369100e+04,1.091013e-18
6.738200e+04,1.090669e-18
1.010730e+05,1.090313e-18
1.347640e+05,1.089952e-18
1.684550e+05,1.089585e-18
2.021460e+05,1.089209e-18
2.358370e+05,1.088819e-18
2.695280e+05,1.088412e-18
3.032190e+05,1.087983e-18
3.369100e+05,1.087524e-18
3.706010e+05,1.087031e-18
4.042920e+05,1.086494e-18
4.379830e+05,1.085906e-18
4.716740e+05,1.085257e-18
5.053650e+05,1.084538e-18
5.390560e+05,1.083737e-18
5.727470e+05,1.082846e-18
6.064380e+05,1.081851e-18
6.401290e+05,1.080742e-18
6.738200e+05,1.079506e-18
7.075110e+05,1.078132e-18
7.412020e+05,1.076608e-18
7.748930e+05,1.074923e-18
8.085840e+05,1.073065e-18
8.422750e+05,1.071023e-18
8.759660e+05,1.068787e-18
9.096570e+05,1.066347e-18
9.433480e+05,1.063693e-18
9.770390e+05,1.060817e-18
1.010730e+06,1.057710e-18
1.044421e+06,1.054367e-18
1.078112e+06,1.050781e-18
1.111803e+06,1.046947e-18
1.145494e+06,1.042859e-18
1.179185e+06,1.038515e-18
1.212876e+06,1.033913e-18
1.246567e+06,1.029050e-18
1.280258e+06,1.023926e-18
1.313949e+06,1.018541e-18
1.347640e+06,1.012897e-18
1.381331e+06,1.006994e-18
1.415022e+06,1.000835e-18
1.448713e+06,9.944244e-19
1.482404e+06,9.877656e-19
1.516095e+06,9.808635e-19
1.549786e+06,9.737234e-19
1.583477e+06,9.663513e-19
1.617168e+06,9.587537e-19
1.650859e+06,9.509374e-19
1.684550e+06,9.429099e-19
1.718241e+06,9.346790e-19
1.751932e+06,9.262527e-19
1.785623e+06,9.176394e-19
1.819314e+06,9.088479e-19
1.853005e+06,8.998869e-19
1.886696e+06,8.907656e-19
1.920387e+06,8.814931e-19
1.954078e+06,8.720786e-19
1.987769e+06,8.625315e-19
2.021460e+06,8.528610e-19
2.055151e+06,8.430767e-19
2.088842e+06,8.331877e-19
2.122533e+06,8.232034e-19
2.156224e+06,8.131328e-19
2.189915e+06,8.029851e-19
2.223606e+06,7.927692e-19
2.257297e+06,7.824938e-19
2.290988e+06,7.721677e-19
2.324679e+06,7.617992e-19
2.358370e+06,7.513967e-19
2.392061e+06,7.409681e-19
2.425752e+06,7.305213e-19
2.459443e+06,7.200640e-19
2.493134e+06,7.096036e-19
2.526825e+06,6.991471e-19
2.560516e+06,6.887015e-19
2.594207e+06,6.782735e-19
2.627898e+06,6.678695e-19
2.661589e+06,6.574957e-19
2.695280e+06,6.471580e-19
2.728971e+06,6.368621e-19
2.762662e+06,6.266134e-19
2.796353e+06,6.164171e-19
2.830044e+06,6.062781e-19
2.863735e+06,5.962011e-19
2.897426e+06,5.861905e-19
2.931117e+06,5.762506e-19
2.964808e+06,5.663854e-19
2.998499e+06,5.565985e-19
3.032190e+06,5.468936e-19
3.065881e+06,5.372739e-19
3.099572e+06,5.277425e-19
3.133263e+06,5.183022e-19
3.166954e+06,5.089559e-19
3.200645e+06,4.997058e-19
3.234336e+06,4.905545e-19
3.268027e+06,4.815038e-19
3.301718e+06,4.725558e-19
3.335409e+06,4.637123e-19
3.369100e+06,4.549747e-19
3.402791e+06,4.463445e-19
3.436482e+06,4.378231e-19
3.470173e+06,4.294114e-19
3.503864e+06,4.211104e-19
3.537555e+06,4.129211e-19
3.571246e+06,4.048440e-19
3.604937e+06,3.968797e-19
3.638628e+06,3.890288e-19
3.672319e+06,3.812915e-19
3.706010e+06,3.736680e-19
3.739701e+06,3.661585e-19
3.773392e+06,3.587630e-19
3.807083e+06,3.514813e-19
3.840774e+06,3.443134e-19
