# units: 1/m
x_metres,value
0.000000e+00,2.496962e-01
2.870370e-03,2.497121e-01
5.740741e-03,2.497280e-01
8.611111e-03,2.497440e-01
1.148148e-02,2.497599e-01
1.435185e-02,2.497759e-01
1.722222e-02,2.497918e-01
2.009259e-02,2.498078e-01
2.296296e-02,2.498237e-01
2.583333e-02,2.498397e-01
2.870370e-02,2.498556e-01
3.157407e-02,2.498716e-01
3.444444e-02,2.498876e-01
3.731481e-02,2.499035e-01
4.018519e-02,2.499195e-01
4.305556e-02,2.499355e-01
4.592593e-02,2.499514e-01
4.879630e-02,2.499674e-01
5.166667e-02,2.499834e-01
5.453704e-02,2.499994e-01
5.740741e-02,2.500154e-01
6.027778e-02,2.500313e-01
6.314815e-02,2.500473e-01
6.601852e-02,2.500633e-01
6.888889e-02,2.500793e-01
7.175926e-02,2.500953e-01
7.462963e-02,2.501113e-01
7.750000e-02,2.501273e-01
8.037037e-02,2.501433e-01
8.324074e-02,2.501593e-01
8.611111e-02,2.501753e-01
8.898148e-02,2.501914e-01
9.185185e-02,2.502074e-01
9.472222e-02,2.502234e-01
9.759259e-02,2.502394e-01
1.004630e-01,2.502554e-01
1.033333e-01,2.502715e-01
1.062037e-01,2.502875e-01
1.090741e-01,2.503035e-01
1.119444e-01,2.503195e-01
1.148148e-01,2.503356e-01
1.176852e-01,2.503516e-01
1.205556e-01,2.503677e-01
1.234259e-01,2.503837e-01
1.262963e-01,2.503998e-01
1.291667e-01,2.504158e-01
1.320370e-01,2.504319e-01
1.349074e-01,2.504479e-01
1.377778e-01,2.504640e-01
1.406481e-01,2.504800e-01
1.435185e-01,2.504961e-01
1.463889e-01,2.505121e-01
1.492593e-01,2.505282e-01
1.521296e-01,2.505443e-01
1.550000e-01,2.505604e-01
1.578704e-01,2.505764e-01
1.607407e-01,2.505925e-01
1.636111e-01,2.506086e-01
1.664815e-01,2.506247e-01
1.693519e-01,2.506408e-01
1.722222e-01,2.506568e-01
1.750926e-01,2.506729e-01
1.779630e-01,2.506890e-01
1.808333e-01,2.507051e-01
1.837037e-01,2.507212e-01
1.865741e-01,2.507373e-01
1.894444e-01,2.507534e-01
1.923148e-01,2.507695e-01
1.951852e-01,2.507856e-01
1.980556e-01,2.508017e-01
2.009259e-01,2.508179e-01
2.037963e-01,2.508340e-01
2.066667e-01,2.508501e-01
2.095370e-01,2.508662e-01
2.124074e-01,2.508823e-01
2.152778e-01,2.508985e-01
2.181481e-01,2.509146e-01
2.210185e-01,2.509307e-01
2.238889e-01,2.509469e-01
2.267593e-01,2.509630e-01
2.296296e-01,2.509791e-01
2.325000e-01,2.509953e-01
2.353704e-01,2.510114e-01
2.382407e-01,2.510276e-01
2.411111e-01,2.510437e-01
2.439815e-01,2.510599e-01
2.468519e-01,2.510760e-01
2.497222e-01,2.510922e-01
2.525926e-01,2.511083e-01
2.554630e-01,2.511245e-01
2.583333e-01,2.511407e-01
2.612037e-01,2.511568e-01
2.640741e-01,2.511730e-01
2.669444e-01,2.511892e-01
2.698148e-01,2.512053e-01
2.726852e-01,2.512215e-01
2.755556e-01,2.512377e-01
2.784259e-01,2.512539e-01
2.812963e-01,2.512701e-01
2.841667e-01,2.512863e-01
2.870370e-01,2.513025e-01
2.899074e-01,2.513186e-01
2.927778e-01,2.513348e-01
2.956481e-01,2.513510e-01
2.985185e-01,2.513672e-01
3.013889e-01,2.513834e-01
3.042593e-01,2.513997e-01
3.071296e-01,2.514159e-01
3.100000e-01,2.514321e-01
3.128704e-01,2.514483e-01
3.157407e-01,2.514645e-01
3.186111e-01,2.514807e-01
3.214815e-01,2.514969e-01
3.243519e-01,2.515132e-01
3.272222e-01,2.515294e-01
3.300926e-01,2.515456e-01
3.329630e-01,2.515619e-01
3.358333e-01,2.515781e-01
3.387037e-01,2.515943e-01
3.415741e-01,2.516106e-01
3.444444e-01,2.516268e-01
3.473148e-01,2.516431e-01
3.501852e-01,2.516593e-01
3.530556e-01,2.516756e-01
3.559259e-01,2.516918e-01
3.587963e-01,2.517081e-01
3.616667e-01,2.517243e-01
3.645370e-01,2.517406e-01
3.674074e-01,2.517569e-01
3.702778e-01,2.517731e-01
3.731481e-01,2.517894e-01
3.760185e-01,2.518057e-01
3.788889e-01,2.518219e-01
3.817593e-01,2.518382e-01
3.846296e-01,2.518545e-01
3.875000e-01,2.518708e-01
3.903704e-01,2.518871e-01
3.932407e-01,2.519034e-01
3.961111e-01,2.519197e-01
3.989815e-01,2.519359e-01
4.018519e-01,2.519522e-01
4.047222e-01,2.519685e-01
4.075926e-01,2.519848e-01
4.104630e-01,2.520011e-01
4.133333e-01,2.520175e-01
4.162037e-01,2.520338e-01
4.190741e-01,2.520501e-01
4.219444e-01,2.520664e-01
4.248148e-01,2.520827e-01
4.276852e-01,2.520990e-01
4.305556e-01,2.521153e-01
4.334259e-01,2.521317e-01
4.362963e-01,2.521480e-01
4.391667e-01,2.521643e-01
