# units: molT2
t_seconds,value
0.000000e+00,3.627000e-12
3.369100e+04,3.590232e-12
6.738200e+04,3.553480e-12
1.010730e+05,3.516741e-12
1.347640e+05,3.480013e-12
1.684550e+05,3.443298e-12
2.021460e+05,3.406595e-12
2.358370e+05,3.369906e-12
2.695280e+05,3.333230e-12
3.032190e+05,3.296569e-12
3.369100e+05,3.259923e-12
3.706010e+05,3.223294e-12
4.042920e+05,3.186683e-12
4.379830e+05,3.150091e-12
4.716740e+05,3.113522e-12
5.053650e+05,3.076977e-12
5.390560e+05,3.040459e-12
5.727470e+05,3.003970e-12
6.064380e+05,2.967516e-12
6.401290e+05,2.931099e-12
6.738200e+05,2.894723e-12
7.075110e+05,2.858394e-12
7.412020e+05,2.822116e-12
7.748930e+05,2.785894e-12
8.085840e+05,2.749736e-12
8.422750e+05,2.713646e-12
8.759660e+05,2.677632e-12
9.096570e+05,2.641699e-12
9.433480e+05,2.605857e-12
9.770390e+05,2.570111e-12
1.010730e+06,2.534469e-12
1.044421e+06,2.498941e-12
1.078112e+06,2.463533e-12
1.111803e+06,2.428255e-12
1.145494e+06,2.393114e-12
1.179185e+06,2.358119e-12
1.212876e+06,2.323280e-12
1.246567e+06,2.288605e-12
1.280258e+06,2.254102e-12
1.313949e+06,2.219780e-12
1.347640e+06,2.185649e-12
1.381331e+06,2.151717e-12
1.415022e+06,2.117992e-12
1.448713e+06,2.084484e-12
1.482404e+06,2.051199e-12
1.516095e+06,2.018147e-12
1.549786e+06,1.985336e-12
1.583477e+06,1.952774e-12
1.617168e+06,1.920467e-12
1.650859e+06,1.888423e-12
1.684550e+06,1.856651e-12
1.718241e+06,1.825155e-12
1.751932e+06,1.793944e-12
1.785623e+06,1.763022e-12
1.819314e+06,1.732397e-12
1.853005e+06,1.702074e-12
1.886696e+06,1.672058e-12
1.920387e+06,1.642355e-12
1.954078e+06,1.612969e-12
1.987769e+06,1.583904e-12
2.021460e+06,1.555166e-12
2.055151e+06,1.526757e-12
2.088842e+06,1.498682e-12
2.122533e+06,1.470942e-12
2.156224e+06,1.443543e-12
2.189915e+06,1.416485e-12
2.223606e+06,1.389771e-12
2.257297e+06,1.363404e-12
2.290988e+06,1.337384e-12
2.324679e+06,1.311714e-12
2.358370e+06,1.286395e-12
2.392061e+06,1.261427e-12
2.425752e+06,1.236810e-12
2.459443e+06,1.212547e-12
2.493134e+06,1.188635e-12
2.526825e+06,1.165077e-12
2.560516e+06,1.141870e-12
2.594207e+06,1.119014e-12
2.627898e+06,1.096509e-12
2.661589e+06,1.074354e-12
2.695280e+06,1.052547e-12
2.728971e+06,1.031087e-12
2.762662e+06,1.009972e-12
2.796353e+06,9.892008e-13
2.830044e+06,9.687713e-13
2.863735e+06,9.486813e-13
2.897426e+06,9.289287e-13
2.931117e+06,9.095110e-13
2.964808e+06,8.904257e-13
2.998499e+06,8.716702e-13
3.032190e+06,8.532417e-13
3.065881e+06,8.351374e-13
3.099572e+06,8.173543e-13
3.133263e+06,7.998893e-13
3.166954e+06,7.827392e-13
3.200645e+06,7.659008e-13
3.234336e+06,7.493707e-13
3.268027e+06,7.331457e-13
3.301718e+06,7.172221e-13
3.335409e+06,7.015966e-13
3.369100e+06,6.862655e-13
3.402791e+06,6.712252e-13
3.436482e+06,6.564720e-13
3.470173e+06,6.420023e-13
3.503864e+06,6.278123e-13
3.537555e+06,6.138983e-13
3.571246e+06,6.002564e-13
3.604937e+06,5.868829e-13
3.638628e+06,5.737739e-13
3.672319e+06,5.609257e-13
3.706010e+06,5.483343e-13
3.739701e+06,5.359960e-13
3.773392e+06,5.239069e-13
3.807083e+06,5.120632e-13
3.840774e+06,5.004610e-13
3.874465e+06,4.890965e-13
3.908156e+06,4.779659e-13
3.941847e+06,4.670654e-13
3.975538e+06,4.563913e-13
4.009229e+06,4.459397e-13
4.042920e+06,4.357069e-13
4.076611e+06,4.256892e-13
4.110302e+06,4.158829e-13
4.143993e+06,4.062844e-13
4.177684e+06,3.968900e-13
4.211375e+06,3.876961e-13
4.245066e+06,3.786991e-13
4.278757e+06,3.698954e-13
4.312448e+06,3.612817e-13
4.346139e+06,3.528543e-13
4.379830e+06,3.446099e-13
4.413521e+06,3.365451e-13
4.447212e+06,3.286565e-13
4.480903e+06,3.209407e-13
4.514594e+06,3.133945e-13
4.548285e+06,3.060147e-13
4.581976e+06,2.987980e-13
4.615667e+06,2.917413e-13
4.649358e+06,2.848415e-13
4.683049e+06,2.780955e-13
4.716740e+06,2.715002e-13
4.750431e+06,2.650527e-13
4.784122e+06,2.587500e-13
4.817813e+06,2.525892e-13
4.851504e+06,2.465675e-13
4.885195e+06,2.406820e-13
4.918886e+06,2.349299e-13
4.952577e+06,2.293086e-13
4.986268e+06,2.238153e-13
5.019959e+06,2.184474e-13
5.053650e+06,2.132023e-13
5.087341e+06,2.080774e-13
5.121032e+06,2.030702e-13
5.154723e+06,1.981783e-13
5.188414e+06,1.933991e-13
5.222105e+06,1.887304e-13
5.255796e+06,1.841697e-13
5.289487e+06,1.797148e-13
5.323178e+06,1.753634e-13
5.356869e+06,1.711132e-13
5.390560e+06,1.669621e-13
5.424251e+06,1.629080e-13
5.457942e+06,1.589486e-13
5.491633e+06,1.550821e-13
5.525324e+06,1.513062e-13
