# units: m/s
x_metres,value
0.000000e+00,3.311612e-05
2.870370e-03,3.311930e-05
5.740741e-03,3.312247e-05
8.611111e-03,3.312564e-05
1.148148e-02,3.312881e-05
1.435185e-02,3.313198e-05
1.722222e-02,3.313516e-05
2.009259e-02,3.313833e-05
2.296296e-02,3.314151e-05
2.583333e-02,3.314468e-05
2.870370e-02,3.314786e-05
3.157407e-02,3.315104e-05
3.444444e-02,3.315421e-05
3.731481e-02,3.315739e-05
4.018519e-02,3.316057e-05
4.305556e-02,3.316375e-05
4.592593e-02,3.316693e-05
4.879630e-02,3.317011e-05
5.166667e-02,3.317329e-05
5.453704e-02,3.317647e-05
5.740741e-02,3.317965e-05
6.027778e-02,3.318284e-05
6.314815e-02,3.318602e-05
6.601852e-02,3.318920e-05
6.888889e-02,3.319239e-05
7.175926e-02,3.319557e-05
7.462963e-02,3.319876e-05
7.750000e-02,3.320195e-05
8.037037e-02,3.320513e-05
8.324074e-02,3.320832e-05
8.611111e-02,3.321151e-05
8.898148e-02,3.321470e-05
9.185185e-02,3.321789e-05
9.472222e-02,3.322108e-05
9.759259e-02,3.322427e-05
1.004630e-01,3.322746e-05
1.033333e-01,3.323065e-05
1.062037e-01,3.323385e-05
1.090741e-01,3.323704e-05
1.119444e-01,3.324023e-05
1.148148e-01,3.324343e-05
1.176852e-01,3.324662e-05
1.205556e-01,3.324982e-05
1.234259e-01,3.325302e-05
1.262963e-01,3.325621e-05
1.291667e-01,3.325941e-05
1.320370e-01,3.326261e-05
1.349074e-01,3.326581e-05
1.377778e-01,3.326901e-05
1.406481e-01,3.327221e-05
1.435185e-01,3.327541e-05
1.463889e-01,3.327861e-05
1.492593e-01,3.328181e-05
1.521296e-01,3.328501e-05
1.550000e-01,3.328822e-05
1.578704e-01,3.329142e-05
1.607407e-01,3.329462e-05
1.636111e-01,3.329783e-05
1.664815e-01,3.330103e-05
1.693519e-01,3.330424e-05
1.722222e-01,3.330745e-05
1.750926e-01,3.331065e-05
1.779630e-01,3.331386e-05
1.808333e-01,3.331707e-05
1.837037e-01,3.332028e-05
1.865741e-01,3.332349e-05
1.894444e-01,3.332670e-05
1.923148e-01,3.332991e-05
1.951852e-01,3.333312e-05
1.980556e-01,3.333634e-05
2.009259e-01,3.333955e-05
2.037963e-01,3.334276e-05
2.066667e-01,3.334598e-05
2.095370e-01,3.334919e-05
2.124074e-01,3.335241e-05
2.152778e-01,3.335562e-05
2.181481e-01,3.335884e-05
2.210185e-01,3.336206e-05
2.238889e-01,3.336528e-05
2.267593e-01,3.336849e-05
2.296296e-01,3.337171e-05
2.325000e-01,3.337493e-05
2.353704e-01,3.337815e-05
2.382407e-01,3.338138e-05
2.411111e-01,3.338460e-05
2.439815e-01,3.338782e-05
2.468519e-01,3.339104e-05
2.497222e-01,3.339427e-05
2.525926e-01,3.339749e-05
2.554630e-01,3.340071e-05
2.583333e-01,3.340394e-05
2.612037e-01,3.340717e-05
2.640741e-01,3.341039e-05
2.669444e-01,3.341362e-05
2.698148e-01,3.341685e-05
2.726852e-01,3.342008e-05
2.755556e-01,3.342331e-05
2.784259e-01,3.342654e-05
2.812963e-01,3.342977e-05
2.841667e-01,3.343300e-05
2.870370e-01,3.343623e-05
2.899074e-01,3.343946e-05
2.927778e-01,3.344269e-05
2.956481e-01,3.344593e-05
2.985185e-01,3.344916e-05
3.013889e-01,3.345240e-05
3.042593e-01,3.345563e-05
3.071296e-01,3.345887e-05
3.100000e-01,3.346210e-05
3.128704e-01,3.346534e-05
3.157407e-01,3.346858e-05
3.186111e-01,3.347182e-05
3.214815e-01,3.347506e-05
3.243519e-01,3.347830e-05
3.272222e-01,3.348154e-05
3.300926e-01,3.348478e-05
3.329630e-01,3.348802e-05
3.358333e-01,3.349126e-05
3.387037e-01,3.349451e-05
3.415741e-01,3.349775e-05
3.444444e-01,3.350099e-05
3.473148e-01,3.350424e-05
3.501852e-01,3.350748e-05
3.530556e-01,3.351073e-05
3.559259e-01,3.351398e-05
3.587963e-01,3.351722e-05
3.616667e-01,3.352047e-05
3.645370e-01,3.352372e-05
3.674074e-01,3.352697e-05
3.702778e-01,3.353022e-05
3.731481e-01,3.353347e-05
3.760185e-01,3.353672e-05
3.788889e-01,3.353997e-05
3.817593e-01,3.354323e-05
3.846296e-01,3.354648e-05
3.875000e-01,3.354973e-05
3.903704e-01,3.355299e-05
3.932407e-01,3.355624e-05
3.961111e-01,3.355950e-05
3.989815e-01,3.356275e-05
4.018519e-01,3.356601e-05
4.047222e-01,3.356927e-05
4.075926e-01,3.357253e-05
4.104630e-01,3.357578e-05
4.133333e-01,3.357904e-05
4.162037e-01,3.358230e-05
4.190741e-01,3.358556e-05
4.219444e-01,3.358883e-05
4.248148e-01,3.359209e-05
4.276852e-01,3.359535e-05
4.305556e-01,3.359861e-05
4.334259e-01,3.360188e-05
4.362963e-01,3.360514e-05
4.391667e-01,3.360841e-05
4.420370e-01,3.361167e-05
4.449074e-01,3.361494e-05
4.477778e-01,3.361821e-05
4.506481e-01,3.362147e-05
4.535185e-01,3.362474e-05
4.563889e-01,3.362801e-05
4.592593e-01,3.363128e-05
4.621296e-01,3.363455e-05
4.650000e-01,3.363782e-05
4.678704e-01,3.364109e-05
4.707407e-01,3.364436e-05
4.736111e-01,3.364764e-05
4.764815e-01,3.365091e-05
4.793519e-01,3.365418e-05
4.822222e-01,3.365746e-05
4.850926e-01,3.366073e-05
4.879630e-01,3.366401e-05
4.908333e-01,3.366729e-05
4.937037e-01,3.367056e-05
4.965741e-01,3.367384e-05
4.994444e-01,3.367712e-05
5.023148e-01,3.368040e-05
5.051852e-01,3.368368e-05
5.080556e-01,3.368696e-05
5.109259e-01,3.369024e-05
5.137963e-01,3.369352e-05
5.166667e-01,3.369680e-05
5.195370e-01,3.370009e-05
5.224074e-01,3.370337e-05
5.252778e-01,3.370665e-05
5.281481e-01,3.370994e-05
5.310185e-01,3.371322e-05
5.338889e-01,3.371651e-05
5.367593e-01,3.371980e-05
5.396296e-01,3.372308e-05
5.425000e-01,3.372637e-05
5.453704e-01,3.372966e-05
5.482407e-01,3.373295e-05
5.511111e-01,3.373624e-05
5.539815e-01,3.373953e-05
5.568519e-01,3.374282e-05
5.597222e-01,3.374611e-05
5.625926e-01,3.374941e-05
5.654630e-01,3.375270e-05
5.683333e-01,3.375599e-05
5.712037e-01,3.375929e-05
5.740741e-01,3.376258e-05
5.769444e-01,3.376588e-05
5.798148e-01,3.376917e-05
5.826852e-01,3.377247e-05
5.855556e-01,3.377577e-05
5.884259e-01,3.377907e-05
5.912963e-01,3.378237e-05
5.941667e-01,3.378567e-05
5.970370e-01,3.378897e-05
5.999074e-01,3.379227e-05
6.027778e-01,3.379557e-05
6.056481e-01,3.379887e-05
6.085185e-01,3.380217e-05
6.113889e-01,3.380548e-05
6.142593e-01,3.380878e-05
6.171296e-01,3.381209e-05
6.200000e-01,3.381539e-05
6.228704e-01,3.381870e-05
6.257407e-01,3.382200e-05
6.286111e-01,3.382531e-05
6.314815e-01,3.382862e-05
6.343519e-01,3.383193e-05
6.372222e-01,3.383524e-05
6.400926e-01,3.383855e-05
6.429630e-01,3.384186e-05
6.458333e-01,3.384517e-05
6.487037e-01,3.384848e-05
6.515741e-01,3.385179e-05
6.544444e-01,3.385511e-05
6.573148e-01,3.385842e-05
6.601852e-01,3.386173e-05
6.630556e-01,3.386505e-05
6.659259e-01,3.386837e-05
6.687963e-01,3.387168e-05
6.716667e-01,3.387500e-05
6.745370e-01,3.387832e-05
6.774074e-01,3.388163e-05
6.802778e-01,3.388495e-05
6.831481e-01,3.388827e-05
6.860185e-01,3.389159e-05
6.888889e-01,3.389491e-05
6.917593e-01,3.389824e-05
6.946296e-01,3.390156e-05
6.975000e-01,3.390488e-05
7.003704e-01,3.390820e-05
7.032407e-01,3.391153e-05
7.061111e-01,3.391485e-05
7.089815e-01,3.391818e-05
7.118519e-01,3.392151e-05
7.147222e-01,3.392483e-05
7.175926e-01,3.392816e-05
7.204630e-01,3.393149e-05
7.233333e-01,3.393482e-05
7.262037e-01,3.393815e-05
7.290741e-01,3.394148e-05
7.319444e-01,3.394481e-05
7.348148e-01,3.394814e-05
7.376852e-01,3.395147e-05
7.405556e-01,3.395480e-05
7.434259e-01,3.395814e-05
7.462963e-01,3.396147e-05
7.491667e-01,3.396481e-05
7.520370e-01,3.396814e-05
7.549074e-01,3.397148e-05
7.577778e-01,3.397481e-05
7.606481e-01,3.397815e-05
7.635185e-01,3.398149e-05
7.663889e-01,3.398483e-05
7.692593e-01,3.398817e-05
7.721296e-01,3.399151e-05
7.750000e-01,3.399485e-05
7.778704e-01,3.399819e-05
7.807407e-01,3.400153e-05
7.836111e-01,3.400487e-05
7.864815e-01,3.400822e-05
7.893519e-01,3.401156e-05
7.922222e-01,3.401490e-05
7.950926e-01,3.401825e-05
7.979630e-01,3.402159e-05
8.008333e-01,3.402494e-05
8.037037e-01,3.402829e-05
8.065741e-01,3.403164e-05
8.094444e-01,3.403498e-05
8.123148e-01,3.403833e-05
8.151852e-01,3.404168e-05
8.180556e-01,3.404503e-05
8.209259e-01,3.404838e-05
8.237963e-01,3.405174e-05
8.266667e-01,3.405509e-05
8.295370e-01,3.405844e-05
8.324074e-01,3.406180e-05
8.352778e-01,3.406515e-05
8.381481e-01,3.406851e-05
8.410185e-01,3.407186e-05
8.438889e-01,3.407522e-05
8.467593e-01,3.407857e-05
8.496296e-01,3.408193e-05
8.525000e-01,3.408529e-05
8.553704e-01,3.408865e-05
8.582407e-01,3.409201e-05
8.611111e-01,3.409537e-05
8.639815e-01,3.409873e-05
8.668519e-01,3.410209e-05
8.697222e-01,3.410545e-05
8.725926e-01,3.410882e-05
8.754630e-01,3.411218e-05
8.783333e-01,3.411555e-05
8.812037e-01,3.411891e-05
8.840741e-01,3.412228e-05
8.869444e-01,3.412564e-05
8.898148e-01,3.412901e-05
8.926852e-01,3.413238e-05
8.955556e-01,3.413575e-05
8.984259e-01,3.413911e-05
9.012963e-01,3.414248e-05
9.041667e-01,3.414585e-05
9.070370e-01,3.414923e-05
9.099074e-01,3.415260e-05
9.127778e-01,3.415597e-05
9.156481e-01,3.415934e-05
9.185185e-01,3.416272e-05
9.213889e-01,3.416609e-05
9.242593e-01,3.416946e-05
9.271296e-01,3.417284e-05
9.300000e-01,3.417622e-05
