# units: 1/m
x_metres,value
0.000000e+00,2.045945e-01
1.660714e-02,2.047928e-01
3.321429e-02,2.049917e-01
4.982143e-02,2.051910e-01
6.642857e-02,2.053907e-01
8.303571e-02,2.055910e-01
9.964286e-02,2.057918e-01
1.162500e-01,2.059930e-01
1.328571e-01,2.061947e-01
1.494643e-01,2.063970e-01
1.660714e-01,2.065997e-01
1.826786e-01,2.068029e-01
1.992857e-01,2.070067e-01
2.158929e-01,2.072109e-01
2.325000e-01,2.074156e-01
2.491071e-01,2.076209e-01
2.657143e-01,2.078266e-01
2.823214e-01,2.080329e-01
2.989286e-01,2.082397e-01
3.155357e-01,2.084470e-01
3.321429e-01,2.086548e-01
3.487500e-01,2.088631e-01
3.653571e-01,2.090719e-01
3.819643e-01,2.092813e-01
3.985714e-01,2.094912e-01
4.151786e-01,2.097016e-01
4.317857e-01,2.099126e-01
4.483929e-01,2.101241e-01
4.650000e-01,2.103361e-01
4.816071e-01,2.105486e-01
4.982143e-01,2.107617e-01
5.148214e-01,2.109753e-01
5.314286e-01,2.111895e-01
5.480357e-01,2.114042e-01
5.646429e-01,2.116195e-01
5.812500e-01,2.118353e-01
5.978571e-01,2.120517e-01
6.144643e-01,2.122686e-01
6.310714e-01,2.124861e-01
6.476786e-01,2.127041e-01
6.642857e-01,2.129227e-01
6.808929e-01,2.131418e-01
6.975000e-01,2.133616e-01
7.141071e-01,2.135818e-01
7.307143e-01,2.138027e-01
7.473214e-01,2.140241e-01
7.639286e-01,2.142461e-01
7.805357e-01,2.144687e-01
7.971429e-01,2.146919e-01
8.137500e-01,2.149156e-01
8.303571e-01,2.151399e-01
8.469643e-01,2.153648e-01
8.635714e-01,2.155903e-01
8.801786e-01,2.158164e-01
8.967857e-01,2.160431e-01
9.133929e-01,2.162704e-01
9.300000e-01,2.164983e-01
