# units: molT2/s
t_seconds,value
0.000000e+00,0.000000e+00
5.890077e+02,6.071107e-17
1.178015e+03,6.036100e-17
1.767023e+03,5.976405e-17
2.356031e+03,5.917232e-17
2.945038e+03,5.858645e-17
3.534046e+03,5.800637e-17
4.123054e+03,5.743204e-17
4.712061e+03,5.686340e-17
5.301069e+03,5.630039e-17
5.890077e+03,5.574295e-17
6.479084e+03,5.519103e-17
7.068092e+03,5.464457e-17
7.657100e+03,5.410353e-17
8.246107e+03,5.356784e-17
8.835115e+03,5.303746e-17
9.424123e+03,5.251232e-17
1.001313e+04,5.199239e-17
1.060214e+04,5.147761e-17
1.119115e+04,5.096792e-17
1.178015e+04,5.046328e-17
1.236916e+04,4.996363e-17
1.295817e+04,4.946893e-17
1.354718e+04,4.897913e-17
1.413618e+04,4.849418e-17
1.472519e+04,4.801403e-17
1.531420e+04,4.753864e-17
1.590321e+04,4.706795e-17
1.649221e+04,4.660192e-17
1.708122e+04,4.614051e-17
1.767023e+04,4.568367e-17
1.825924e+04,4.523135e-17
1.884825e+04,4.478350e-17
1.943725e+04,4.434009e-17
2.002626e+04,4.390108e-17
2.061527e+04,4.346640e-17
2.120428e+04,4.303604e-17
2.179328e+04,4.260993e-17
2.238229e+04,4.218804e-17
2.297130e+04,4.177033e-17
2.356031e+04,4.135676e-17
2.414931e+04,4.094728e-17
2.473832e+04,4.054185e-17
2.532733e+04,4.014044e-17
2.591634e+04,3.974300e-17
2.650535e+04,3.934950e-17
2.709435e+04,3.895990e-17
2.768336e+04,3.857415e-17
2.827237e+04,3.819222e-17
2.886138e+04,3.781407e-17
2.945038e+04,3.743967e-17
3.003939e+04,3.706897e-17
3.062840e+04,3.670195e-17
3.121741e+04,3.633855e-17
3.180641e+04,3.597876e-17
3.239542e+04,3.562253e-17
3.298443e+04,3.526982e-17
3.357344e+04,3.492061e-17
3.416244e+04,3.457486e-17
3.475145e+04,3.423253e-17
3.534046e+04,3.389359e-17
3.592947e+04,3.355800e-17
3.651848e+04,3.322574e-17
3.710748e+04,3.289676e-17
3.769649e+04,3.257105e-17
3.828550e+04,3.224856e-17
3.887451e+04,3.192926e-17
3.946351e+04,3.161312e-17
4.005252e+04,3.130011e-17
4.064153e+04,3.099021e-17
4.123054e+04,3.068337e-17
4.181954e+04,3.037957e-17
4.240855e+04,3.007877e-17
4.299756e+04,2.978096e-17
4.358657e+04,2.948609e-17
4.417558e+04,2.919415e-17
4.476458e+04,2.890509e-17
4.535359e+04,2.861890e-17
4.594260e+04,2.833554e-17
4.653161e+04,2.805498e-17
4.712061e+04,2.777720e-17
4.770962e+04,2.750218e-17
4.829863e+04,2.722987e-17
4.888764e+04,2.696027e-17
4.947664e+04,2.669333e-17
5.006565e+04,2.642903e-17
5.065466e+04,2.616736e-17
5.124367e+04,2.590827e-17
5.183267e+04,2.565175e-17
5.242168e+04,2.539777e-17
5.301069e+04,2.514630e-17
5.359970e+04,2.489732e-17
5.418871e+04,2.465081e-17
5.477771e+04,2.440674e-17
5.536672e+04,2.416508e-17
5.595573e+04,2.392582e-17
5.654474e+04,2.368893e-17
5.713374e+04,2.345438e-17
5.772275e+04,2.322215e-17
5.831176e+04,2.299223e-17
5.890077e+04,2.276458e-17
5.948977e+04,2.253918e-17
6.007878e+04,2.231602e-17
6.066779e+04,2.209506e-17
6.125680e+04,2.187630e-17
6.184581e+04,2.165969e-17
6.243481e+04,2.144524e-17
6.302382e+04,2.123291e-17
6.361283e+04,2.102268e-17
6.420184e+04,2.081453e-17
6.479084e+04,2.060844e-17
6.537985e+04,2.040439e-17
6.596886e+04,2.020236e-17
6.655787e+04,2.000234e-17
6.714687e+04,1.980429e-17
6.773588e+04,1.960821e-17
6.832489e+04,1.941406e-17
6.891390e+04,1.922184e-17
6.950290e+04,1.903152e-17
7.009191e+04,1.884309e-17
7.068092e+04,1.865652e-17
7.126993e+04,1.847180e-17
7.185894e+04,1.828891e-17
7.244794e+04,1.810782e-17
7.303695e+04,1.792854e-17
7.362596e+04,1.775102e-17
7.421497e+04,1.757527e-17
7.480397e+04,1.740125e-17
7.539298e+04,1.722896e-17
7.598199e+04,1.705837e-17
7.657100e+04,1.688947e-17
7.716000e+04,1.672225e-17
7.774901e+04,1.655668e-17
7.833802e+04,1.639275e-17
7.892703e+04,1.623044e-17
7.951604e+04,1.606974e-17
8.010504e+04,1.591063e-17
8.069405e+04,1.575310e-17
8.128306e+04,1.559712e-17
8.187207e+04,1.544269e-17
8.246107e+04,1.528979e-17
8.305008e+04,1.513841e-17
8.363909e+04,1.498852e-17
8.422810e+04,1.484012e-17
8.481710e+04,1.469318e-17
8.540611e+04,1.454770e-17
8.599512e+04,1.440366e-17
8.658413e+04,1.426105e-17
8.717313e+04,1.411985e-17
8.776214e+04,1.398005e-17
8.835115e+04,1.384163e-17
8.894016e+04,1.370458e-17
8.952917e+04,1.356889e-17
9.011817e+04,1.343454e-17
9.070718e+04,1.330152e-17
9.129619e+04,1.316982e-17
9.188520e+04,1.303943e-17
9.247420e+04,1.291032e-17
9.306321e+04,1.278249e-17
9.365222e+04,1.265593e-17
9.424123e+04,1.253062e-17
9.483023e+04,1.240656e-17
9.541924e+04,1.228372e-17
9.600825e+04,1.216209e-17
9.659726e+04,1.204167e-17
9.718627e+04,1.192245e-17
9.777527e+04,1.180440e-17
9.836428e+04,1.168752e-17
9.895329e+04,1.157180e-17
9.954230e+04,1.145723e-17
1.001313e+05,1.134379e-17
1.007203e+05,1.123147e-17
1.013093e+05,1.112027e-17
1.018983e+05,1.101017e-17
1.024873e+05,1.090115e-17
1.030763e+05,1.079322e-17
1.036653e+05,1.068635e-17
1.042544e+05,1.058055e-17
1.048434e+05,1.047579e-17
1.054324e+05,1.037206e-17
1.060214e+05,1.026937e-17
1.066104e+05,1.016769e-17
1.071994e+05,1.006702e-17
1.077884e+05,9.967342e-18
1.083774e+05,9.868654e-18
1.089664e+05,9.770943e-18
1.095554e+05,9.674199e-18
1.101444e+05,9.578413e-18
1.107334e+05,9.483576e-18
1.113224e+05,9.389678e-18
1.119115e+05,9.296709e-18
1.125005e+05,9.204661e-18
1.130895e+05,9.113524e-18
1.136785e+05,9.023289e-18
1.142675e+05,8.933948e-18
1.148565e+05,8.845492e-18
1.154455e+05,8.757911e-18
1.160345e+05,8.671198e-18
1.166235e+05,8.585343e-18
1.172125e+05,8.500338e-18
1.178015e+05,8.416175e-18
1.183905e+05,8.332845e-18
1.189795e+05,8.250340e-18
1.195686e+05,8.168652e-18
1.201576e+05,8.087773e-18
1.207466e+05,8.007695e-18
1.213356e+05,7.928409e-18
1.219246e+05,7.849909e-18
1.225136e+05,7.772186e-18
1.231026e+05,7.695232e-18
1.236916e+05,7.619040e-18
1.242806e+05,7.543603e-18
1.248696e+05,7.468912e-18
1.254586e+05,7.394962e-18
1.260476e+05,7.321743e-18
1.266366e+05,7.249249e-18
1.272257e+05,7.177473e-18
1.278147e+05,7.106408e-18
1.284037e+05,7.036046e-18
1.289927e+05,6.966381e-18
1.295817e+05,6.897406e-18
1.301707e+05,6.829114e-18
1.307597e+05,6.761497e-18
1.313487e+05,6.694551e-18
1.319377e+05,6.628267e-18
1.325267e+05,6.562639e-18
1.331157e+05,6.497662e-18
1.337047e+05,6.433327e-18
1.342937e+05,6.369630e-18
1.348828e+05,6.306563e-18
1.354718e+05,6.244121e-18
1.360608e+05,6.182297e-18
1.366498e+05,6.121085e-18
1.372388e+05,6.060479e-18
1.378278e+05,6.000473e-18
1.384168e+05,5.941062e-18
1.390058e+05,5.882238e-18
1.395948e+05,5.823997e-18
1.401838e+05,5.766333e-18
1.407728e+05,5.709240e-18
1.413618e+05,5.652711e-18
1.419508e+05,5.596743e-18
1.425399e+05,5.541329e-18
1.431289e+05,5.486463e-18
1.437179e+05,5.432141e-18
1.443069e+05,5.378356e-18
1.448959e+05,5.325104e-18
1.454849e+05,5.272380e-18
1.460739e+05,5.220177e-18
1.466629e+05,5.168491e-18
1.472519e+05,5.117317e-18
1.478409e+05,5.066650e-18
1.484299e+05,5.016484e-18
1.490189e+05,4.966815e-18
1.496079e+05,4.917638e-18
1.501970e+05,4.868947e-18
1.507860e+05,4.820739e-18
1.513750e+05,4.773008e-18
1.519640e+05,4.725750e-18
1.525530e+05,4.678960e-18
1.531420e+05,4.632632e-18
1.537310e+05,4.586764e-18
1.543200e+05,4.541350e-18
1.549090e+05,4.496385e-18
1.554980e+05,4.451866e-18
1.560870e+05,4.407787e-18
1.566760e+05,4.364145e-18
1.572650e+05,4.320935e-18
1.578541e+05,4.278152e-18
1.584431e+05,4.235794e-18
1.590321e+05,4.193855e-18
1.596211e+05,4.152331e-18
1.602101e+05,4.111218e-18
1.607991e+05,4.070512e-18
1.613881e+05,4.030209e-18
1.619771e+05,3.990305e-18
1.625661e+05,3.950797e-18
1.631551e+05,3.911679e-18
1.637441e+05,3.872949e-18
1.643331e+05,3.834602e-18
1.649221e+05,3.796635e-18
1.655112e+05,3.759044e-18
1.661002e+05,3.721825e-18
1.666892e+05,3.684975e-18
1.672782e+05,3.648489e-18
1.678672e+05,3.612365e-18
1.684562e+05,3.576599e-18
1.690452e+05,3.541186e-18
1.696342e+05,3.506124e-18
1.702232e+05,3.471409e-18
1.708122e+05,3.437039e-18
1.714012e+05,3.403008e-18
1.719902e+05,3.369314e-18
1.725792e+05,3.335954e-18
1.731683e+05,3.302924e-18
1.737573e+05,3.270221e-18
1.743463e+05,3.237842e-18
1.749353e+05,3.205784e-18
1.755243e+05,3.174043e-18
1.761133e+05,3.142616e-18
1.767023e+05,3.111501e-18
1.772913e+05,3.080693e-18
1.778803e+05,3.050191e-18
1.784693e+05,3.019990e-18
1.790583e+05,2.990089e-18
1.796473e+05,2.960484e-18
1.802363e+05,2.931171e-18
1.808254e+05,2.902149e-18
1.814144e+05,2.873415e-18
1.820034e+05,2.844965e-18
1.825924e+05,2.816796e-18
1.831814e+05,2.788907e-18
1.837704e+05,2.761293e-18
1.843594e+05,2.733953e-18
1.849484e+05,2.706884e-18
1.855374e+05,2.680083e-18
1.861264e+05,2.653547e-18
1.867154e+05,2.627274e-18
