# units: 1/m
x_metres,value
0.000000e+00,7.647301e-01
1.660714e-02,7.661529e-01
3.321429e-02,7.675822e-01
4.982143e-02,7.690183e-01
6.642857e-02,7.704611e-01
8.303571e-02,7.719107e-01
9.964286e-02,7.733671e-01
1.162500e-01,7.748304e-01
1.328571e-01,7.763006e-01
1.494643e-01,7.777779e-01
1.660714e-01,7.792622e-01
1.826786e-01,7.807536e-01
1.992857e-01,7.822521e-01
2.158929e-01,7.837579e-01
2.325000e-01,7.852709e-01
2.491071e-01,7.867913e-01
2.657143e-01,7.883190e-01
2.823214e-01,7.898542e-01
2.989286e-01,7.913969e-01
3.155357e-01,7.929471e-01
3.321429e-01,7.945049e-01
3.487500e-01,7.960705e-01
3.653571e-01,7.976437e-01
3.819643e-01,7.992248e-01
3.985714e-01,8.008137e-01
4.151786e-01,8.024105e-01
4.317857e-01,8.040154e-01
4.483929e-01,8.056282e-01
4.650000e-01,8.072492e-01
4.816071e-01,8.088784e-01
4.982143e-01,8.105158e-01
5.148214e-01,8.121615e-01
5.314286e-01,8.138156e-01
5.480357e-01,8.154782e-01
5.646429e-01,8.171493e-01
5.812500e-01,8.188290e-01
5.978571e-01,8.205173e-01
6.144643e-01,8.222143e-01
6.310714e-01,8.239202e-01
6.476786e-01,8.256349e-01
6.642857e-01,8.273586e-01
6.808929e-01,8.290913e-01
6.975000e-01,8.308332e-01
7.141071e-01,8.325842e-01
7.307143e-01,8.343444e-01
7.473214e-01,8.361140e-01
7.639286e-01,8.378930e-01
7.805357e-01,8.396815e-01
7.971429e-01,8.414796e-01
8.137500e-01,8.432873e-01
8.303571e-01,8.451048e-01
8.469643e-01,8.469321e-01
8.635714e-01,8.487693e-01
8.801786e-01,8.506165e-01
8.967857e-01,8.524738e-01
9.133929e-01,8.543413e-01
9.300000e-01,8.562190e-01
