# units: 
x_metres,value
0.000000e+00,1.039542e-03
1.660714e-02,1.042445e-03
3.321429e-02,1.045365e-03
4.982143e-02,1.048301e-03
6.642857e-02,1.051253e-03
8.303571e-02,1.054222e-03
9.964286e-02,1.057208e-03
1.162500e-01,1.060211e-03
1.328571e-01,1.063231e-03
1.494643e-01,1.066268e-03
1.660714e-01,1.069322e-03
1.826786e-01,1.072394e-03
1.992857e-01,1.075484e-03
2.158929e-01,1.078592e-03
2.325000e-01,1.081718e-03
2.491071e-01,1.084862e-03
2.657143e-01,1.088024e-03
2.823214e-01,1.091205e-03
2.989286e-01,1.094404e-03
3.155357e-01,1.097622e-03
3.321429e-01,1.100859e-03
3.487500e-01,1.104116e-03
3.653571e-01,1.107391e-03
3.819643e-01,1.110686e-03
3.985714e-01,1.114001e-03
4.151786e-01,1.117336e-03
4.317857e-01,1.120690e-03
4.483929e-01,1.124065e-03
4.650000e-01,1.127461e-03
4.816071e-01,1.130876e-03
4.982143e-01,1.134313e-03
5.148214e-01,1.137771e-03
5.314286e-01,1.141249e-03
5.480357e-01,1.144749e-03
5.646429e-01,1.148271e-03
5.812500e-01,1.151814e-03
5.978571e-01,1.155380e-03
6.144643e-01,1.158967e-03
6.310714e-01,1.162577e-03
6.476786e-01,1.166209e-03
6.642857e-01,1.169864e-03
6.808929e-01,1.173542e-03
6.975000e-01,1.177244e-03
7.141071e-01,1.180968e-03
7.307143e-01,1.184717e-03
7.473214e-01,1.188489e-03
7.639286e-01,1.192285e-03
7.805357e-01,1.196106e-03
7.971429e-01,1.199951e-03
8.137500e-01,1.203821e-03
8.303571e-01,1.207716e-03
8.469643e-01,1.211636e-03
8.635714e-01,1.215582e-03
8.801786e-01,1.219554e-03
8.967857e-01,1.223552e-03
9.133929e-01,1.227576e-03
9.300000e-01,1.231626e-03
