# units: molT2
t_seconds,value
0.000000e+00,3.627000e-12
7.901235e+02,3.591089e-12
1.580247e+03,3.555534e-12
2.370370e+03,3.520330e-12
3.160494e+03,3.485476e-12
3.950617e+03,3.450966e-12
4.740741e+03,3.416798e-12
5.530864e+03,3.382968e-12
6.320988e+03,3.349473e-12
7.111111e+03,3.316310e-12
7.901235e+03,3.283475e-12
8.691358e+03,3.250966e-12
9.481482e+03,3.218778e-12
1.027161e+04,3.186909e-12
1.106173e+04,3.155355e-12
1.185185e+04,3.124114e-12
1.264198e+04,3.093182e-12
1.343210e+04,3.062557e-12
1.422222e+04,3.032234e-12
1.501235e+04,3.002212e-12
1.580247e+04,2.972487e-12
1.659259e+04,2.943056e-12
1.738272e+04,2.913917e-12
1.817284e+04,2.885067e-12
1.896296e+04,2.856502e-12
1.975309e+04,2.828219e-12
2.054321e+04,2.800217e-12
2.133333e+04,2.772492e-12
2.212346e+04,2.745042e-12
2.291358e+04,2.717863e-12
2.370370e+04,2.690953e-12
2.449383e+04,2.664310e-12
2.528395e+04,2.637931e-12
2.607408e+04,2.611813e-12
2.686420e+04,2.585953e-12
2.765432e+04,2.560350e-12
2.844445e+04,2.535000e-12
2.923457e+04,2.509901e-12
3.002469e+04,2.485050e-12
3.081482e+04,2.460446e-12
3.160494e+04,2.436085e-12
3.239506e+04,2.411965e-12
3.318519e+04,2.388084e-12
3.397531e+04,2.364440e-12
3.476543e+04,2.341029e-12
3.555556e+04,2.317851e-12
3.634568e+04,2.294902e-12
3.713580e+04,2.272180e-12
3.792593e+04,2.249683e-12
3.871605e+04,2.227409e-12
3.950617e+04,2.205355e-12
4.029630e+04,2.183520e-12
4.108642e+04,2.161901e-12
4.187655e+04,2.140496e-12
4.266667e+04,2.119303e-12
4.345679e+04,2.098320e-12
4.424692e+04,2.077544e-12
4.503704e+04,2.056975e-12
4.582716e+04,2.036609e-12
4.661729e+04,2.016444e-12
4.740741e+04,1.996479e-12
4.819753e+04,1.976712e-12
4.898766e+04,1.957141e-12
4.977778e+04,1.937763e-12
5.056790e+04,1.918577e-12
5.135803e+04,1.899581e-12
5.214815e+04,1.880774e-12
5.293827e+04,1.862152e-12
5.372840e+04,1.843715e-12
5.451852e+04,1.825460e-12
5.530864e+04,1.807386e-12
5.609877e+04,1.789492e-12
5.688889e+04,1.771774e-12
5.767901e+04,1.754231e-12
5.846914e+04,1.736863e-12
5.925926e+04,1.719666e-12
6.004939e+04,1.702640e-12
6.083951e+04,1.685782e-12
6.162963e+04,1.669091e-12
6.241976e+04,1.652565e-12
6.320988e+04,1.636203e-12
6.400000e+04,1.620003e-12
6.479013e+04,1.603963e-12
6.558025e+04,1.588083e-12
6.637037e+04,1.572359e-12
6.716050e+04,1.556791e-12
6.795062e+04,1.541377e-12
6.874074e+04,1.526116e-12
6.953087e+04,1.511006e-12
7.032099e+04,1.496046e-12
7.111111e+04,1.481233e-12
7.190124e+04,1.466568e-12
7.269136e+04,1.452047e-12
7.348148e+04,1.437670e-12
7.427161e+04,1.423436e-12
7.506173e+04,1.409342e-12
7.585186e+04,1.395389e-12
7.664198e+04,1.381573e-12
7.743210e+04,1.367894e-12
7.822223e+04,1.354350e-12
7.901235e+04,1.340941e-12
7.980247e+04,1.327664e-12
8.059260e+04,1.314519e-12
8.138272e+04,1.301504e-12
8.217284e+04,1.288618e-12
8.296297e+04,1.275859e-12
8.375309e+04,1.263227e-12
8.454321e+04,1.250720e-12
8.533334e+04,1.238336e-12
8.612346e+04,1.226076e-12
8.691358e+04,1.213936e-12
8.770371e+04,1.201917e-12
8.849383e+04,1.190017e-12
8.928395e+04,1.178234e-12
9.007408e+04,1.166569e-12
9.086420e+04,1.155019e-12
9.165432e+04,1.143583e-12
9.244445e+04,1.132260e-12
9.323457e+04,1.121050e-12
9.402470e+04,1.109950e-12
9.481482e+04,1.098960e-12
9.560494e+04,1.088080e-12
9.639507e+04,1.077307e-12
9.718519e+04,1.066640e-12
9.797531e+04,1.056079e-12
9.876544e+04,1.045623e-12
9.955556e+04,1.035270e-12
1.003457e+05,1.025020e-12
1.011358e+05,1.014871e-12
1.019259e+05,1.004823e-12
1.027161e+05,9.948745e-13
1.035062e+05,9.850242e-13
1.042963e+05,9.752715e-13
1.050864e+05,9.656153e-13
1.058765e+05,9.560548e-13
1.066667e+05,9.465889e-13
1.074568e+05,9.372167e-13
1.082469e+05,9.279373e-13
1.090370e+05,9.187498e-13
1.098272e+05,9.096532e-13
1.106173e+05,9.006468e-13
1.114074e+05,8.917295e-13
1.121975e+05,8.829004e-13
1.129877e+05,8.741588e-13
1.137778e+05,8.655038e-13
1.145679e+05,8.569344e-13
1.153580e+05,8.484499e-13
1.161482e+05,8.400494e-13
1.169383e+05,8.317321e-13
1.177284e+05,8.234971e-13
1.185185e+05,8.153437e-13
1.193086e+05,8.072709e-13
1.200988e+05,7.992782e-13
1.208889e+05,7.913645e-13
1.216790e+05,7.835292e-13
1.224691e+05,7.757715e-13
1.232593e+05,7.680906e-13
1.240494e+05,7.604857e-13
1.248395e+05,7.529561e-13
1.256296e+05,7.455011e-13
1.264198e+05,7.381199e-13
1.272099e+05,7.308118e-13
