# units: m/s
x_metres,value
0.000000e+00,2.866124e-04
1.660714e-02,2.874128e-04
3.321429e-02,2.882177e-04
4.982143e-02,2.890272e-04
6.642857e-02,2.898412e-04
8.303571e-02,2.906598e-04
9.964286e-02,2.914830e-04
1.162500e-01,2.923109e-04
1.328571e-01,2.931435e-04
1.494643e-01,2.939809e-04
1.660714e-01,2.948231e-04
1.826786e-01,2.956701e-04
1.992857e-01,2.965220e-04
2.158929e-01,2.973788e-04
2.325000e-01,2.982406e-04
2.491071e-01,2.991074e-04
2.657143e-01,2.999793e-04
2.823214e-01,3.008562e-04
2.989286e-01,3.017383e-04
3.155357e-01,3.026256e-04
3.321429e-01,3.035182e-04
3.487500e-01,3.044160e-04
3.653571e-01,3.053191e-04
3.819643e-01,3.062276e-04
3.985714e-01,3.071415e-04
4.151786e-01,3.080609e-04
4.317857e-01,3.089858e-04
4.483929e-01,3.099163e-04
4.650000e-01,3.108524e-04
4.816071e-01,3.117942e-04
4.982143e-01,3.127417e-04
5.148214e-01,3.136950e-04
5.314286e-01,3.146541e-04
5.480357e-01,3.156191e-04
5.646429e-01,3.165901e-04
5.812500e-01,3.175670e-04
5.978571e-01,3.185500e-04
6.144643e-01,3.195391e-04
6.310714e-01,3.205343e-04
6.476786e-01,3.215358e-04
6.642857e-01,3.225435e-04
6.808929e-01,3.235576e-04
6.975000e-01,3.245781e-04
7.141071e-01,3.256050e-04
7.307143e-01,3.266385e-04
7.473214e-01,3.276785e-04
7.639286e-01,3.287252e-04
7.805357e-01,3.297786e-04
7.971429e-01,3.308387e-04
8.137500e-01,3.319057e-04
8.303571e-01,3.329797e-04
8.469643e-01,3.340605e-04
8.635714e-01,3.351485e-04
8.801786e-01,3.362435e-04
8.967857e-01,3.373457e-04
9.133929e-01,3.384552e-04
9.300000e-01,3.395720e-04
