# units: 
x_metres,value
0.000000e+00,1.053208e-04
1.660714e-02,1.054741e-04
3.321429e-02,1.056277e-04
4.982143e-02,1.057819e-04
6.642857e-02,1.059365e-04
8.303571e-02,1.060915e-04
9.964286e-02,1.062470e-04
1.162500e-01,1.064029e-04
1.328571e-01,1.065593e-04
1.494643e-01,1.067162e-04
1.660714e-01,1.068735e-04
1.826786e-01,1.070313e-04
1.992857e-01,1.071896e-04
2.158929e-01,1.073483e-04
2.325000e-01,1.075075e-04
2.491071e-01,1.076672e-04
2.657143e-01,1.078273e-04
2.823214e-01,1.079879e-04
2.989286e-01,1.081490e-04
3.155357e-01,1.083106e-04
3.321429e-01,1.084727e-04
3.487500e-01,1.086352e-04
3.653571e-01,1.087983e-04
3.819643e-01,1.089618e-04
3.985714e-01,1.091258e-04
4.151786e-01,1.092903e-04
4.317857e-01,1.094553e-04
4.483929e-01,1.096209e-04
4.650000e-01,1.097869e-04
4.816071e-01,1.099534e-04
4.982143e-01,1.101204e-04
5.148214e-01,1.102879e-04
5.314286e-01,1.104560e-04
5.480357e-01,1.106245e-04
5.646429e-01,1.107936e-04
5.812500e-01,1.109632e-04
5.978571e-01,1.111333e-04
6.144643e-01,1.113039e-04
6.310714e-01,1.114751e-04
6.476786e-01,1.116468e-04
6.642857e-01,1.118190e-04
6.808929e-01,1.119917e-04
6.975000e-01,1.121650e-04
7.141071e-01,1.123388e-04
7.307143e-01,1.125132e-04
7.473214e-01,1.126881e-04
7.639286e-01,1.128635e-04
7.805357e-01,1.130395e-04
7.971429e-01,1.132161e-04
8.137500e-01,1.133932e-04
8.303571e-01,1.135708e-04
8.469643e-01,1.137490e-04
8.635714e-01,1.139278e-04
8.801786e-01,1.141071e-04
8.967857e-01,1.142870e-04
9.133929e-01,1.144675e-04
9.300000e-01,1.146485e-04
