# units: molT2
t_seconds,value
0.000000e+00,3.627000e-12
3.207179e+03,3.590560e-12
6.414357e+03,3.554504e-12
9.621536e+03,3.518810e-12
1.282871e+04,3.483475e-12
1.603589e+04,3.448495e-12
1.924307e+04,3.413865e-12
2.245025e+04,3.379584e-12
2.565743e+04,3.345647e-12
2.886461e+04,3.312050e-12
3.207179e+04,3.278791e-12
3.527897e+04,3.245866e-12
3.848614e+04,3.213271e-12
4.169332e+04,3.181004e-12
4.490050e+04,3.149061e-12
4.810768e+04,3.117439e-12
5.131486e+04,3.086134e-12
5.452204e+04,3.055143e-12
5.772922e+04,3.024464e-12
6.093640e+04,2.994093e-12
6.414357e+04,2.964027e-12
6.735075e+04,2.934263e-12
7.055793e+04,2.904797e-12
7.376511e+04,2.875628e-12
7.697229e+04,2.846751e-12
8.017947e+04,2.818164e-12
8.338665e+04,2.789865e-12
8.659383e+04,2.761849e-12
8.980100e+04,2.734115e-12
9.300818e+04,2.706660e-12
9.621536e+04,2.679480e-12
9.942254e+04,2.652573e-12
1.026297e+05,2.625936e-12
1.058369e+05,2.599567e-12
1.090441e+05,2.573463e-12
1.122513e+05,2.547620e-12
1.154584e+05,2.522038e-12
1.186656e+05,2.496712e-12
1.218728e+05,2.471640e-12
1.250800e+05,2.446820e-12
1.282871e+05,2.422250e-12
1.314943e+05,2.397926e-12
1.347015e+05,2.373846e-12
1.379087e+05,2.350008e-12
1.411159e+05,2.326410e-12
1.443230e+05,2.303049e-12
1.475302e+05,2.279922e-12
1.507374e+05,2.257027e-12
1.539446e+05,2.234362e-12
1.571518e+05,2.211925e-12
1.603589e+05,2.189713e-12
1.635661e+05,2.167725e-12
1.667733e+05,2.145957e-12
1.699805e+05,2.124407e-12
1.731877e+05,2.103074e-12
1.763948e+05,2.081956e-12
1.796020e+05,2.061049e-12
1.828092e+05,2.040352e-12
1.860164e+05,2.019863e-12
1.892235e+05,1.999580e-12
1.924307e+05,1.979501e-12
1.956379e+05,1.959623e-12
1.988451e+05,1.939945e-12
2.020523e+05,1.920464e-12
2.052594e+05,1.901179e-12
2.084666e+05,1.882088e-12
2.116738e+05,1.863188e-12
2.148810e+05,1.844478e-12
2.180882e+05,1.825956e-12
2.212953e+05,1.807620e-12
2.245025e+05,1.789469e-12
2.277097e+05,1.771499e-12
2.309169e+05,1.753710e-12
2.341240e+05,1.736099e-12
2.373312e+05,1.718666e-12
2.405384e+05,1.701407e-12
2.437456e+05,1.684322e-12
2.469528e+05,1.667408e-12
2.501599e+05,1.650664e-12
2.533671e+05,1.634089e-12
2.565743e+05,1.617679e-12
2.597815e+05,1.601435e-12
2.629887e+05,1.585354e-12
2.661958e+05,1.569434e-12
2.694030e+05,1.553674e-12
2.726102e+05,1.538072e-12
2.758174e+05,1.522627e-12
2.790246e+05,1.507337e-12
2.822317e+05,1.492200e-12
2.854389e+05,1.477216e-12
2.886461e+05,1.462382e-12
2.918533e+05,1.447697e-12
2.950604e+05,1.433159e-12
2.982676e+05,1.418768e-12
3.014748e+05,1.404521e-12
3.046820e+05,1.390417e-12
3.078892e+05,1.376455e-12
3.110963e+05,1.362632e-12
3.143035e+05,1.348949e-12
3.175107e+05,1.335403e-12
3.207179e+05,1.321993e-12
3.239251e+05,1.308718e-12
3.271322e+05,1.295576e-12
3.303394e+05,1.282566e-12
3.335466e+05,1.269687e-12
3.367538e+05,1.256937e-12
3.399609e+05,1.244315e-12
3.431681e+05,1.231820e-12
3.463753e+05,1.219450e-12
3.495825e+05,1.207204e-12
3.527897e+05,1.195082e-12
3.559968e+05,1.183081e-12
3.592040e+05,1.171201e-12
3.624112e+05,1.159440e-12
3.656184e+05,1.147797e-12
3.688256e+05,1.136271e-12
3.720327e+05,1.124860e-12
