# units: Pa
x_metres,value
0.000000e+00,1.201607e+05
1.660714e-02,1.198261e+05
3.321429e-02,1.194914e+05
4.982143e-02,1.191568e+05
6.642857e-02,1.188221e+05
8.303571e-02,1.184875e+05
9.964286e-02,1.181529e+05
1.162500e-01,1.178182e+05
1.328571e-01,1.174836e+05
1.494643e-01,1.171489e+05
1.660714e-01,1.168143e+05
1.826786e-01,1.164796e+05
1.992857e-01,1.161450e+05
2.158929e-01,1.158104e+05
2.325000e-01,1.154757e+05
2.491071e-01,1.151411e+05
2.657143e-01,1.148064e+05
2.823214e-01,1.144718e+05
2.989286e-01,1.141371e+05
3.155357e-01,1.138025e+05
3.321429e-01,1.134678e+05
3.487500e-01,1.131332e+05
3.653571e-01,1.127985e+05
3.819643e-01,1.124639e+05
3.985714e-01,1.121293e+05
4.151786e-01,1.117946e+05
4.317857e-01,1.114600e+05
4.483929e-01,1.111253e+05
4.650000e-01,1.107907e+05
4.816071e-01,1.104560e+05
4.982143e-01,1.101214e+05
5.148214e-01,1.097867e+05
5.314286e-01,1.094521e+05
5.480357e-01,1.091174e+05
5.646429e-01,1.087828e+05
5.812500e-01,1.084481e+05
5.978571e-01,1.081135e+05
6.144643e-01,1.077788e+05
6.310714e-01,1.074442e+05
6.476786e-01,1.071095e+05
6.642857e-01,1.067749e+05
6.808929e-01,1.064402e+05
6.975000e-01,1.061056e+05
7.141071e-01,1.057709e+05
7.307143e-01,1.054363e+05
7.473214e-01,1.051016e+05
7.639286e-01,1.047670e+05
7.805357e-01,1.044323e+05
7.971429e-01,1.040977e+05
8.137500e-01,1.037630e+05
8.303571e-01,1.034284e+05
8.469643e-01,1.030937e+05
8.635714e-01,1.027591e+05
8.801786e-01,1.024244e+05
8.967857e-01,1.020898e+05
9.133929e-01,1.017551e+05
9.300000e-01,1.014205e+05
