# units: 
x_metres,value
0.000000e+00,9.989605e-01
1.660714e-02,9.989576e-01
3.321429e-02,9.989546e-01
4.982143e-02,9.989517e-01
6.642857e-02,9.989487e-01
8.303571e-02,9.989458e-01
9.964286e-02,9.989428e-01
1.162500e-01,9.989398e-01
1.328571e-01,9.989368e-01
1.494643e-01,9.989337e-01
1.660714e-01,9.989307e-01
1.826786e-01,9.989276e-01
1.992857e-01,9.989245e-01
2.158929e-01,9.989214e-01
2.325000e-01,9.989183e-01
2.491071e-01,9.989151e-01
2.657143e-01,9.989120e-01
2.823214e-01,9.989088e-01
2.989286e-01,9.989056e-01
3.155357e-01,9.989024e-01
3.321429e-01,9.988991e-01
3.487500e-01,9.988959e-01
3.653571e-01,9.988926e-01
3.819643e-01,9.988893e-01
3.985714e-01,9.988860e-01
4.151786e-01,9.988827e-01
4.317857e-01,9.988793e-01
4.483929e-01,9.988759e-01
4.650000e-01,9.988725e-01
4.816071e-01,9.988691e-01
4.982143e-01,9.988657e-01
5.148214e-01,9.988622e-01
5.314286e-01,9.988588e-01
5.480357e-01,9.988553e-01
5.646429e-01,9.988517e-01
5.812500e-01,9.988482e-01
5.978571e-01,9.988446e-01
6.144643e-01,9.988410e-01
6.310714e-01,9.988374e-01
6.476786e-01,9.988338e-01
6.642857e-01,9.988301e-01
6.808929e-01,9.988265e-01
6.975000e-01,9.988228e-01
7.141071e-01,9.988190e-01
7.307143e-01,9.988153e-01
7.473214e-01,9.988115e-01
7.639286e-01,9.988077e-01
7.805357e-01,9.988039e-01
7.971429e-01,9.988000e-01
8.137500e-01,9.987962e-01
8.303571e-01,9.987923e-01
8.469643e-01,9.987884e-01
8.635714e-01,9.987844e-01
8.801786e-01,9.987804e-01
8.967857e-01,9.987764e-01
9.133929e-01,9.987724e-01
9.300000e-01,9.987684e-01
