# units: m/s
x_metres,value
0.000000e+00,8.601310e-06
1.660714e-02,8.598830e-06
3.321429e-02,8.596344e-06
4.982143e-02,8.593852e-06
6.642857e-02,8.591353e-06
8.303571e-02,8.588848e-06
9.964286e-02,8.586337e-06
1.162500e-01,8.583820e-06
1.328571e-01,8.581296e-06
1.494643e-01,8.578765e-06
1.660714e-01,8.576228e-06
1.826786e-01,8.573685e-06
1.992857e-01,8.571135e-06
2.158929e-01,8.568578e-06
2.325000e-01,8.566015e-06
2.491071e-01,8.563445e-06
2.657143e-01,8.560868e-06
2.823214e-01,8.558285e-06
2.989286e-01,8.555694e-06
3.155357e-01,8.553097e-06
3.321429e-01,8.550494e-06
3.487500e-01,8.547883e-06
3.653571e-01,8.545265e-06
3.819643e-01,8.542640e-06
3.985714e-01,8.540009e-06
4.151786e-01,8.537370e-06
4.317857e-01,8.534724e-06
4.483929e-01,8.532071e-06
4.650000e-01,8.529411e-06
4.816071e-01,8.526743e-06
4.982143e-01,8.524069e-06
5.148214e-01,8.521387e-06
5.314286e-01,8.518697e-06
5.480357e-01,8.516001e-06
5.646429e-01,8.513297e-06
5.812500e-01,8.510585e-06
5.978571e-01,8.507866e-06
6.144643e-01,8.505139e-06
6.310714e-01,8.502405e-06
6.476786e-01,8.499663e-06
6.642857e-01,8.496913e-06
6.808929e-01,8.494156e-06
6.975000e-01,8.491391e-06
7.141071e-01,8.488618e-06
7.307143e-01,8.485837e-06
7.473214e-01,8.483048e-06
7.639286e-01,8.480251e-06
7.805357e-01,8.477446e-06
7.971429e-01,8.474633e-06
8.137500e-01,8.471812e-06
8.303571e-01,8.468983e-06
8.469643e-01,8.466146e-06
8.635714e-01,8.463300e-06
8.801786e-01,8.460446e-06
8.967857e-01,8.457584e-06
9.133929e-01,8.454713e-06
9.300000e-01,8.451833e-06
