# units: molT2
t_seconds,value
0.000000e+00,3.627000e-12
1.470302e+03,3.591074e-12
2.940604e+03,3.555505e-12
4.410906e+03,3.520287e-12
5.881209e+03,3.485419e-12
7.351511e+03,3.450896e-12
8.821813e+03,3.416715e-12
1.029212e+04,3.382872e-12
1.176242e+04,3.349365e-12
1.323272e+04,3.316189e-12
1.470302e+04,3.283342e-12
1.617332e+04,3.250821e-12
1.764363e+04,3.218622e-12
1.911393e+04,3.186741e-12
2.058423e+04,3.155176e-12
2.205453e+04,3.123924e-12
2.352483e+04,3.092982e-12
2.499514e+04,3.062346e-12
2.646544e+04,3.032013e-12
2.793574e+04,3.001981e-12
2.940604e+04,2.972247e-12
3.087635e+04,2.942807e-12
3.234665e+04,2.913658e-12
3.381695e+04,2.884798e-12
3.528725e+04,2.856224e-12
3.675755e+04,2.827934e-12
3.822786e+04,2.799923e-12
3.969816e+04,2.772190e-12
4.116846e+04,2.744731e-12
4.263876e+04,2.717544e-12
4.410906e+04,2.690627e-12
4.557937e+04,2.663977e-12
4.704967e+04,2.637590e-12
4.851997e+04,2.611465e-12
4.999027e+04,2.585598e-12
5.146058e+04,2.559988e-12
5.293088e+04,2.534631e-12
5.440118e+04,2.509525e-12
5.587148e+04,2.484669e-12
5.734178e+04,2.460058e-12
5.881209e+04,2.435691e-12
6.028239e+04,2.411566e-12
6.175269e+04,2.387679e-12
6.322299e+04,2.364029e-12
6.469329e+04,2.340613e-12
6.616360e+04,2.317430e-12
6.763390e+04,2.294475e-12
6.910420e+04,2.271749e-12
7.057450e+04,2.249247e-12
7.204481e+04,2.226968e-12
7.351511e+04,2.204910e-12
7.498541e+04,2.183070e-12
7.645571e+04,2.161447e-12
7.792601e+04,2.140038e-12
7.939632e+04,2.118841e-12
8.086662e+04,2.097854e-12
8.233692e+04,2.077075e-12
8.380722e+04,2.056501e-12
8.527753e+04,2.036131e-12
8.674783e+04,2.015964e-12
8.821813e+04,1.995995e-12
8.968843e+04,1.976225e-12
9.115873e+04,1.956651e-12
9.262904e+04,1.937270e-12
9.409934e+04,1.918081e-12
9.556964e+04,1.899083e-12
9.703994e+04,1.880272e-12
9.851024e+04,1.861648e-12
9.998055e+04,1.843209e-12
1.014508e+05,1.824952e-12
1.029212e+05,1.806875e-12
1.043915e+05,1.788978e-12
1.058618e+05,1.771259e-12
1.073321e+05,1.753714e-12
