# units: molT2/s
t_seconds,value
0.000000e+00,0.000000e+00
1.470302e+03,2.437904e-17
2.940604e+03,2.416494e-17
4.410906e+03,2.392561e-17
5.881209e+03,2.368862e-17
7.351511e+03,2.345399e-17
8.821813e+03,2.322168e-17
1.029212e+04,2.299166e-17
1.176242e+04,2.276393e-17
1.323272e+04,2.253846e-17
1.470302e+04,2.231521e-17
1.617332e+04,2.209418e-17
1.764363e+04,2.187534e-17
1.911393e+04,2.165866e-17
2.058423e+04,2.144413e-17
2.205453e+04,2.123173e-17
2.352483e+04,2.102143e-17
2.499514e+04,2.081321e-17
2.646544e+04,2.060706e-17
2.793574e+04,2.040294e-17
2.940604e+04,2.020085e-17
3.087635e+04,2.000076e-17
3.234665e+04,1.980266e-17
3.381695e+04,1.960651e-17
3.528725e+04,1.941231e-17
3.675755e+04,1.922003e-17
3.822786e+04,1.902965e-17
3.969816e+04,1.884117e-17
4.116846e+04,1.865454e-17
4.263876e+04,1.846977e-17
4.410906e+04,1.828683e-17
4.557937e+04,1.810570e-17
4.704967e+04,1.792636e-17
4.851997e+04,1.774880e-17
4.999027e+04,1.757300e-17
5.146058e+04,1.739894e-17
5.293088e+04,1.722660e-17
5.440118e+04,1.705597e-17
5.587148e+04,1.688703e-17
5.734178e+04,1.671977e-17
5.881209e+04,1.655416e-17
6.028239e+04,1.639019e-17
6.175269e+04,1.622784e-17
6.322299e+04,1.606711e-17
6.469329e+04,1.590796e-17
6.616360e+04,1.575039e-17
6.763390e+04,1.559438e-17
6.910420e+04,1.543992e-17
7.057450e+04,1.528699e-17
7.204481e+04,1.513557e-17
7.351511e+04,1.498565e-17
7.498541e+04,1.483722e-17
7.645571e+04,1.469026e-17
7.792601e+04,1.454475e-17
7.939632e+04,1.440069e-17
8.086662e+04,1.425805e-17
8.233692e+04,1.411682e-17
8.380722e+04,1.397699e-17
8.527753e+04,1.383855e-17
8.674783e+04,1.370148e-17
8.821813e+04,1.356577e-17
8.968843e+04,1.343140e-17
9.115873e+04,1.329836e-17
9.262904e+04,1.316664e-17
9.409934e+04,1.303623e-17
9.556964e+04,1.290710e-17
9.703994e+04,1.277926e-17
9.851024e+04,1.265268e-17
9.998055e+04,1.252735e-17
1.014508e+05,1.240327e-17
1.029212e+05,1.228042e-17
1.043915e+05,1.215878e-17
1.058618e+05,1.203835e-17
1.073321e+05,1.191911e-17
1.088024e+05,1.180105e-17
1.102727e+05,1.168416e-17
1.117430e+05,1.156843e-17
1.132133e+05,1.145384e-17
1.146836e+05,1.134039e-17
1.161539e+05,1.122806e-17
1.176242e+05,1.111685e-17
1.190945e+05,1.100674e-17
1.205648e+05,1.089772e-17
1.220351e+05,1.078977e-17
1.235054e+05,1.068290e-17
1.249757e+05,1.057709e-17
1.264460e+05,1.047232e-17
1.279163e+05,1.036859e-17
1.293866e+05,1.026589e-17
1.308569e+05,1.016421e-17
1.323272e+05,1.006353e-17
1.337975e+05,9.963852e-18
1.352678e+05,9.865160e-18
1.367381e+05,9.767446e-18
