# units: Pa
x_metres,value
0.000000e+00,1.968614e+04
1.255061e-03,1.966135e+04
2.510121e-03,1.963656e+04
3.765182e-03,1.961177e+04
5.020243e-03,1.958697e+04
6.275304e-03,1.956218e+04
7.530364e-03,1.953739e+04
8.785425e-03,1.951260e+04
1.004049e-02,1.948780e+04
1.129555e-02,1.946301e+04
1.255061e-02,1.943822e+04
1.380567e-02,1.941343e+04
1.506073e-02,1.938864e+04
1.631579e-02,1.936384e+04
1.757085e-02,1.933905e+04
1.882591e-02,1.931426e+04
2.008097e-02,1.928947e+04
2.133603e-02,1.926467e+04
2.259109e-02,1.923988e+04
2.384615e-02,1.921509e+04
2.510121e-02,1.919030e+04
2.635628e-02,1.916550e+04
2.761134e-02,1.914071e+04
2.886640e-02,1.911592e+04
3.012146e-02,1.909113e+04
3.137652e-02,1.906633e+04
3.263158e-02,1.904154e+04
3.388664e-02,1.901675e+04
3.514170e-02,1.899196e+04
3.639676e-02,1.896716e+04
3.765182e-02,1.894237e+04
3.890688e-02,1.891758e+04
4.016194e-02,1.889278e+04
4.141700e-02,1.886799e+04
4.267206e-02,1.884320e+04
4.392713e-02,1.881841e+04
4.518219e-02,1.879361e+04
4.643725e-02,1.876882e+04
4.769231e-02,1.874403e+04
4.894737e-02,1.871923e+04
5.020243e-02,1.869444e+04
5.145749e-02,1.866965e+04
5.271255e-02,1.864485e+04
5.396761e-02,1.862006e+04
5.522267e-02,1.859527e+04
5.647773e-02,1.857048e+04
5.773279e-02,1.854568e+04
5.898785e-02,1.852089e+04
6.024291e-02,1.849610e+04
6.149798e-02,1.847130e+04
6.275304e-02,1.844651e+04
6.400810e-02,1.842172e+04
6.526316e-02,1.839692e+04
6.651822e-02,1.837213e+04
6.777328e-02,1.834734e+04
6.902834e-02,1.832254e+04
7.028340e-02,1.829775e+04
7.153846e-02,1.827295e+04
7.279352e-02,1.824816e+04
7.404858e-02,1.822337e+04
7.530364e-02,1.819857e+04
7.655870e-02,1.817378e+04
7.781377e-02,1.814899e+04
7.906883e-02,1.812419e+04
8.032389e-02,1.809940e+04
8.157895e-02,1.807461e+04
8.283401e-02,1.804981e+04
8.408907e-02,1.802502e+04
8.534413e-02,1.800022e+04
8.659919e-02,1.797543e+04
8.785425e-02,1.795064e+04
8.910931e-02,1.792584e+04
9.036437e-02,1.790105e+04
9.161943e-02,1.787625e+04
9.287449e-02,1.785146e+04
9.412955e-02,1.782667e+04
9.538462e-02,1.780187e+04
9.663968e-02,1.777708e+04
9.789474e-02,1.775228e+04
9.914980e-02,1.772749e+04
1.004049e-01,1.770270e+04
1.016599e-01,1.767790e+04
1.029150e-01,1.765311e+04
1.041700e-01,1.762831e+04
1.054251e-01,1.760352e+04
1.066802e-01,1.757872e+04
1.079352e-01,1.755393e+04
1.091903e-01,1.752913e+04
1.104453e-01,1.750434e+04
1.117004e-01,1.747955e+04
1.129555e-01,1.745475e+04
1.142105e-01,1.742996e+04
1.154656e-01,1.740516e+04
1.167206e-01,1.738037e+04
1.179757e-01,1.735557e+04
1.192308e-01,1.733078e+04
1.204858e-01,1.730598e+04
1.217409e-01,1.728119e+04
1.229960e-01,1.725639e+04
1.242510e-01,1.723160e+04
1.255061e-01,1.720680e+04
1.267611e-01,1.718201e+04
1.280162e-01,1.715721e+04
1.292713e-01,1.713242e+04
1.305263e-01,1.710762e+04
1.317814e-01,1.708283e+04
1.330364e-01,1.705803e+04
1.342915e-01,1.703324e+04
1.355466e-01,1.700844e+04
1.368016e-01,1.698365e+04
1.380567e-01,1.695885e+04
1.393117e-01,1.693406e+04
1.405668e-01,1.690926e+04
1.418219e-01,1.688447e+04
1.430769e-01,1.685967e+04
1.443320e-01,1.683488e+04
1.455870e-01,1.681008e+04
1.468421e-01,1.678529e+04
1.480972e-01,1.676049e+04
1.493522e-01,1.673570e+04
1.506073e-01,1.671090e+04
1.518623e-01,1.668610e+04
1.531174e-01,1.666131e+04
1.543725e-01,1.663651e+04
1.556275e-01,1.661172e+04
1.568826e-01,1.658692e+04
1.581377e-01,1.656213e+04
1.593927e-01,1.653733e+04
1.606478e-01,1.651253e+04
1.619028e-01,1.648774e+04
