# units: 1/m
x_metres,value
0.000000e+00,2.203942e+00
1.255061e-03,2.205792e+00
2.510121e-03,2.207646e+00
3.765182e-03,2.209503e+00
5.020243e-03,2.211365e+00
6.275304e-03,2.213231e+00
7.530364e-03,2.215100e+00
8.785425e-03,2.216974e+00
1.004049e-02,2.218851e+00
1.129555e-02,2.220733e+00
1.255061e-02,2.222618e+00
1.380567e-02,2.224508e+00
1.506073e-02,2.226401e+00
1.631579e-02,2.228299e+00
1.757085e-02,2.230201e+00
1.882591e-02,2.232106e+00
2.008097e-02,2.234016e+00
2.133603e-02,2.235930e+00
2.259109e-02,2.237848e+00
2.384615e-02,2.239770e+00
2.510121e-02,2.241696e+00
2.635628e-02,2.243627e+00
2.761134e-02,2.245561e+00
2.886640e-02,2.247500e+00
3.012146e-02,2.249443e+00
3.137652e-02,2.251390e+00
3.263158e-02,2.253341e+00
3.388664e-02,2.255297e+00
3.514170e-02,2.257257e+00
3.639676e-02,2.259221e+00
3.765182e-02,2.261189e+00
3.890688e-02,2.263162e+00
4.016194e-02,2.265139e+00
4.141700e-02,2.267120e+00
4.267206e-02,2.269106e+00
4.392713e-02,2.271096e+00
4.518219e-02,2.273090e+00
4.643725e-02,2.275089e+00
4.769231e-02,2.277092e+00
4.894737e-02,2.279100e+00
5.020243e-02,2.281112e+00
5.145749e-02,2.283128e+00
5.271255e-02,2.285149e+00
5.396761e-02,2.287175e+00
5.522267e-02,2.289205e+00
5.647773e-02,2.291239e+00
5.773279e-02,2.293278e+00
5.898785e-02,2.295321e+00
6.024291e-02,2.297369e+00
6.149798e-02,2.299422e+00
6.275304e-02,2.301479e+00
6.400810e-02,2.303541e+00
6.526316e-02,2.305608e+00
6.651822e-02,2.307679e+00
6.777328e-02,2.309755e+00
6.902834e-02,2.311835e+00
7.028340e-02,2.313920e+00
7.153846e-02,2.316010e+00
7.279352e-02,2.318105e+00
7.404858e-02,2.320204e+00
7.530364e-02,2.322308e+00
7.655870e-02,2.324417e+00
7.781377e-02,2.326531e+00
7.906883e-02,2.328649e+00
8.032389e-02,2.330773e+00
8.157895e-02,2.332901e+00
8.283401e-02,2.335034e+00
8.408907e-02,2.337172e+00
8.534413e-02,2.339315e+00
8.659919e-02,2.341462e+00
8.785425e-02,2.343615e+00
8.910931e-02,2.345773e+00
9.036437e-02,2.347935e+00
9.161943e-02,2.350103e+00
9.287449e-02,2.352276e+00
9.412955e-02,2.354453e+00
9.538462e-02,2.356636e+00
9.663968e-02,2.358824e+00
9.789474e-02,2.361017e+00
