# units: 
x_metres,value
0.000000e+00,3.887726e-03
1.255061e-03,3.892628e-03
2.510121e-03,3.897542e-03
3.765182e-03,3.902469e-03
5.020243e-03,3.907409e-03
6.275304e-03,3.912361e-03
7.530364e-03,3.917326e-03
8.785425e-03,3.922303e-03
1.004049e-02,3.927293e-03
1.129555e-02,3.932295e-03
1.255061e-02,3.937311e-03
1.380567e-02,3.942339e-03
1.506073e-02,3.947380e-03
1.631579e-02,3.952434e-03
1.757085e-02,3.957501e-03
1.882591e-02,3.962581e-03
2.008097e-02,3.967674e-03
2.133603e-02,3.972780e-03
2.259109e-02,3.977899e-03
2.384615e-02,3.983032e-03
2.510121e-02,3.988178e-03
2.635628e-02,3.993337e-03
2.761134e-02,3.998509e-03
2.886640e-02,4.003695e-03
3.012146e-02,4.008895e-03
3.137652e-02,4.014108e-03
3.263158e-02,4.019334e-03
3.388664e-02,4.024574e-03
3.514170e-02,4.029828e-03
3.639676e-02,4.035096e-03
3.765182e-02,4.040377e-03
3.890688e-02,4.045672e-03
4.016194e-02,4.050981e-03
4.141700e-02,4.056304e-03
4.267206e-02,4.061641e-03
4.392713e-02,4.066992e-03
4.518219e-02,4.072358e-03
4.643725e-02,4.077737e-03
4.769231e-02,4.083131e-03
4.894737e-02,4.088539e-03
5.020243e-02,4.093961e-03
5.145749e-02,4.099398e-03
5.271255e-02,4.104849e-03
5.396761e-02,4.110315e-03
5.522267e-02,4.115795e-03
5.647773e-02,4.121290e-03
5.773279e-02,4.126800e-03
5.898785e-02,4.132324e-03
6.024291e-02,4.137863e-03
6.149798e-02,4.143417e-03
6.275304e-02,4.148986e-03
6.400810e-02,4.154570e-03
6.526316e-02,4.160169e-03
6.651822e-02,4.165784e-03
6.777328e-02,4.171413e-03
6.902834e-02,4.177058e-03
7.028340e-02,4.182718e-03
7.153846e-02,4.188393e-03
7.279352e-02,4.194084e-03
7.404858e-02,4.199790e-03
7.530364e-02,4.205512e-03
7.655870e-02,4.211249e-03
7.781377e-02,4.217002e-03
7.906883e-02,4.222771e-03
8.032389e-02,4.228556e-03
8.157895e-02,4.234356e-03
8.283401e-02,4.240172e-03
