# units: 
x_metres,value
0.000000e+00,9.961123e-01
1.255061e-03,9.961074e-01
2.510121e-03,9.961025e-01
3.765182e-03,9.960975e-01
5.020243e-03,9.960926e-01
6.275304e-03,9.960876e-01
7.530364e-03,9.960827e-01
8.785425e-03,9.960777e-01
1.004049e-02,9.960727e-01
1.129555e-02,9.960677e-01
1.255061e-02,9.960627e-01
1.380567e-02,9.960577e-01
1.506073e-02,9.960526e-01
1.631579e-02,9.960476e-01
1.757085e-02,9.960425e-01
1.882591e-02,9.960374e-01
2.008097e-02,9.960323e-01
2.133603e-02,9.960272e-01
2.259109e-02,9.960221e-01
2.384615e-02,9.960170e-01
2.510121e-02,9.960118e-01
2.635628e-02,9.960067e-01
2.761134e-02,9.960015e-01
2.886640e-02,9.959963e-01
3.012146e-02,9.959911e-01
3.137652e-02,9.959859e-01
3.263158e-02,9.959807e-01
3.388664e-02,9.959754e-01
3.514170e-02,9.959702e-01
3.639676e-02,9.959649e-01
3.765182e-02,9.959596e-01
3.890688e-02,9.959543e-01
4.016194e-02,9.959490e-01
4.141700e-02,9.959437e-01
4.267206e-02,9.959384e-01
4.392713e-02,9.959330e-01
4.518219e-02,9.959276e-01
4.643725e-02,9.959223e-01
4.769231e-02,9.959169e-01
4.894737e-02,9.959115e-01
5.020243e-02,9.959060e-01
5.145749e-02,9.959006e-01
5.271255e-02,9.958952e-01
5.396761e-02,9.958897e-01
5.522267e-02,9.958842e-01
5.647773e-02,9.958787e-01
5.773279e-02,9.958732e-01
5.898785e-02,9.958677e-01
6.024291e-02,9.958621e-01
6.149798e-02,9.958566e-01
6.275304e-02,9.958510e-01
6.400810e-02,9.958454e-01
6.526316e-02,9.958398e-01
6.651822e-02,9.958342e-01
6.777328e-02,9.958286e-01
6.902834e-02,9.958229e-01
7.028340e-02,9.958173e-01
7.153846e-02,9.958116e-01
7.279352e-02,9.958059e-01
7.404858e-02,9.958002e-01
7.530364e-02,9.957945e-01
7.655870e-02,9.957888e-01
7.781377e-02,9.957830e-01
7.906883e-02,9.957772e-01
8.032389e-02,9.957714e-01
8.157895e-02,9.957656e-01
8.283401e-02,9.957598e-01
8.408907e-02,9.957540e-01
8.534413e-02,9.957481e-01
8.659919e-02,9.957423e-01
8.785425e-02,9.957364e-01
8.910931e-02,9.957305e-01
9.036437e-02,9.957246e-01
9.161943e-02,9.957187e-01
9.287449e-02,9.957127e-01
9.412955e-02,9.957068e-01
9.538462e-02,9.957008e-01
9.663968e-02,9.956948e-01
9.789474e-02,9.956888e-01
9.914980e-02,9.956827e-01
1.004049e-01,9.956767e-01
1.016599e-01,9.956706e-01
1.029150e-01,9.956645e-01
1.041700e-01,9.956584e-01
1.054251e-01,9.956523e-01
1.066802e-01,9.956462e-01
1.079352e-01,9.956400e-01
1.091903e-01,9.956339e-01
1.104453e-01,9.956277e-01
1.117004e-01,9.956215e-01
1.129555e-01,9.956153e-01
1.142105e-01,9.956090e-01
1.154656e-01,9.956028e-01
1.167206e-01,9.955965e-01
1.179757e-01,9.955902e-01
1.192308e-01,9.955839e-01
1.204858e-01,9.955776e-01
1.217409e-01,9.955712e-01
1.229960e-01,9.955649e-01
1.242510e-01,9.955585e-01
1.255061e-01,9.955521e-01
1.267611e-01,9.955457e-01
1.280162e-01,9.955392e-01
1.292713e-01,9.955328e-01
1.305263e-01,9.955263e-01
1.317814e-01,9.955198e-01
1.330364e-01,9.955133e-01
1.342915e-01,9.955068e-01
1.355466e-01,9.955002e-01
1.368016e-01,9.954936e-01
1.380567e-01,9.954871e-01
1.393117e-01,9.954805e-01
1.405668e-01,9.954738e-01
1.418219e-01,9.954672e-01
1.430769e-01,9.954605e-01
1.443320e-01,9.954538e-01
1.455870e-01,9.954471e-01
1.468421e-01,9.954404e-01
1.480972e-01,9.954336e-01
1.493522e-01,9.954269e-01
1.506073e-01,9.954201e-01
1.518623e-01,9.954133e-01
1.531174e-01,9.954065e-01
1.543725e-01,9.953996e-01
1.556275e-01,9.953928e-01
1.568826e-01,9.953859e-01
1.581377e-01,9.953790e-01
1.593927e-01,9.953720e-01
1.606478e-01,9.953651e-01
1.619028e-01,9.953581e-01
1.631579e-01,9.953511e-01
1.644130e-01,9.953441e-01
1.656680e-01,9.953371e-01
1.669231e-01,9.953300e-01
1.681781e-01,9.953229e-01
1.694332e-01,9.953158e-01
1.706883e-01,9.953087e-01
1.719433e-01,9.953016e-01
1.731984e-01,9.952944e-01
1.744534e-01,9.952872e-01
1.757085e-01,9.952800e-01
1.769636e-01,9.952728e-01
1.782186e-01,9.952655e-01
1.794737e-01,9.952583e-01
1.807287e-01,9.952510e-01
1.819838e-01,9.952437e-01
1.832389e-01,9.952363e-01
1.844939e-01,9.952290e-01
1.857490e-01,9.952216e-01
1.870040e-01,9.952142e-01
1.882591e-01,9.952067e-01
1.895142e-01,9.951993e-01
1.907692e-01,9.951918e-01
1.920243e-01,9.951843e-01
1.932794e-01,9.951768e-01
1.945344e-01,9.951692e-01
1.957895e-01,9.951616e-01
1.970445e-01,9.951540e-01
1.982996e-01,9.951464e-01
1.995547e-01,9.951388e-01
2.008097e-01,9.951311e-01
2.020648e-01,9.951234e-01
2.033198e-01,9.951157e-01
2.045749e-01,9.951080e-01
2.058300e-01,9.951002e-01
2.070850e-01,9.950924e-01
2.083401e-01,9.950846e-01
2.095951e-01,9.950767e-01
2.108502e-01,9.950689e-01
2.121053e-01,9.950610e-01
2.133603e-01,9.950531e-01
2.146154e-01,9.950451e-01
2.158704e-01,9.950372e-01
2.171255e-01,9.950292e-01
2.183806e-01,9.950212e-01
2.196356e-01,9.950131e-01
2.208907e-01,9.950050e-01
2.221457e-01,9.949969e-01
2.234008e-01,9.949888e-01
2.246559e-01,9.949807e-01
2.259109e-01,9.949725e-01
2.271660e-01,9.949643e-01
2.284211e-01,9.949561e-01
2.296761e-01,9.949478e-01
2.309312e-01,9.949395e-01
2.321862e-01,9.949312e-01
2.334413e-01,9.949229e-01
2.346964e-01,9.949145e-01
2.359514e-01,9.949061e-01
2.372065e-01,9.948977e-01
2.384615e-01,9.948892e-01
2.397166e-01,9.948808e-01
2.409717e-01,9.948723e-01
2.422267e-01,9.948637e-01
2.434818e-01,9.948552e-01
2.447368e-01,9.948466e-01
2.459919e-01,9.948379e-01
2.472470e-01,9.948293e-01
2.485020e-01,9.948206e-01
2.497571e-01,9.948119e-01
2.510121e-01,9.948032e-01
2.522672e-01,9.947944e-01
2.535223e-01,9.947856e-01
2.547773e-01,9.947768e-01
2.560324e-01,9.947679e-01
2.572874e-01,9.947591e-01
2.585425e-01,9.947501e-01
2.597976e-01,9.947412e-01
2.610526e-01,9.947322e-01
2.623077e-01,9.947232e-01
2.635628e-01,9.947142e-01
2.648178e-01,9.947051e-01
2.660729e-01,9.946960e-01
2.673279e-01,9.946869e-01
2.685830e-01,9.946777e-01
2.698381e-01,9.946685e-01
2.710931e-01,9.946593e-01
2.723482e-01,9.946500e-01
2.736032e-01,9.946407e-01
2.748583e-01,9.946314e-01
2.761134e-01,9.946221e-01
