# units: m/s
x_metres,value
0.000000e+00,1.661651e-05
1.255061e-03,1.661434e-05
2.510121e-03,1.661217e-05
3.765182e-03,1.661000e-05
5.020243e-03,1.660782e-05
6.275304e-03,1.660564e-05
7.530364e-03,1.660346e-05
8.785425e-03,1.660128e-05
1.004049e-02,1.659909e-05
1.129555e-02,1.659690e-05
1.255061e-02,1.659471e-05
1.380567e-02,1.659252e-05
1.506073e-02,1.659032e-05
1.631579e-02,1.658812e-05
1.757085e-02,1.658592e-05
1.882591e-02,1.658372e-05
2.008097e-02,1.658151e-05
2.133603e-02,1.657930e-05
2.259109e-02,1.657709e-05
2.384615e-02,1.657488e-05
2.510121e-02,1.657266e-05
2.635628e-02,1.657044e-05
2.761134e-02,1.656822e-05
2.886640e-02,1.656599e-05
3.012146e-02,1.656377e-05
3.137652e-02,1.656154e-05
3.263158e-02,1.655930e-05
3.388664e-02,1.655707e-05
3.514170e-02,1.655483e-05
3.639676e-02,1.655259e-05
3.765182e-02,1.655035e-05
3.890688e-02,1.654810e-05
4.016194e-02,1.654585e-05
4.141700e-02,1.654360e-05
4.267206e-02,1.654135e-05
4.392713e-02,1.653909e-05
4.518219e-02,1.653684e-05
4.643725e-02,1.653457e-05
4.769231e-02,1.653231e-05
4.894737e-02,1.653004e-05
5.020243e-02,1.652777e-05
5.145749e-02,1.652550e-05
5.271255e-02,1.652323e-05
5.396761e-02,1.652095e-05
5.522267e-02,1.651867e-05
5.647773e-02,1.651639e-05
5.773279e-02,1.651410e-05
5.898785e-02,1.651181e-05
6.024291e-02,1.650952e-05
6.149798e-02,1.650723e-05
6.275304e-02,1.650493e-05
6.400810e-02,1.650263e-05
6.526316e-02,1.650033e-05
6.651822e-02,1.649802e-05
6.777328e-02,1.649571e-05
6.902834e-02,1.649340e-05
7.028340e-02,1.649109e-05
7.153846e-02,1.648877e-05
7.279352e-02,1.648645e-05
7.404858e-02,1.648413e-05
7.530364e-02,1.648181e-05
7.655870e-02,1.647948e-05
7.781377e-02,1.647715e-05
7.906883e-02,1.647481e-05
8.032389e-02,1.647248e-05
8.157895e-02,1.647014e-05
8.283401e-02,1.646780e-05
8.408907e-02,1.646545e-05
8.534413e-02,1.646310e-05
8.659919e-02,1.646075e-05
8.785425e-02,1.645840e-05
8.910931e-02,1.645604e-05
9.036437e-02,1.645368e-05
9.161943e-02,1.645132e-05
9.287449e-02,1.644895e-05
9.412955e-02,1.644658e-05
9.538462e-02,1.644421e-05
9.663968e-02,1.644184e-05
9.789474e-02,1.643946e-05
9.914980e-02,1.643708e-05
1.004049e-01,1.643470e-05
1.016599e-01,1.643231e-05
1.029150e-01,1.642992e-05
1.041700e-01,1.642753e-05
1.054251e-01,1.642513e-05
1.066802e-01,1.642274e-05
1.079352e-01,1.642033e-05
1.091903e-01,1.641793e-05
1.104453e-01,1.641552e-05
1.117004e-01,1.641311e-05
1.129555e-01,1.641070e-05
1.142105e-01,1.640828e-05
1.154656e-01,1.640586e-05
1.167206e-01,1.640344e-05
1.179757e-01,1.640101e-05
1.192308e-01,1.639858e-05
1.204858e-01,1.639615e-05
1.217409e-01,1.639371e-05
1.229960e-01,1.639127e-05
1.242510e-01,1.638883e-05
1.255061e-01,1.638639e-05
1.267611e-01,1.638394e-05
