# units: molT2
t_seconds,value
0.000000e+00,3.627000e-12
1.601578e+02,3.590891e-12
3.203157e+02,3.555217e-12
4.804735e+02,3.519970e-12
6.406314e+02,3.485144e-12
8.007892e+02,3.450732e-12
9.609471e+02,3.416729e-12
1.121105e+03,3.383129e-12
1.281263e+03,3.349925e-12
1.441421e+03,3.317113e-12
1.601578e+03,3.284686e-12
1.761736e+03,3.252639e-12
1.921894e+03,3.220966e-12
2.082052e+03,3.189662e-12
2.242210e+03,3.158722e-12
2.402368e+03,3.128141e-12
2.562526e+03,3.097913e-12
2.722683e+03,3.068034e-12
2.882841e+03,3.038498e-12
3.042999e+03,3.009301e-12
3.203157e+03,2.980439e-12
3.363315e+03,2.951905e-12
3.523473e+03,2.923697e-12
3.683630e+03,2.895809e-12
3.843788e+03,2.868237e-12
4.003946e+03,2.840976e-12
4.164104e+03,2.814022e-12
4.324262e+03,2.787372e-12
4.484420e+03,2.761020e-12
4.644577e+03,2.734964e-12
4.804735e+03,2.709198e-12
4.964893e+03,2.683719e-12
5.125051e+03,2.658523e-12
5.285209e+03,2.633606e-12
5.445367e+03,2.608964e-12
5.605525e+03,2.584594e-12
5.765682e+03,2.560493e-12
5.925840e+03,2.536655e-12
6.085998e+03,2.513079e-12
6.246156e+03,2.489760e-12
6.406314e+03,2.466696e-12
6.566472e+03,2.443882e-12
6.726629e+03,2.421316e-12
6.886787e+03,2.398994e-12
7.046945e+03,2.376913e-12
7.207103e+03,2.355070e-12
7.367261e+03,2.333461e-12
7.527419e+03,2.312085e-12
7.687577e+03,2.290937e-12
7.847734e+03,2.270015e-12
8.007892e+03,2.249316e-12
8.168050e+03,2.228837e-12
8.328208e+03,2.208575e-12
8.488366e+03,2.188528e-12
8.648524e+03,2.168692e-12
8.808681e+03,2.149065e-12
8.968839e+03,2.129645e-12
9.128997e+03,2.110429e-12
9.289155e+03,2.091414e-12
9.449313e+03,2.072597e-12
9.609471e+03,2.053977e-12
9.769628e+03,2.035550e-12
9.929786e+03,2.017315e-12
1.008994e+04,1.999269e-12
1.025010e+04,1.981409e-12
1.041026e+04,1.963734e-12
1.057042e+04,1.946241e-12
1.073058e+04,1.928927e-12
1.089073e+04,1.911791e-12
1.105089e+04,1.894831e-12
1.121105e+04,1.878044e-12
1.137121e+04,1.861428e-12
1.153136e+04,1.844981e-12
1.169152e+04,1.828701e-12
1.185168e+04,1.812586e-12
1.201184e+04,1.796634e-12
1.217200e+04,1.780843e-12
1.233215e+04,1.765211e-12
1.249231e+04,1.749737e-12
1.265247e+04,1.734418e-12
1.281263e+04,1.719252e-12
1.297279e+04,1.704238e-12
1.313294e+04,1.689374e-12
1.329310e+04,1.674658e-12
1.345326e+04,1.660089e-12
1.361342e+04,1.645664e-12
1.377357e+04,1.631382e-12
1.393373e+04,1.617241e-12
1.409389e+04,1.603240e-12
1.425405e+04,1.589377e-12
1.441421e+04,1.575650e-12
1.457436e+04,1.562058e-12
1.473452e+04,1.548599e-12
1.489468e+04,1.535272e-12
1.505484e+04,1.522075e-12
1.521500e+04,1.509007e-12
1.537515e+04,1.496066e-12
1.553531e+04,1.483250e-12
1.569547e+04,1.470559e-12
1.585563e+04,1.457991e-12
1.601578e+04,1.445545e-12
1.617594e+04,1.433218e-12
1.633610e+04,1.421010e-12
1.649626e+04,1.408920e-12
1.665642e+04,1.396946e-12
1.681657e+04,1.385087e-12
1.697673e+04,1.373341e-12
1.713689e+04,1.361707e-12
1.729705e+04,1.350184e-12
1.745721e+04,1.338772e-12
1.761736e+04,1.327467e-12
1.777752e+04,1.316270e-12
1.793768e+04,1.305179e-12
1.809784e+04,1.294193e-12
1.825799e+04,1.283311e-12
1.841815e+04,1.272531e-12
1.857831e+04,1.261853e-12
1.873847e+04,1.251276e-12
1.889863e+04,1.240798e-12
1.905878e+04,1.230418e-12
1.921894e+04,1.220135e-12
1.937910e+04,1.209948e-12
1.953926e+04,1.199857e-12
1.969941e+04,1.189859e-12
1.985957e+04,1.179954e-12
2.001973e+04,1.170142e-12
2.017989e+04,1.160420e-12
2.034005e+04,1.150789e-12
2.050020e+04,1.141247e-12
2.066036e+04,1.131793e-12
2.082052e+04,1.122426e-12
2.098068e+04,1.113145e-12
2.114084e+04,1.103950e-12
2.130099e+04,1.094839e-12
2.146115e+04,1.085811e-12
2.162131e+04,1.076867e-12
2.178147e+04,1.068004e-12
2.194162e+04,1.059222e-12
2.210178e+04,1.050520e-12
2.226194e+04,1.041898e-12
2.242210e+04,1.033354e-12
2.258226e+04,1.024887e-12
2.274241e+04,1.016498e-12
2.290257e+04,1.008184e-12
2.306273e+04,9.999456e-13
2.322289e+04,9.917815e-13
2.338305e+04,9.836912e-13
2.354320e+04,9.756737e-13
2.370336e+04,9.677285e-13
2.386352e+04,9.598546e-13
2.402368e+04,9.520514e-13
2.418383e+04,9.443181e-13
2.434399e+04,9.366541e-13
2.450415e+04,9.290586e-13
2.466431e+04,9.215310e-13
2.482447e+04,9.140705e-13
2.498462e+04,9.066764e-13
2.514478e+04,8.993481e-13
2.530494e+04,8.920850e-13
2.546510e+04,8.848863e-13
2.562526e+04,8.777515e-13
2.578541e+04,8.706798e-13
2.594557e+04,8.636706e-13
2.610573e+04,8.567233e-13
2.626589e+04,8.498374e-13
2.642604e+04,8.430121e-13
2.658620e+04,8.362468e-13
2.674636e+04,8.295411e-13
2.690652e+04,8.228942e-13
2.706668e+04,8.163056e-13
2.722683e+04,8.097747e-13
2.738699e+04,8.033010e-13
2.754715e+04,7.968838e-13
2.770731e+04,7.905227e-13
2.786746e+04,7.842170e-13
2.802762e+04,7.779663e-13
2.818778e+04,7.717699e-13
2.834794e+04,7.656274e-13
2.850810e+04,7.595382e-13
2.866825e+04,7.535018e-13
2.882841e+04,7.475177e-13
2.898857e+04,7.415854e-13
2.914873e+04,7.357043e-13
2.930889e+04,7.298740e-13
2.946904e+04,7.240940e-13
2.962920e+04,7.183638e-13
