# units: molT2/s
t_seconds,value
0.000000e+00,0.000000e+00
1.601578e+02,2.199497e-16
3.203157e+02,2.192427e-16
4.804735e+02,2.166480e-16
6.406314e+02,2.140781e-16
8.007892e+02,2.115456e-16
9.609471e+02,2.090497e-16
1.121105e+03,2.065900e-16
1.281263e+03,2.041657e-16
1.441421e+03,2.017762e-16
1.601578e+03,1.994209e-16
1.761736e+03,1.970992e-16
1.921894e+03,1.948106e-16
2.082052e+03,1.925545e-16
2.242210e+03,1.903302e-16
2.402368e+03,1.881374e-16
2.562526e+03,1.859754e-16
2.722683e+03,1.838437e-16
2.882841e+03,1.817418e-16
3.042999e+03,1.796692e-16
3.203157e+03,1.776254e-16
3.363315e+03,1.756100e-16
3.523473e+03,1.736224e-16
3.683630e+03,1.716622e-16
3.843788e+03,1.697289e-16
4.003946e+03,1.678221e-16
4.164104e+03,1.659413e-16
4.324262e+03,1.640861e-16
4.484420e+03,1.622562e-16
4.644577e+03,1.604510e-16
4.804735e+03,1.586702e-16
4.964893e+03,1.569134e-16
5.125051e+03,1.551802e-16
5.285209e+03,1.534702e-16
5.445367e+03,1.517830e-16
5.605525e+03,1.501183e-16
5.765682e+03,1.484757e-16
5.925840e+03,1.468549e-16
6.085998e+03,1.452554e-16
6.246156e+03,1.436771e-16
6.406314e+03,1.421194e-16
6.566472e+03,1.405822e-16
6.726629e+03,1.390650e-16
6.886787e+03,1.375676e-16
7.046945e+03,1.360896e-16
7.207103e+03,1.346308e-16
7.367261e+03,1.331909e-16
7.527419e+03,1.317695e-16
7.687577e+03,1.303663e-16
7.847734e+03,1.289812e-16
8.007892e+03,1.276137e-16
8.168050e+03,1.262637e-16
8.328208e+03,1.249309e-16
8.488366e+03,1.236149e-16
8.648524e+03,1.223156e-16
8.808681e+03,1.210327e-16
8.968839e+03,1.197660e-16
9.128997e+03,1.185151e-16
9.289155e+03,1.172799e-16
9.449313e+03,1.160601e-16
9.609471e+03,1.148555e-16
9.769628e+03,1.136658e-16
9.929786e+03,1.124909e-16
1.008994e+04,1.113305e-16
1.025010e+04,1.101845e-16
1.041026e+04,1.090525e-16
1.057042e+04,1.079343e-16
1.073058e+04,1.068299e-16
1.089073e+04,1.057389e-16
1.105089e+04,1.046613e-16
1.121105e+04,1.035967e-16
1.137121e+04,1.025449e-16
1.153136e+04,1.015059e-16
1.169152e+04,1.004794e-16
1.185168e+04,9.946530e-17
1.201184e+04,9.846331e-17
1.217200e+04,9.747331e-17
1.233215e+04,9.649512e-17
1.249231e+04,9.552858e-17
1.265247e+04,9.457351e-17
1.281263e+04,9.362976e-17
1.297279e+04,9.269716e-17
1.313294e+04,9.177555e-17
1.329310e+04,9.086478e-17
1.345326e+04,8.996470e-17
1.361342e+04,8.907516e-17
1.377357e+04,8.819600e-17
1.393373e+04,8.732709e-17
1.409389e+04,8.646828e-17
1.425405e+04,8.561942e-17
1.441421e+04,8.478039e-17
1.457436e+04,8.395104e-17
1.473452e+04,8.313124e-17
1.489468e+04,8.232086e-17
1.505484e+04,8.151977e-17
1.521500e+04,8.072784e-17
1.537515e+04,7.994495e-17
1.553531e+04,7.917097e-17
1.569547e+04,7.840579e-17
1.585563e+04,7.764928e-17
1.601578e+04,7.690132e-17
1.617594e+04,7.616180e-17
1.633610e+04,7.543061e-17
1.649626e+04,7.470763e-17
1.665642e+04,7.399276e-17
1.681657e+04,7.328589e-17
1.697673e+04,7.258690e-17
1.713689e+04,7.189569e-17
1.729705e+04,7.121217e-17
1.745721e+04,7.053623e-17
1.761736e+04,6.986776e-17
1.777752e+04,6.920668e-17
1.793768e+04,6.855288e-17
1.809784e+04,6.790626e-17
1.825799e+04,6.726675e-17
1.841815e+04,6.663423e-17
1.857831e+04,6.600862e-17
1.873847e+04,6.538983e-17
1.889863e+04,6.477778e-17
1.905878e+04,6.417237e-17
1.921894e+04,6.357352e-17
1.937910e+04,6.298114e-17
1.953926e+04,6.239516e-17
1.969941e+04,6.181549e-17
1.985957e+04,6.124204e-17
2.001973e+04,6.067475e-17
2.017989e+04,6.011353e-17
2.034005e+04,5.955830e-17
2.050020e+04,5.900900e-17
2.066036e+04,5.846553e-17
2.082052e+04,5.792784e-17
2.098068e+04,5.739585e-17
2.114084e+04,5.686949e-17
2.130099e+04,5.634868e-17
2.146115e+04,5.583336e-17
2.162131e+04,5.532346e-17
2.178147e+04,5.481891e-17
2.194162e+04,5.431965e-17
2.210178e+04,5.382560e-17
2.226194e+04,5.333672e-17
2.242210e+04,5.285292e-17
2.258226e+04,5.237416e-17
2.274241e+04,5.190036e-17
2.290257e+04,5.143148e-17
2.306273e+04,5.096744e-17
2.322289e+04,5.050819e-17
2.338305e+04,5.005367e-17
2.354320e+04,4.960382e-17
2.370336e+04,4.915859e-17
2.386352e+04,4.871793e-17
2.402368e+04,4.828177e-17
2.418383e+04,4.785006e-17
2.434399e+04,4.742276e-17
2.450415e+04,4.699979e-17
2.466431e+04,4.658113e-17
2.482447e+04,4.616671e-17
2.498462e+04,4.575648e-17
2.514478e+04,4.535040e-17
2.530494e+04,4.494841e-17
