# units: m/s
x_metres,value
0.000000e+00,9.985565e-04
1.255061e-03,9.998157e-04
2.510121e-03,1.001078e-03
3.765182e-03,1.002343e-03
5.020243e-03,1.003612e-03
6.275304e-03,1.004884e-03
7.530364e-03,1.006159e-03
8.785425e-03,1.007438e-03
1.004049e-02,1.008719e-03
1.129555e-02,1.010004e-03
1.255061e-02,1.011292e-03
1.380567e-02,1.012584e-03
1.506073e-02,1.013879e-03
1.631579e-02,1.015177e-03
1.757085e-02,1.016478e-03
1.882591e-02,1.017783e-03
2.008097e-02,1.019091e-03
2.133603e-02,1.020403e-03
2.259109e-02,1.021718e-03
2.384615e-02,1.023036e-03
2.510121e-02,1.024358e-03
2.635628e-02,1.025683e-03
2.761134e-02,1.027011e-03
2.886640e-02,1.028343e-03
3.012146e-02,1.029679e-03
3.137652e-02,1.031018e-03
3.263158e-02,1.032360e-03
3.388664e-02,1.033706e-03
3.514170e-02,1.035055e-03
3.639676e-02,1.036408e-03
3.765182e-02,1.037765e-03
3.890688e-02,1.039125e-03
4.016194e-02,1.040489e-03
4.141700e-02,1.041856e-03
4.267206e-02,1.043227e-03
4.392713e-02,1.044601e-03
4.518219e-02,1.045979e-03
4.643725e-02,1.047361e-03
4.769231e-02,1.048746e-03
4.894737e-02,1.050135e-03
5.020243e-02,1.051528e-03
5.145749e-02,1.052924e-03
5.271255e-02,1.054324e-03
5.396761e-02,1.055728e-03
5.522267e-02,1.057136e-03
5.647773e-02,1.058547e-03
5.773279e-02,1.059962e-03
5.898785e-02,1.061381e-03
6.024291e-02,1.062804e-03
6.149798e-02,1.064231e-03
6.275304e-02,1.065661e-03
6.400810e-02,1.067095e-03
6.526316e-02,1.068533e-03
6.651822e-02,1.069975e-03
6.777328e-02,1.071421e-03
6.902834e-02,1.072871e-03
7.028340e-02,1.074325e-03
7.153846e-02,1.075783e-03
7.279352e-02,1.077244e-03
7.404858e-02,1.078710e-03
7.530364e-02,1.080179e-03
7.655870e-02,1.081653e-03
7.781377e-02,1.083131e-03
7.906883e-02,1.084612e-03
8.032389e-02,1.086098e-03
8.157895e-02,1.087588e-03
8.283401e-02,1.089082e-03
8.408907e-02,1.090580e-03
8.534413e-02,1.092082e-03
8.659919e-02,1.093589e-03
8.785425e-02,1.095099e-03
8.910931e-02,1.096614e-03
9.036437e-02,1.098133e-03
9.161943e-02,1.099656e-03
9.287449e-02,1.101183e-03
9.412955e-02,1.102715e-03
9.538462e-02,1.104250e-03
9.663968e-02,1.105791e-03
9.789474e-02,1.107335e-03
9.914980e-02,1.108884e-03
1.004049e-01,1.110437e-03
1.016599e-01,1.111994e-03
1.029150e-01,1.113556e-03
1.041700e-01,1.115122e-03
1.054251e-01,1.116693e-03
1.066802e-01,1.118268e-03
1.079352e-01,1.119848e-03
1.091903e-01,1.121432e-03
1.104453e-01,1.123020e-03
1.117004e-01,1.124613e-03
1.129555e-01,1.126211e-03
1.142105e-01,1.127813e-03
1.154656e-01,1.129419e-03
1.167206e-01,1.131030e-03
1.179757e-01,1.132646e-03
1.192308e-01,1.134267e-03
1.204858e-01,1.135892e-03
1.217409e-01,1.137522e-03
1.229960e-01,1.139156e-03
1.242510e-01,1.140795e-03
1.255061e-01,1.142439e-03
1.267611e-01,1.144088e-03
1.280162e-01,1.145741e-03
1.292713e-01,1.147399e-03
1.305263e-01,1.149062e-03
1.317814e-01,1.150730e-03
1.330364e-01,1.152403e-03
1.342915e-01,1.154080e-03
1.355466e-01,1.155763e-03
1.368016e-01,1.157450e-03
1.380567e-01,1.159142e-03
1.393117e-01,1.160840e-03
1.405668e-01,1.162542e-03
