# units: molT2
t_seconds,value
0.000000e+00,3.627000e-13
6.776603e+02,3.608934e-13
1.355321e+03,3.590960e-13
2.032981e+03,3.573075e-13
2.710641e+03,3.555279e-13
3.388302e+03,3.537572e-13
4.065962e+03,3.519953e-13
4.743622e+03,3.502422e-13
5.421283e+03,3.484978e-13
6.098943e+03,3.467621e-13
6.776603e+03,3.450350e-13
7.454263e+03,3.433166e-13
8.131924e+03,3.416067e-13
8.809584e+03,3.399053e-13
9.487244e+03,3.382124e-13
1.016490e+04,3.365279e-13
1.084257e+04,3.348518e-13
1.152023e+04,3.331841e-13
1.219789e+04,3.315247e-13
1.287555e+04,3.298735e-13
1.355321e+04,3.282306e-13
1.423087e+04,3.265958e-13
1.490853e+04,3.249692e-13
1.558619e+04,3.233507e-13
1.626385e+04,3.217402e-13
1.694151e+04,3.201378e-13
1.761917e+04,3.185433e-13
1.829683e+04,3.169568e-13
1.897449e+04,3.153782e-13
1.965215e+04,3.138074e-13
2.032981e+04,3.122445e-13
2.100747e+04,3.106894e-13
2.168513e+04,3.091420e-13
2.236279e+04,3.076023e-13
2.304045e+04,3.060703e-13
2.371811e+04,3.045459e-13
2.439577e+04,3.030291e-13
2.507343e+04,3.015198e-13
2.575109e+04,3.000181e-13
2.642875e+04,2.985239e-13
2.710641e+04,2.970371e-13
2.778407e+04,2.955577e-13
2.846173e+04,2.940856e-13
2.913939e+04,2.926209e-13
2.981705e+04,2.911635e-13
3.049471e+04,2.897134e-13
3.117237e+04,2.882705e-13
3.185003e+04,2.868347e-13
3.252770e+04,2.854061e-13
3.320536e+04,2.839847e-13
3.388302e+04,2.825703e-13
3.456068e+04,2.811629e-13
3.523834e+04,2.797626e-13
3.591600e+04,2.783692e-13
3.659366e+04,2.769828e-13
3.727132e+04,2.756033e-13
3.794898e+04,2.742306e-13
3.862664e+04,2.728648e-13
3.930430e+04,2.715058e-13
3.998196e+04,2.701536e-13
4.065962e+04,2.688081e-13
4.133728e+04,2.674693e-13
4.201494e+04,2.661371e-13
4.269260e+04,2.648116e-13
4.337026e+04,2.634927e-13
4.404792e+04,2.621804e-13
4.472558e+04,2.608746e-13
4.540324e+04,2.595753e-13
4.608090e+04,2.582825e-13
4.675856e+04,2.569961e-13
4.743622e+04,2.557161e-13
4.811388e+04,2.544425e-13
4.879154e+04,2.531753e-13
4.946920e+04,2.519143e-13
5.014686e+04,2.506597e-13
5.082452e+04,2.494112e-13
5.150218e+04,2.481690e-13
5.217984e+04,2.469330e-13
5.285750e+04,2.457032e-13
5.353516e+04,2.444794e-13
5.421283e+04,2.432618e-13
5.489049e+04,2.420502e-13
5.556815e+04,2.408447e-13
5.624581e+04,2.396452e-13
5.692347e+04,2.384516e-13
5.760113e+04,2.372640e-13
5.827879e+04,2.360823e-13
5.895645e+04,2.349065e-13
5.963411e+04,2.337365e-13
6.031177e+04,2.325724e-13
6.098943e+04,2.314141e-13
6.166709e+04,2.302615e-13
6.234475e+04,2.291147e-13
6.302241e+04,2.279736e-13
6.370007e+04,2.268381e-13
6.437773e+04,2.257084e-13
6.505539e+04,2.245842e-13
6.573305e+04,2.234657e-13
6.641071e+04,2.223527e-13
6.708837e+04,2.212453e-13
6.776603e+04,2.201433e-13
6.844369e+04,2.190469e-13
6.912135e+04,2.179559e-13
6.979901e+04,2.168704e-13
7.047667e+04,2.157903e-13
7.115433e+04,2.147155e-13
7.183199e+04,2.136461e-13
7.250965e+04,2.125821e-13
7.318731e+04,2.115233e-13
7.386497e+04,2.104698e-13
7.454263e+04,2.094216e-13
7.522029e+04,2.083785e-13
7.589796e+04,2.073407e-13
7.657562e+04,2.063080e-13
7.725328e+04,2.052805e-13
7.793094e+04,2.042581e-13
7.860860e+04,2.032408e-13
7.928626e+04,2.022285e-13
7.996392e+04,2.012213e-13
8.064158e+04,2.002192e-13
8.131924e+04,1.992220e-13
8.199690e+04,1.982297e-13
8.267456e+04,1.972424e-13
8.335222e+04,1.962601e-13
8.402988e+04,1.952826e-13
8.470754e+04,1.943100e-13
8.538520e+04,1.933422e-13
8.606286e+04,1.923793e-13
8.674052e+04,1.914211e-13
8.741818e+04,1.904677e-13
8.809584e+04,1.895191e-13
8.877350e+04,1.885752e-13
8.945116e+04,1.876360e-13
9.012882e+04,1.867015e-13
9.080648e+04,1.857716e-13
9.148414e+04,1.848464e-13
9.216180e+04,1.839257e-13
9.283946e+04,1.830097e-13
9.351712e+04,1.820982e-13
9.419478e+04,1.811913e-13
9.487244e+04,1.802888e-13
9.555010e+04,1.793909e-13
9.622776e+04,1.784974e-13
9.690543e+04,1.776084e-13
9.758309e+04,1.767239e-13
9.826075e+04,1.758437e-13
9.893841e+04,1.749679e-13
9.961607e+04,1.740964e-13
1.002937e+05,1.732294e-13
1.009714e+05,1.723666e-13
1.016490e+05,1.715081e-13
1.023267e+05,1.706539e-13
1.030044e+05,1.698040e-13
1.036820e+05,1.689583e-13
1.043597e+05,1.681168e-13
1.050373e+05,1.672794e-13
1.057150e+05,1.664463e-13
1.063927e+05,1.656173e-13
1.070703e+05,1.647925e-13
1.077480e+05,1.639717e-13
1.084257e+05,1.631550e-13
1.091033e+05,1.623424e-13
1.097810e+05,1.615339e-13
1.104586e+05,1.607294e-13
1.111363e+05,1.599288e-13
1.118140e+05,1.591323e-13
1.124916e+05,1.583398e-13
1.131693e+05,1.575511e-13
1.138469e+05,1.567665e-13
1.145246e+05,1.559857e-13
1.152023e+05,1.552088e-13
1.158799e+05,1.544358e-13
1.165576e+05,1.536666e-13
1.172352e+05,1.529013e-13
1.179129e+05,1.521397e-13
1.185906e+05,1.513820e-13
1.192682e+05,1.506280e-13
1.199459e+05,1.498778e-13
1.206235e+05,1.491314e-13
1.213012e+05,1.483886e-13
1.219789e+05,1.476495e-13
1.226565e+05,1.469142e-13
1.233342e+05,1.461825e-13
1.240118e+05,1.454544e-13
1.246895e+05,1.447300e-13
1.253672e+05,1.440091e-13
1.260448e+05,1.432919e-13
1.267225e+05,1.425782e-13
1.274001e+05,1.418681e-13
1.280778e+05,1.411615e-13
1.287555e+05,1.404585e-13
1.294331e+05,1.397589e-13
1.301108e+05,1.390628e-13
1.307884e+05,1.383702e-13
1.314661e+05,1.376811e-13
1.321438e+05,1.369954e-13
1.328214e+05,1.363130e-13
1.334991e+05,1.356341e-13
1.341767e+05,1.349586e-13
1.348544e+05,1.342864e-13
1.355321e+05,1.336176e-13
1.362097e+05,1.329521e-13
1.368874e+05,1.322900e-13
1.375650e+05,1.316311e-13
1.382427e+05,1.309755e-13
1.389204e+05,1.303232e-13
1.395980e+05,1.296741e-13
1.402757e+05,1.290283e-13
1.409533e+05,1.283856e-13
1.416310e+05,1.277462e-13
1.423087e+05,1.271100e-13
1.429863e+05,1.264769e-13
1.436640e+05,1.258470e-13
1.443416e+05,1.252202e-13
1.450193e+05,1.245965e-13
1.456970e+05,1.239760e-13
1.463746e+05,1.233585e-13
1.470523e+05,1.227441e-13
1.477299e+05,1.221328e-13
1.484076e+05,1.215245e-13
1.490853e+05,1.209192e-13
1.497629e+05,1.203170e-13
1.504406e+05,1.197178e-13
1.511183e+05,1.191215e-13
1.517959e+05,1.185282e-13
1.524736e+05,1.179379e-13
1.531512e+05,1.173505e-13
1.538289e+05,1.167660e-13
1.545066e+05,1.161845e-13
1.551842e+05,1.156058e-13
1.558619e+05,1.150300e-13
1.565395e+05,1.144571e-13
1.572172e+05,1.138871e-13
1.578949e+05,1.133198e-13
1.585725e+05,1.127554e-13
1.592502e+05,1.121939e-13
1.599278e+05,1.116351e-13
1.606055e+05,1.110791e-13
1.612832e+05,1.105259e-13
1.619608e+05,1.099754e-13
1.626385e+05,1.094276e-13
1.633161e+05,1.088826e-13
1.639938e+05,1.083403e-13
1.646715e+05,1.078007e-13
1.653491e+05,1.072638e-13
1.660268e+05,1.067296e-13
1.667044e+05,1.061980e-13
1.673821e+05,1.056691e-13
1.680598e+05,1.051428e-13
1.687374e+05,1.046192e-13
1.694151e+05,1.040981e-13
1.700927e+05,1.035796e-13
1.707704e+05,1.030638e-13
1.714481e+05,1.025505e-13
1.721257e+05,1.020397e-13
1.728034e+05,1.015315e-13
1.734810e+05,1.010258e-13
1.741587e+05,1.005226e-13
1.748364e+05,1.000220e-13
1.755140e+05,9.952383e-14
1.761917e+05,9.902815e-14
1.768693e+05,9.853494e-14
1.775470e+05,9.804418e-14
1.782247e+05,9.755587e-14
1.789023e+05,9.706999e-14
1.795800e+05,9.658653e-14
1.802576e+05,9.610548e-14
1.809353e+05,9.562683e-14
1.816130e+05,9.515055e-14
1.822906e+05,9.467665e-14
1.829683e+05,9.420512e-14
1.836459e+05,9.373592e-14
1.843236e+05,9.326907e-14
1.850013e+05,9.280454e-14
1.856789e+05,9.234233e-14
1.863566e+05,9.188241e-14
1.870342e+05,9.142479e-14
1.877119e+05,9.096945e-14
1.883896e+05,9.051637e-14
1.890672e+05,9.006555e-14
1.897449e+05,8.961698e-14
1.904225e+05,8.917064e-14
1.911002e+05,8.872652e-14
1.917779e+05,8.828462e-14
1.924555e+05,8.784492e-14
1.931332e+05,8.740740e-14
1.938109e+05,8.697207e-14
1.944885e+05,8.653890e-14
1.951662e+05,8.610789e-14
1.958438e+05,8.567903e-14
1.965215e+05,8.525230e-14
1.971992e+05,8.482770e-14
1.978768e+05,8.440522e-14
1.985545e+05,8.398483e-14
1.992321e+05,8.356655e-14
1.999098e+05,8.315034e-14
2.005875e+05,8.273621e-14
2.012651e+05,8.232414e-14
2.019428e+05,8.191412e-14
2.026204e+05,8.150615e-14
