# units: molT2/s
t_seconds,value
0.000000e+00,0.000000e+00
6.776603e+02,2.663515e-18
1.355321e+03,2.650825e-18
2.032981e+03,2.637622e-18
2.710641e+03,2.624486e-18
3.388302e+03,2.611414e-18
4.065962e+03,2.598408e-18
4.743622e+03,2.585467e-18
5.421283e+03,2.572590e-18
6.098943e+03,2.559777e-18
6.776603e+03,2.547028e-18
7.454263e+03,2.534342e-18
8.131924e+03,2.521720e-18
8.809584e+03,2.509160e-18
9.487244e+03,2.496663e-18
1.016490e+04,2.484229e-18
1.084257e+04,2.471856e-18
1.152023e+04,2.459545e-18
1.219789e+04,2.447295e-18
1.287555e+04,2.435106e-18
1.355321e+04,2.422978e-18
1.423087e+04,2.410910e-18
1.490853e+04,2.398903e-18
1.558619e+04,2.386955e-18
1.626385e+04,2.375067e-18
1.694151e+04,2.363238e-18
1.761917e+04,2.351468e-18
1.829683e+04,2.339756e-18
1.897449e+04,2.328103e-18
1.965215e+04,2.316508e-18
2.032981e+04,2.304970e-18
2.100747e+04,2.293490e-18
2.168513e+04,2.282067e-18
2.236279e+04,2.270702e-18
2.304045e+04,2.259392e-18
2.371811e+04,2.248139e-18
2.439577e+04,2.236942e-18
2.507343e+04,2.225801e-18
2.575109e+04,2.214716e-18
2.642875e+04,2.203685e-18
2.710641e+04,2.192710e-18
2.778407e+04,2.181789e-18
2.846173e+04,2.170922e-18
2.913939e+04,2.160110e-18
2.981705e+04,2.149352e-18
3.049471e+04,2.138647e-18
3.117237e+04,2.127995e-18
3.185003e+04,2.117397e-18
3.252770e+04,2.106851e-18
3.320536e+04,2.096358e-18
3.388302e+04,2.085917e-18
3.456068e+04,2.075528e-18
3.523834e+04,2.065190e-18
3.591600e+04,2.054905e-18
3.659366e+04,2.044670e-18
3.727132e+04,2.034487e-18
3.794898e+04,2.024354e-18
3.862664e+04,2.014272e-18
3.930430e+04,2.004239e-18
3.998196e+04,1.994257e-18
4.065962e+04,1.984325e-18
4.133728e+04,1.974442e-18
4.201494e+04,1.964608e-18
4.269260e+04,1.954823e-18
4.337026e+04,1.945087e-18
4.404792e+04,1.935400e-18
4.472558e+04,1.925760e-18
4.540324e+04,1.916169e-18
4.608090e+04,1.906626e-18
4.675856e+04,1.897130e-18
4.743622e+04,1.887681e-18
4.811388e+04,1.878279e-18
4.879154e+04,1.868924e-18
4.946920e+04,1.859616e-18
5.014686e+04,1.850354e-18
5.082452e+04,1.841139e-18
5.150218e+04,1.831969e-18
5.217984e+04,1.822845e-18
5.285750e+04,1.813766e-18
5.353516e+04,1.804732e-18
5.421283e+04,1.795744e-18
5.489049e+04,1.786800e-18
5.556815e+04,1.777901e-18
5.624581e+04,1.769046e-18
5.692347e+04,1.760235e-18
5.760113e+04,1.751468e-18
5.827879e+04,1.742745e-18
5.895645e+04,1.734065e-18
5.963411e+04,1.725429e-18
6.031177e+04,1.716835e-18
6.098943e+04,1.708285e-18
6.166709e+04,1.699776e-18
6.234475e+04,1.691311e-18
6.302241e+04,1.682887e-18
6.370007e+04,1.674505e-18
6.437773e+04,1.666165e-18
6.505539e+04,1.657867e-18
6.573305e+04,1.649610e-18
6.641071e+04,1.641394e-18
6.708837e+04,1.633219e-18
6.776603e+04,1.625085e-18
6.844369e+04,1.616991e-18
6.912135e+04,1.608938e-18
6.979901e+04,1.600924e-18
7.047667e+04,1.592951e-18
7.115433e+04,1.585017e-18
7.183199e+04,1.577123e-18
7.250965e+04,1.569268e-18
7.318731e+04,1.561452e-18
7.386497e+04,1.553675e-18
7.454263e+04,1.545937e-18
7.522029e+04,1.538238e-18
7.589796e+04,1.530576e-18
7.657562e+04,1.522953e-18
7.725328e+04,1.515368e-18
7.793094e+04,1.507821e-18
7.860860e+04,1.500311e-18
7.928626e+04,1.492839e-18
7.996392e+04,1.485404e-18
8.064158e+04,1.478006e-18
8.131924e+04,1.470644e-18
8.199690e+04,1.463320e-18
8.267456e+04,1.456032e-18
8.335222e+04,1.448780e-18
8.402988e+04,1.441564e-18
8.470754e+04,1.434385e-18
8.538520e+04,1.427241e-18
8.606286e+04,1.420132e-18
8.674052e+04,1.413059e-18
8.741818e+04,1.406021e-18
8.809584e+04,1.399019e-18
8.877350e+04,1.392051e-18
8.945116e+04,1.385118e-18
9.012882e+04,1.378219e-18
9.080648e+04,1.371355e-18
9.148414e+04,1.364525e-18
9.216180e+04,1.357729e-18
9.283946e+04,1.350966e-18
9.351712e+04,1.344238e-18
9.419478e+04,1.337543e-18
9.487244e+04,1.330881e-18
9.555010e+04,1.324253e-18
9.622776e+04,1.317657e-18
9.690543e+04,1.311095e-18
9.758309e+04,1.304565e-18
9.826075e+04,1.298067e-18
9.893841e+04,1.291602e-18
9.961607e+04,1.285169e-18
1.002937e+05,1.278769e-18
1.009714e+05,1.272400e-18
1.016490e+05,1.266062e-18
1.023267e+05,1.259757e-18
1.030044e+05,1.253483e-18
1.036820e+05,1.247240e-18
1.043597e+05,1.241028e-18
1.050373e+05,1.234847e-18
1.057150e+05,1.228697e-18
1.063927e+05,1.222577e-18
1.070703e+05,1.216488e-18
1.077480e+05,1.210429e-18
1.084257e+05,1.204401e-18
1.091033e+05,1.198402e-18
1.097810e+05,1.192433e-18
1.104586e+05,1.186494e-18
1.111363e+05,1.180585e-18
1.118140e+05,1.174705e-18
1.124916e+05,1.168854e-18
1.131693e+05,1.163033e-18
1.138469e+05,1.157240e-18
1.145246e+05,1.151477e-18
1.152023e+05,1.145742e-18
1.158799e+05,1.140035e-18
1.165576e+05,1.134357e-18
1.172352e+05,1.128708e-18
1.179129e+05,1.123086e-18
1.185906e+05,1.117493e-18
1.192682e+05,1.111927e-18
1.199459e+05,1.106389e-18
1.206235e+05,1.100879e-18
1.213012e+05,1.095396e-18
1.219789e+05,1.089940e-18
1.226565e+05,1.084512e-18
1.233342e+05,1.079110e-18
1.240118e+05,1.073736e-18
1.246895e+05,1.068388e-18
1.253672e+05,1.063067e-18
1.260448e+05,1.057772e-18
1.267225e+05,1.052504e-18
1.274001e+05,1.047262e-18
1.280778e+05,1.042046e-18
1.287555e+05,1.036856e-18
1.294331e+05,1.031692e-18
1.301108e+05,1.026553e-18
1.307884e+05,1.021441e-18
1.314661e+05,1.016353e-18
1.321438e+05,1.011291e-18
1.328214e+05,1.006255e-18
1.334991e+05,1.001243e-18
1.341767e+05,9.962563e-19
1.348544e+05,9.912944e-19
1.355321e+05,9.863572e-19
1.362097e+05,9.814447e-19
1.368874e+05,9.765566e-19
1.375650e+05,9.716928e-19
1.382427e+05,9.668533e-19
1.389204e+05,9.620378e-19
1.395980e+05,9.572464e-19
1.402757e+05,9.524788e-19
1.409533e+05,9.477349e-19
1.416310e+05,9.430147e-19
1.423087e+05,9.383180e-19
1.429863e+05,9.336447e-19
1.436640e+05,9.289947e-19
1.443416e+05,9.243678e-19
1.450193e+05,9.197639e-19
1.456970e+05,9.151830e-19
1.463746e+05,9.106250e-19
1.470523e+05,9.060896e-19
1.477299e+05,9.015768e-19
1.484076e+05,8.970864e-19
1.490853e+05,8.926185e-19
1.497629e+05,8.881728e-19
1.504406e+05,8.837492e-19
1.511183e+05,8.793477e-19
1.517959e+05,8.749681e-19
1.524736e+05,8.706103e-19
1.531512e+05,8.662742e-19
1.538289e+05,8.619597e-19
1.545066e+05,8.576667e-19
1.551842e+05,8.533950e-19
1.558619e+05,8.491447e-19
1.565395e+05,8.449155e-19
1.572172e+05,8.407074e-19
1.578949e+05,8.365202e-19
1.585725e+05,8.323539e-19
1.592502e+05,8.282083e-19
1.599278e+05,8.240834e-19
1.606055e+05,8.199791e-19
1.612832e+05,8.158951e-19
1.619608e+05,8.118316e-19
1.626385e+05,8.077882e-19
1.633161e+05,8.037650e-19
1.639938e+05,7.997618e-19
1.646715e+05,7.957786e-19
