# units: Pa
x_metres,value
0.000000e+00,1.235496e+05
4.650000e-03,1.234578e+05
9.300000e-03,1.233660e+05
1.395000e-02,1.232742e+05
1.860000e-02,1.231825e+05
2.325000e-02,1.230907e+05
2.790000e-02,1.229989e+05
3.255000e-02,1.229072e+05
3.720000e-02,1.228154e+05
4.185000e-02,1.227236e+05
4.650000e-02,1.226319e+05
5.115000e-02,1.225401e+05
5.580000e-02,1.224483e+05
6.045000e-02,1.223565e+05
6.510000e-02,1.222648e+05
6.975000e-02,1.221730e+05
7.440000e-02,1.220812e+05
7.905000e-02,1.219895e+05
8.370000e-02,1.218977e+05
8.835000e-02,1.218059e+05
9.300000e-02,1.217141e+05
