# units: m/s
x_metres,value
0.000000e+00,2.005138e-05
4.650000e-03,2.004984e-05
9.300000e-03,2.004829e-05
1.395000e-02,2.004675e-05
1.860000e-02,2.004521e-05
2.325000e-02,2.004366e-05
2.790000e-02,2.004212e-05
3.255000e-02,2.004057e-05
3.720000e-02,2.003902e-05
4.185000e-02,2.003747e-05
4.650000e-02,2.003592e-05
5.115000e-02,2.003437e-05
5.580000e-02,2.003282e-05
6.045000e-02,2.003127e-05
6.510000e-02,2.002971e-05
6.975000e-02,2.002816e-05
7.440000e-02,2.002660e-05
7.905000e-02,2.002505e-05
8.370000e-02,2.002349e-05
8.835000e-02,2.002193e-05
9.300000e-02,2.002037e-05
