# units: molT2
t_seconds,value
0.000000e+00,3.627000e-13
4.353393e+02,3.608955e-13
8.706786e+02,3.590999e-13
1.306018e+03,3.573133e-13
1.741357e+03,3.555356e-13
2.176697e+03,3.537667e-13
2.612036e+03,3.520067e-13
3.047375e+03,3.502553e-13
3.482714e+03,3.485127e-13
3.918054e+03,3.467788e-13
4.353393e+03,3.450535e-13
4.788732e+03,3.433368e-13
5.224072e+03,3.416286e-13
5.659411e+03,3.399289e-13
6.094750e+03,3.382377e-13
6.530090e+03,3.365549e-13
6.965429e+03,3.348804e-13
7.400768e+03,3.332143e-13
7.836108e+03,3.315565e-13
8.271447e+03,3.299069e-13
8.706786e+03,3.282656e-13
9.142126e+03,3.266324e-13
9.577465e+03,3.250073e-13
1.001280e+04,3.233903e-13
1.044814e+04,3.217814e-13
1.088348e+04,3.201804e-13
1.131882e+04,3.185874e-13
1.175416e+04,3.170024e-13
1.218950e+04,3.154252e-13
1.262484e+04,3.138559e-13
1.306018e+04,3.122944e-13
1.349552e+04,3.107407e-13
1.393086e+04,3.091947e-13
1.436620e+04,3.076564e-13
1.480154e+04,3.061257e-13
1.523688e+04,3.046026e-13
1.567222e+04,3.030872e-13
1.610755e+04,3.015792e-13
1.654289e+04,3.000788e-13
1.697823e+04,2.985858e-13
1.741357e+04,2.971003e-13
1.784891e+04,2.956222e-13
1.828425e+04,2.941514e-13
1.871959e+04,2.926879e-13
1.915493e+04,2.912317e-13
1.959027e+04,2.897828e-13
2.002561e+04,2.883410e-13
2.046095e+04,2.869065e-13
2.089629e+04,2.854790e-13
2.133163e+04,2.840587e-13
2.176697e+04,2.826454e-13
2.220230e+04,2.812392e-13
2.263764e+04,2.798400e-13
2.307298e+04,2.784477e-13
2.350832e+04,2.770624e-13
2.394366e+04,2.756839e-13
2.437900e+04,2.743123e-13
2.481434e+04,2.729476e-13
2.524968e+04,2.715896e-13
2.568502e+04,2.702384e-13
2.612036e+04,2.688939e-13
2.655570e+04,2.675560e-13
2.699104e+04,2.662249e-13
2.742638e+04,2.649004e-13
2.786172e+04,2.635824e-13
2.829706e+04,2.622710e-13
2.873239e+04,2.609662e-13
2.916773e+04,2.596678e-13
2.960307e+04,2.583759e-13
3.003841e+04,2.570904e-13
3.047375e+04,2.558113e-13
3.090909e+04,2.545386e-13
3.134443e+04,2.532722e-13
3.177977e+04,2.520121e-13
3.221511e+04,2.507583e-13
3.265045e+04,2.495107e-13
3.308579e+04,2.482694e-13
3.352113e+04,2.470342e-13
3.395647e+04,2.458051e-13
3.439181e+04,2.445822e-13
3.482714e+04,2.433653e-13
3.526248e+04,2.421545e-13
3.569782e+04,2.409497e-13
3.613316e+04,2.397509e-13
3.656850e+04,2.385581e-13
3.700384e+04,2.373712e-13
3.743918e+04,2.361903e-13
3.787452e+04,2.350152e-13
3.830986e+04,2.338459e-13
3.874520e+04,2.326825e-13
3.918054e+04,2.315248e-13
3.961588e+04,2.303729e-13
4.005122e+04,2.292268e-13
4.048656e+04,2.280863e-13
4.092190e+04,2.269515e-13
4.135723e+04,2.258224e-13
4.179257e+04,2.246989e-13
4.222791e+04,2.235809e-13
4.266325e+04,2.224686e-13
4.309859e+04,2.213617e-13
4.353393e+04,2.202604e-13
4.396927e+04,2.191646e-13
4.440461e+04,2.180742e-13
4.483995e+04,2.169892e-13
4.527529e+04,2.159096e-13
4.571063e+04,2.148354e-13
4.614597e+04,2.137666e-13
4.658131e+04,2.127030e-13
4.701665e+04,2.116448e-13
4.745198e+04,2.105918e-13
4.788732e+04,2.095440e-13
4.832266e+04,2.085015e-13
4.875800e+04,2.074642e-13
4.919334e+04,2.064320e-13
4.962868e+04,2.054049e-13
5.006402e+04,2.043830e-13
5.049936e+04,2.033661e-13
5.093470e+04,2.023544e-13
5.137004e+04,2.013476e-13
5.180538e+04,2.003458e-13
5.224072e+04,1.993491e-13
5.267606e+04,1.983573e-13
5.311140e+04,1.973704e-13
5.354674e+04,1.963884e-13
5.398207e+04,1.954113e-13
5.441741e+04,1.944391e-13
5.485275e+04,1.934717e-13
5.528809e+04,1.925092e-13
5.572343e+04,1.915514e-13
5.615877e+04,1.905984e-13
5.659411e+04,1.896501e-13
5.702945e+04,1.887066e-13
5.746479e+04,1.877677e-13
5.790013e+04,1.868335e-13
5.833547e+04,1.859040e-13
5.877081e+04,1.849791e-13
5.920615e+04,1.840587e-13
5.964149e+04,1.831430e-13
6.007683e+04,1.822318e-13
6.051216e+04,1.813252e-13
6.094750e+04,1.804230e-13
6.138284e+04,1.795254e-13
6.181818e+04,1.786322e-13
6.225352e+04,1.777435e-13
6.268886e+04,1.768592e-13
6.312420e+04,1.759792e-13
6.355954e+04,1.751037e-13
6.399488e+04,1.742325e-13
6.443022e+04,1.733657e-13
6.486556e+04,1.725031e-13
6.530090e+04,1.716449e-13
6.573624e+04,1.707909e-13
6.617158e+04,1.699412e-13
6.660691e+04,1.690957e-13
6.704225e+04,1.682544e-13
6.747759e+04,1.674173e-13
6.791293e+04,1.665844e-13
6.834827e+04,1.657556e-13
6.878361e+04,1.649309e-13
6.921895e+04,1.641103e-13
6.965429e+04,1.632938e-13
7.008963e+04,1.624814e-13
7.052497e+04,1.616730e-13
7.096031e+04,1.608687e-13
7.139565e+04,1.600683e-13
7.183099e+04,1.592719e-13
7.226633e+04,1.584795e-13
7.270167e+04,1.576910e-13
7.313700e+04,1.569065e-13
7.357234e+04,1.561258e-13
7.400768e+04,1.553491e-13
7.444302e+04,1.545762e-13
7.487836e+04,1.538071e-13
7.531370e+04,1.530419e-13
7.574904e+04,1.522805e-13
7.618438e+04,1.515228e-13
7.661972e+04,1.507690e-13
7.705506e+04,1.500189e-13
7.749040e+04,1.492725e-13
7.792574e+04,1.485298e-13
7.836108e+04,1.477909e-13
7.879642e+04,1.470556e-13
7.923175e+04,1.463239e-13
7.966709e+04,1.455959e-13
8.010243e+04,1.448716e-13
8.053777e+04,1.441508e-13
8.097311e+04,1.434336e-13
8.140845e+04,1.427200e-13
8.184379e+04,1.420099e-13
8.227913e+04,1.413034e-13
8.271447e+04,1.406004e-13
8.314981e+04,1.399008e-13
8.358515e+04,1.392048e-13
8.402049e+04,1.385122e-13
8.445583e+04,1.378231e-13
8.489117e+04,1.371374e-13
8.532651e+04,1.364551e-13
8.576184e+04,1.357762e-13
8.619718e+04,1.351007e-13
8.663252e+04,1.344285e-13
8.706786e+04,1.337597e-13
8.750320e+04,1.330942e-13
8.793854e+04,1.324321e-13
8.837388e+04,1.317732e-13
8.880922e+04,1.311176e-13
8.924456e+04,1.304652e-13
8.967990e+04,1.298161e-13
9.011524e+04,1.291703e-13
9.055058e+04,1.285276e-13
9.098592e+04,1.278882e-13
9.142126e+04,1.272519e-13
9.185659e+04,1.266188e-13
9.229193e+04,1.259888e-13
9.272727e+04,1.253620e-13
9.316261e+04,1.247383e-13
9.359795e+04,1.241177e-13
9.403329e+04,1.235002e-13
9.446863e+04,1.228857e-13
9.490397e+04,1.222743e-13
9.533931e+04,1.216660e-13
9.577465e+04,1.210607e-13
9.620999e+04,1.204584e-13
9.664533e+04,1.198591e-13
9.708067e+04,1.192627e-13
9.751601e+04,1.186694e-13
9.795135e+04,1.180790e-13
9.838668e+04,1.174915e-13
9.882202e+04,1.169070e-13
9.925736e+04,1.163253e-13
9.969270e+04,1.157466e-13
1.001280e+05,1.151707e-13
1.005634e+05,1.145977e-13
1.009987e+05,1.140275e-13
1.014341e+05,1.134602e-13
1.018694e+05,1.128957e-13
1.023047e+05,1.123341e-13
1.027401e+05,1.117752e-13
1.031754e+05,1.112191e-13
1.036108e+05,1.106657e-13
1.040461e+05,1.101151e-13
1.044814e+05,1.095673e-13
1.049168e+05,1.090222e-13
1.053521e+05,1.084797e-13
1.057875e+05,1.079400e-13
1.062228e+05,1.074030e-13
1.066581e+05,1.068687e-13
1.070935e+05,1.063370e-13
1.075288e+05,1.058079e-13
1.079641e+05,1.052815e-13
1.083995e+05,1.047577e-13
1.088348e+05,1.042365e-13
1.092702e+05,1.037179e-13
1.097055e+05,1.032019e-13
1.101408e+05,1.026884e-13
1.105762e+05,1.021775e-13
1.110115e+05,1.016692e-13
1.114469e+05,1.011633e-13
1.118822e+05,1.006600e-13
1.123175e+05,1.001592e-13
1.127529e+05,9.966089e-14
1.131882e+05,9.916506e-14
1.136236e+05,9.867169e-14
1.140589e+05,9.818077e-14
1.144942e+05,9.769230e-14
1.149296e+05,9.720626e-14
1.153649e+05,9.672263e-14
1.158003e+05,9.624142e-14
1.162356e+05,9.576259e-14
1.166709e+05,9.528615e-14
1.171063e+05,9.481208e-14
1.175416e+05,9.434037e-14
1.179770e+05,9.387100e-14
1.184123e+05,9.340397e-14
1.188476e+05,9.293926e-14
1.192830e+05,9.247687e-14
1.197183e+05,9.201677e-14
1.201537e+05,9.155897e-14
1.205890e+05,9.110344e-14
1.210243e+05,9.065018e-14
1.214597e+05,9.019917e-14
1.218950e+05,8.975041e-14
1.223303e+05,8.930388e-14
1.227657e+05,8.885957e-14
1.232010e+05,8.841748e-14
1.236364e+05,8.797758e-14
1.240717e+05,8.753987e-14
1.245070e+05,8.710434e-14
1.249424e+05,8.667097e-14
1.253777e+05,8.623976e-14
1.258131e+05,8.581070e-14
1.262484e+05,8.538377e-14
1.266837e+05,8.495897e-14
1.271191e+05,8.453628e-14
1.275544e+05,8.411569e-14
1.279898e+05,8.369719e-14
1.284251e+05,8.328078e-14
1.288604e+05,8.286644e-14
1.292958e+05,8.245416e-14
1.297311e+05,8.204393e-14
1.301665e+05,8.163574e-14
1.306018e+05,8.122958e-14
1.310371e+05,8.082545e-14
1.314725e+05,8.042332e-14
1.319078e+05,8.002320e-14
1.323432e+05,7.962506e-14
1.327785e+05,7.922891e-14
1.332138e+05,7.883473e-14
1.336492e+05,7.844250e-14
1.340845e+05,7.805223e-14
1.345198e+05,7.766391e-14
1.349552e+05,7.727751e-14
1.353905e+05,7.689304e-14
1.358259e+05,7.651047e-14
1.362612e+05,7.612982e-14
1.366965e+05,7.575105e-14
1.371319e+05,7.537417e-14
1.375672e+05,7.499917e-14
1.380026e+05,7.462603e-14
1.384379e+05,7.425475e-14
1.388732e+05,7.388531e-14
1.393086e+05,7.351772e-14
1.397439e+05,7.315195e-14
1.401793e+05,7.278800e-14
1.406146e+05,7.242586e-14
1.410499e+05,7.206553e-14
1.414853e+05,7.170698e-14
1.419206e+05,7.135022e-14
1.423560e+05,7.099524e-14
