# units: 
x_metres,value
0.000000e+00,5.974353e-04
4.650000e-03,5.978794e-04
9.300000e-03,5.983242e-04
1.395000e-02,5.987696e-04
1.860000e-02,5.992157e-04
2.325000e-02,5.996624e-04
2.790000e-02,6.001098e-04
3.255000e-02,6.005579e-04
3.720000e-02,6.010067e-04
4.185000e-02,6.014561e-04
4.650000e-02,6.019062e-04
5.115000e-02,6.023569e-04
5.580000e-02,6.028084e-04
6.045000e-02,6.032605e-04
6.510000e-02,6.037133e-04
6.975000e-02,6.041668e-04
7.440000e-02,6.046210e-04
7.905000e-02,6.050758e-04
8.370000e-02,6.055314e-04
8.835000e-02,6.059876e-04
9.300000e-02,6.064445e-04
