# units: 
x_metres,value
0.000000e+00,9.994026e-01
4.650000e-03,9.994021e-01
9.300000e-03,9.994017e-01
1.395000e-02,9.994012e-01
1.860000e-02,9.994008e-01
2.325000e-02,9.994003e-01
2.790000e-02,9.993999e-01
3.255000e-02,9.993994e-01
3.720000e-02,9.993990e-01
4.185000e-02,9.993985e-01
4.650000e-02,9.993981e-01
5.115000e-02,9.993976e-01
5.580000e-02,9.993972e-01
6.045000e-02,9.993967e-01
6.510000e-02,9.993963e-01
6.975000e-02,9.993958e-01
7.440000e-02,9.993954e-01
7.905000e-02,9.993949e-01
8.370000e-02,9.993945e-01
8.835000e-02,9.993940e-01
9.300000e-02,9.993936e-01
