# units: 1/m
x_metres,value
0.000000e+00,5.763239e-01
4.650000e-03,5.766093e-01
9.300000e-03,5.768951e-01
1.395000e-02,5.771813e-01
1.860000e-02,5.774679e-01
2.325000e-02,5.777548e-01
2.790000e-02,5.780420e-01
3.255000e-02,5.783296e-01
3.720000e-02,5.786176e-01
4.185000e-02,5.789059e-01
4.650000e-02,5.791946e-01
5.115000e-02,5.794836e-01
5.580000e-02,5.797730e-01
6.045000e-02,5.800628e-01
6.510000e-02,5.803529e-01
6.975000e-02,5.806434e-01
7.440000e-02,5.809342e-01
7.905000e-02,5.812255e-01
8.370000e-02,5.815170e-01
8.835000e-02,5.818090e-01
9.300000e-02,5.821013e-01
