# units: molT2/s
t_seconds,value
0.000000e+00,0.000000e+00
4.353393e+02,4.140933e-18
8.706786e+02,4.121988e-18
1.306018e+03,4.101480e-18
1.741357e+03,4.081074e-18
2.176697e+03,4.060770e-18
2.612036e+03,4.040567e-18
3.047375e+03,4.020464e-18
3.482714e+03,4.000461e-18
3.918054e+03,3.980558e-18
4.353393e+03,3.960754e-18
4.788732e+03,3.941048e-18
5.224072e+03,3.921441e-18
5.659411e+03,3.901930e-18
6.094750e+03,3.882517e-18
6.530090e+03,3.863201e-18
6.965429e+03,3.843981e-18
7.400768e+03,3.824856e-18
7.836108e+03,3.805826e-18
8.271447e+03,3.786891e-18
8.706786e+03,3.768051e-18
9.142126e+03,3.749304e-18
9.577465e+03,3.730650e-18
1.001280e+04,3.712089e-18
1.044814e+04,3.693621e-18
1.088348e+04,3.675244e-18
1.131882e+04,3.656959e-18
1.175416e+04,3.638765e-18
1.218950e+04,3.620661e-18
1.262484e+04,3.602647e-18
1.306018e+04,3.584723e-18
1.349552e+04,3.566888e-18
1.393086e+04,3.549142e-18
1.436620e+04,3.531484e-18
1.480154e+04,3.513915e-18
1.523688e+04,3.496432e-18
1.567222e+04,3.479036e-18
1.610755e+04,3.461727e-18
1.654289e+04,3.444504e-18
1.697823e+04,3.427367e-18
1.741357e+04,3.410315e-18
1.784891e+04,3.393348e-18
1.828425e+04,3.376465e-18
1.871959e+04,3.359667e-18
1.915493e+04,3.342952e-18
1.959027e+04,3.326320e-18
2.002561e+04,3.309770e-18
2.046095e+04,3.293303e-18
2.089629e+04,3.276918e-18
2.133163e+04,3.260615e-18
2.176697e+04,3.244393e-18
2.220230e+04,3.228251e-18
2.263764e+04,3.212190e-18
2.307298e+04,3.196208e-18
2.350832e+04,3.180306e-18
2.394366e+04,3.164484e-18
2.437900e+04,3.148740e-18
2.481434e+04,3.133074e-18
2.524968e+04,3.117486e-18
2.568502e+04,3.101976e-18
2.612036e+04,3.086543e-18
2.655570e+04,3.071187e-18
2.699104e+04,3.055907e-18
2.742638e+04,3.040703e-18
2.786172e+04,3.025575e-18
2.829706e+04,3.010522e-18
2.873239e+04,2.995544e-18
2.916773e+04,2.980640e-18
2.960307e+04,2.965811e-18
3.003841e+04,2.951055e-18
3.047375e+04,2.936373e-18
3.090909e+04,2.921764e-18
3.134443e+04,2.907227e-18
3.177977e+04,2.892763e-18
3.221511e+04,2.878371e-18
3.265045e+04,2.864050e-18
3.308579e+04,2.849801e-18
3.352113e+04,2.835623e-18
3.395647e+04,2.821515e-18
3.439181e+04,2.807477e-18
3.482714e+04,2.793509e-18
3.526248e+04,2.779611e-18
3.569782e+04,2.765781e-18
3.613316e+04,2.752021e-18
3.656850e+04,2.738329e-18
3.700384e+04,2.724705e-18
3.743918e+04,2.711149e-18
3.787452e+04,2.697661e-18
3.830986e+04,2.684239e-18
3.874520e+04,2.670884e-18
3.918054e+04,2.657596e-18
3.961588e+04,2.644374e-18
4.005122e+04,2.631217e-18
4.048656e+04,2.618127e-18
4.092190e+04,2.605101e-18
4.135723e+04,2.592140e-18
4.179257e+04,2.579243e-18
4.222791e+04,2.566411e-18
4.266325e+04,2.553642e-18
4.309859e+04,2.540937e-18
4.353393e+04,2.528296e-18
4.396927e+04,2.515717e-18
4.440461e+04,2.503201e-18
4.483995e+04,2.490746e-18
4.527529e+04,2.478354e-18
4.571063e+04,2.466024e-18
4.614597e+04,2.453755e-18
4.658131e+04,2.441547e-18
4.701665e+04,2.429400e-18
4.745198e+04,2.417313e-18
4.788732e+04,2.405286e-18
4.832266e+04,2.393319e-18
4.875800e+04,2.381412e-18
4.919334e+04,2.369564e-18
4.962868e+04,2.357775e-18
5.006402e+04,2.346044e-18
5.049936e+04,2.334372e-18
5.093470e+04,2.322758e-18
5.137004e+04,2.311202e-18
5.180538e+04,2.299703e-18
5.224072e+04,2.288261e-18
5.267606e+04,2.276877e-18
5.311140e+04,2.265549e-18
5.354674e+04,2.254277e-18
5.398207e+04,2.243062e-18
5.441741e+04,2.231902e-18
5.485275e+04,2.220798e-18
5.528809e+04,2.209749e-18
5.572343e+04,2.198755e-18
5.615877e+04,2.187815e-18
5.659411e+04,2.176930e-18
5.702945e+04,2.166100e-18
5.746479e+04,2.155323e-18
5.790013e+04,2.144599e-18
5.833547e+04,2.133930e-18
5.877081e+04,2.123313e-18
5.920615e+04,2.112749e-18
5.964149e+04,2.102237e-18
6.007683e+04,2.091778e-18
6.051216e+04,2.081371e-18
6.094750e+04,2.071016e-18
6.138284e+04,2.060712e-18
6.181818e+04,2.050459e-18
6.225352e+04,2.040258e-18
6.268886e+04,2.030107e-18
6.312420e+04,2.020007e-18
6.355954e+04,2.009957e-18
6.399488e+04,1.999957e-18
6.443022e+04,1.990007e-18
6.486556e+04,1.980106e-18
6.530090e+04,1.970254e-18
6.573624e+04,1.960452e-18
6.617158e+04,1.950698e-18
6.660691e+04,1.940993e-18
6.704225e+04,1.931336e-18
6.747759e+04,1.921727e-18
6.791293e+04,1.912166e-18
6.834827e+04,1.902653e-18
6.878361e+04,1.893187e-18
6.921895e+04,1.883768e-18
6.965429e+04,1.874395e-18
7.008963e+04,1.865070e-18
7.052497e+04,1.855791e-18
7.096031e+04,1.846558e-18
7.139565e+04,1.837371e-18
7.183099e+04,1.828229e-18
7.226633e+04,1.819133e-18
7.270167e+04,1.810083e-18
7.313700e+04,1.801077e-18
7.357234e+04,1.792116e-18
7.400768e+04,1.783200e-18
7.444302e+04,1.774328e-18
7.487836e+04,1.765501e-18
7.531370e+04,1.756717e-18
7.574904e+04,1.747977e-18
7.618438e+04,1.739280e-18
7.661972e+04,1.730627e-18
7.705506e+04,1.722016e-18
7.749040e+04,1.713449e-18
7.792574e+04,1.704924e-18
7.836108e+04,1.696442e-18
7.879642e+04,1.688002e-18
7.923175e+04,1.679603e-18
7.966709e+04,1.671247e-18
8.010243e+04,1.662932e-18
8.053777e+04,1.654659e-18
8.097311e+04,1.646426e-18
8.140845e+04,1.638235e-18
8.184379e+04,1.630084e-18
8.227913e+04,1.621974e-18
8.271447e+04,1.613905e-18
8.314981e+04,1.605875e-18
8.358515e+04,1.597885e-18
8.402049e+04,1.589936e-18
8.445583e+04,1.582025e-18
8.489117e+04,1.574154e-18
8.532651e+04,1.566323e-18
8.576184e+04,1.558530e-18
8.619718e+04,1.550776e-18
8.663252e+04,1.543060e-18
8.706786e+04,1.535383e-18
8.750320e+04,1.527744e-18
8.793854e+04,1.520143e-18
8.837388e+04,1.512580e-18
8.880922e+04,1.505055e-18
8.924456e+04,1.497567e-18
8.967990e+04,1.490116e-18
9.011524e+04,1.482702e-18
9.055058e+04,1.475326e-18
9.098592e+04,1.467985e-18
9.142126e+04,1.460682e-18
9.185659e+04,1.453415e-18
9.229193e+04,1.446184e-18
9.272727e+04,1.438988e-18
9.316261e+04,1.431829e-18
9.359795e+04,1.424705e-18
9.403329e+04,1.417617e-18
9.446863e+04,1.410564e-18
9.490397e+04,1.403546e-18
9.533931e+04,1.396563e-18
9.577465e+04,1.389615e-18
9.620999e+04,1.382701e-18
9.664533e+04,1.375822e-18
9.708067e+04,1.368977e-18
9.751601e+04,1.362166e-18
9.795135e+04,1.355389e-18
9.838668e+04,1.348646e-18
9.882202e+04,1.341936e-18
9.925736e+04,1.335259e-18
9.969270e+04,1.328616e-18
1.001280e+05,1.322006e-18
1.005634e+05,1.315429e-18
1.009987e+05,1.308884e-18
1.014341e+05,1.302372e-18
1.018694e+05,1.295892e-18
1.023047e+05,1.289445e-18
1.027401e+05,1.283030e-18
