# units: m/s
x_metres,value
0.000000e+00,1.586757e-04
4.650000e-03,1.587936e-04
9.300000e-03,1.589117e-04
1.395000e-02,1.590300e-04
1.860000e-02,1.591485e-04
2.325000e-02,1.592672e-04
2.790000e-02,1.593860e-04
3.255000e-02,1.595050e-04
3.720000e-02,1.596242e-04
4.185000e-02,1.597436e-04
4.650000e-02,1.598631e-04
5.115000e-02,1.599828e-04
5.580000e-02,1.601027e-04
6.045000e-02,1.602228e-04
6.510000e-02,1.603431e-04
6.975000e-02,1.604635e-04
7.440000e-02,1.605841e-04
7.905000e-02,1.607049e-04
8.370000e-02,1.608259e-04
8.835000e-02,1.609471e-04
9.300000e-02,1.610685e-04
